Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1
Cracul cu Aur,aur,2,45.3403018094674,21.7403398157853,Caras Severin,Vale,4320,Cracul cu Aur,PDT,Limba română
Pârâul Aurului,aur,2,47.2079464646224,24.4064153040966,Bistrita Nasaud,Vale,7127,Pârâul Aurului,PDT,Limba română
Dealul Aurului,aur,2,47.1119742377793,24.4881833239568,Bistrita Nasaud,Deal,7129,Dealul Aurului,PDT,Limba română
Dealul de Aur,aur,2,47.0119719240209,24.3089341318239,Bistrita Nasaud,Deal,7130,Dealul de Aur,PDT,Limba română
Dealul Aurului,aur,2,46.6397848938101,24.9047423776353,Mures,Deal,7319,Dealul Aurului,Geomil 25000,Limba română
Dealu de Aur,aur,2,47.0792971871737,21.96014701419,Bihor,Deal,7579,Dealu de Aur,Geomil 25000,Limba română
Dealul de Aur,aur,2,46.1353202420937,23.955420754082,Alba,Deal,8156,Dealul de Aur,PDT,Limba română
Ogașul de Aur,aur,2,44.8433561482514,21.4912856159777,Caras Severin,Vale,8528,Ogașul de Aur,Geomil 25000,Limba română
Baia de Aur,aur,2,46.712295282294,23.3402732672013,Cluj,Altele,8961,Baia de Aur,PDT,Limba română
Mina de Aur,aur,2,46.0759806850488,23.0149589951487,Hunedoara,Altele,9398,Mina de Aur,PDT,Limba română
