Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Dealu Chicirei,chicira,4,46.1100856097568,23.474393507792,Alba,Deal,13153,,Dealu Chicirei,Geomil 25000,Limba română
Vârfu Chiciri,chicira,4,46.0503032158738,22.0808380114407,Arad,Înălțime,13495,,Vârfu Chiciri,Geomil 25000,Limba română
Cioaca Chiciura,chiciura,3,46.1183183863168,21.6689241033962,Arad,Înălțime,13954,,Cioaca Chicera,PDT,Limba română,Cioaca Chiciura,Geomil 25000,Limba română
Valea Chiciurei,chiciura,3,46.3572032176043,22.2688375725983,Arad,Vale,13921,,Valea Chiciurei,PDT,Limba română
Chiciura,chiciura,3,45.2978377869656,24.7091345225057,Arges,Înălțime,12953,,Chiciura,Geomil 25000,Limba română
Dealul Chiciura,chiciura,3,45.1787947635927,24.6487162429039,Arges,Deal,13974,,Dealul Chiciura,PDT,Limba română
Valea Chiciurei,chiciura,3,45.2776036720852,24.6932657153677,Arges,Vale,12955,12953,Valea Chiciurei,Geomil 25000,Limba română
Culmea Chiciurii,chiciura,3,47.2087136200094,24.6094138127504,Bistrita Nasaud,Înălțime,14478,,Culmea Chiciurii,Geomil 25000,Limba română,Subschischura B.,Transilvania (1769-1773),Limba română
Dealul Chiciurii,chiciura,3,45.9398385597959,25.1349483647229,Brasov,Deal,13805,,Dealul Chiciurii,Geomil 25000,Limba română
Pădurea Chiciurii,chiciura,3,45.7896401570271,25.2341833849347,Brasov,Pădure,13968,13967,Pădurea Chiciurii,Geomil 25000,Limba română
Vârful Chiciurii,chiciura,3,45.7849391273723,25.2419242766006,Brasov,Înălțime,13967,,Vârful Chiciurii,Geomil 25000,Limba română
Dealul Chiciura,chiciura,3,45.3155238305879,26.5093555990474,Buzau,Deal,13568,,Dealul Chiciura,Geomil 25000,Limba română
Dealul Chiciurei,chiciura,3,45.4455621612025,26.8222480485451,Buzau,Deal,13459,,Dealul Chiciurei,Geomil 25000,Limba română
Izvorul Chiciura,chiciura,3,45.2281971605404,26.578592925641,Buzau,Vale,13567,,Izvorul Chiciura,PDT,Limba română
Pădurea Chiciura,chiciura,3,45.44831410501,26.8365716042528,Buzau,Pădure,13458,13459,Pădurea Chiciura,Geomil 25000,Limba română
Chiciura,chiciura,3,45.3255867941239,22.3635334837134,Caras Severin,Înălțime,13080,,Chiciura,Geomil 25000,Limba română
Dealul Chiciura,chiciura,3,45.2577097381537,22.2665290706481,Caras Severin,Deal,14347,,Dealul Chiciura,PDT,Limba română
Dealu Chicira,chicira,4,46.8274921766213,22.8437249213901,Cluj,Deal,13069,,Dealu Chicira,Geomil 25000,Limba română
Dealul Chicirei,chicira,4,46.0425210100604,27.9800994021216,Galati,Deal,13536,,Dealul Chicirei,PDT,Limba română,Dealul Chicirei,Geomil 25000,Limba română
Chiciura Mocirlii,chiciura,3,45.2247154310812,23.4723945117047,Gorj,Înălțime,13808,,Chiciura Mocirlii,Geomil 25000,Limba română
Vârful Chiciurii,chiciura,3,45.1957079682424,23.2816551028185,Gorj,Înălțime,13166,,Vârful Chiciurii,Geomil 25000,Limba română
Kutschura,chiciura,3,45.7966982782718,22.8704691340245,Hunedoara,Înălțime,13240,,Kutschura,Transilvania (1769-1773),Limba română
Vârfu Chiciura,chiciura,3,45.4468758020984,22.8471829145564,Hunedoara,Înălțime,13811,,Vârfu Chiciura,Geomil 25000,Limba română
Vârful Chiciurii,chiciura,3,45.5768668167022,23.155361813864,Hunedoara,Înălțime,13435,,Vârful Chiciurii,Geomil 25000,Limba română
Vatra Chiciurii,chiciura,3,47.3893943539047,26.7626120860571,Iasi,Înălțime,14134,,Vatra Chiciurii,Geomil 25000,Limba română
Dealul Chiciurii,chiciura,3,47.6468126381281,24.4880124106458,Maramures,Deal,13020,,Dealul Chiciurii,Geomil 25000,Limba română
Cracul Chiciurei,chiciura,3,44.843068042277,22.802007809913,Mehedinti,Înălțime,13538,,Cracul Chiciurei,PDT,Limba română
Valea Chiciurei,chiciura,3,44.895062032975,22.8236724303047,Mehedinti,Vale,13539,,Valea Chiciurei,PDT,Limba română
Culmea Chiciuri,chiciuri,4,44.9664678852694,22.9318312864894,Mehedinti,Înălțime,12979,,Culmea Chiciuri,Geomil 25000,Limba română
Piciorul Chiciurii,chiciura,3,47.1944685418775,26.2425882993292,Neamt,Înălțime,13268,,Piciorul Chiciurii,Geomil 25000,Limba română
Lanu la Chiciura,chiciura,3,44.2401421558222,24.7550716217131,Olt,Altele,13533,,Lanu la Chiciura,Geomil 25000,Limba română
Chiciureni,chiciureni,4,45.3274341445251,25.9968120146859,Prahova,Localitate,13542,,Chiciureni,Geomil 25000,Limba română
D. Tiscur'a,chiciura,3,47.0758516331638,23.2162537265314,Salaj,Deal,13311,,D. Tiscur'a,Transilvania (1869-1870),Limba română
Chiciura Moldele,chiciura,3,45.6354042494324,24.4520056889096,Sibiu,Înălțime,13809,,Chiciura Moldele,Geomil 25000,Limba română
Kitschura,chiciura,3,46.1360661691205,24.1929439722718,Sibiu,Înălțime,13244,,Kitschura,Transilvania (1769-1773),Limba română
Valea Chiciura,chiciura,3,45.6614878339673,23.8228652465028,Sibiu,Vale,13089,,Valea Chiciura,Geomil 25000,Limba română
Chiciura,chiciura,3,47.6886032468219,25.824457322166,Suceava,Vale,13835,,Chiciura,Geomil 25000,Limba română
Chiciura Mica,chiciura,3,45.7281523843994,22.0862435574916,Timis,Înălțime,13146,,Chiciura Mica,Geomil 25000,Limba română
Dealu Chiciura Mare,chiciura,3,45.7214927499628,22.0967146400299,Timis,Deal,13147,,Dealu Chiciura Mare,Geomil 25000,Limba română
Chiciura,chiciura,3,45.107885653835,24.4564006108719,Valcea,Înălțime,13583,,Chiciura,Geomil 25000,Limba română
Dealul Chiciura,chiciura,3,45.0474295843592,24.2600122054866,Valcea,Deal,13543,,Dealul Chiciura,Geomil 25000,Limba română
Dealul Chicirii,chicira,4,46.5321064801103,27.7817575663008,Vaslui,Deal,13942,,Dealul Chicirii,Moldova (1892-1898),Limba română
