Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Cicera,cicera,3,46.0882880129533,23.2415568158657,Alba,Înălțime,13687,,Cicera,Imperiul Habsburgic (1887),Limba română
Cicera,cicera,3,46.5355205834862,22.9947650311729,Alba,Înălțime,13885,,Cicera,Geomil 25000,Limba română
Cicera Neagra,cicera,3,46.3490497639647,23.33231359063,Alba,Înălțime,13697,,Cicera Neagra,Transilvania (1869-1870),Limba română
Pârâu Cicerii,cicera,3,46.5311520113242,23.011621898351,Alba,Vale,13886,13885,Pârâu Cicerii,Geomil 25000,Limba română
Valea Cicera,cicera,3,46.0859738459528,22.3381117381538,Arad,Vale,13184,,Valea Cicera,Geomil 25000,Limba română
Cicera,cicera,3,46.4661042265051,22.3972649325082,Bihor,Altele,13361,,Cicera,Ungară 1869,Limba română
Cicera,cicera,3,46.5119254857509,22.613771951408,Bihor,Înălțime,13670,,Cicera,Ungară 1869,Limba română
Cicera între kai,cicera,3,46.4530052095993,22.3835557085888,Bihor,Altele,13359,,Cicera între kai,Ungară 1869,Limba română
Cicera Mare,cicera,3,46.5454150354707,22.2479471330053,Bihor,Înălțime,13363,,Cicera Mare,Ungară 1869,Limba română
Cicera Smeilor,cicera,3,46.6536318988507,22.7538187495412,Bihor,Înălțime,13669,,Cicera Smeilor,Ungară 1869,Limba română
Cicera ursului,cicera,3,46.4117413152069,22.4416059949177,Bihor,Înălțime,13186,,Cicera ursului,Transilvania (1869-1870),Limba română
Cicera Ursului,cicera,3,46.4461936147932,22.3886957356145,Bihor,Altele,13360,,Cicera Ursului,Ungară 1869,Limba română
Cicera vaci,cicera,3,46.4529528689852,22.4509652186611,Bihor,Înălțime,13187,,Cicera vaci,Transilvania (1869-1870),Limba română
Cicera Lazaroiei,cicera,3,47.2324276754361,24.9107294805909,Bistrita Nasaud,Înălțime,13392,,Cicera Lazaroiei,Imperiul Habsburgic (1887),Limba română
Cicera Sandroja,cicera,3,47.2283866252113,25.0136168426777,Bistrita Nasaud,Înălțime,13757,,Cicera Sandroja,Transilvania (1869-1870),Limba română
Cicerea Tăului Zinilor,cicera,3,47.1245509163967,24.9919158417291,Bistrita Nasaud,Înălțime,13394,,Cicerea Tăului Zinilor,Imperiul Habsburgic (1887),Limba română
Cicera,cicera,3,46.6609998433284,23.1509423914721,Cluj,Înălțime,13718,,Cicera,Imperiul Habsburgic (1887),Limba română
Cicera,cicera,3,46.689211598494,23.537954648022,Cluj,Înălțime,14018,,Cicera,PDT,Limba română
Cicera teikului,cicera,3,46.6122177726896,23.0762863496822,Cluj,Înălțime,13716,,Cicera teikului,Transilvania (1869-1870),Limba română
D. Ciceri,cicera,3,46.5338424867497,23.5123667306977,Cluj,Deal,14046,,D. Ciceri,Transilvania (1869-1870),Limba română
Tischera B.,cicera,3,47.3175416781425,23.8758890182094,Cluj,Deal,13253,,Tischera B.,Transilvania (1769-1773),Limba română
Cicera,cicera,3,46.072321229218,22.8814247140058,Hunedoara,Altele,13228,,Cicera,Transilvania (1869-1870),Limba română
D. Cicera,cicera,3,46.237947612772,22.7441581209559,Hunedoara,Deal,13224,,D. Cicera,Transilvania (1869-1870),Limba română
D. Cicera,cicera,3,46.2335462992745,22.6954388326216,Hunedoara,Deal,13225,,D. Cicera,Transilvania (1869-1870),Limba română
D. Cicera,cicera,3,46.3011715404895,22.7391497531299,Hunedoara,Deal,13672,,D. Cicera,Ungară 1869,Limba română
Tsitsera B.,cicera,3,46.1189201298788,22.9809005066985,Hunedoara,Deal,13229,,Tsitsera B.,Transilvania (1769-1773),Limba română
Tsitsera B.,cicera,3,45.9718703184724,22.7430368033365,Hunedoara,Deal,13231,,Tsitsera B.,Transilvania (1769-1773),Limba română
Tsitsera Capri B.,cicera,3,46.160992618887,23.0535354443368,Hunedoara,Deal,13963,,Tsitsera Capri B.,Transilvania (1769-1773),Limba română
V. Cicera,cicera,3,46.3269427781251,22.9117808408595,Hunedoara,Înălțime,13221,,V. Cicera,Transilvania (1869-1870),Limba română
V. Cicera,cicera,3,46.3142185654302,22.8864504330737,Hunedoara,Înălțime,13222,,V. Cicera,Transilvania (1869-1870),Limba română
Vârfu Cicera,cicera,3,45.7858503608034,22.5483678027512,Hunedoara,Înălțime,13356,,Vârfu Cicera,Geomil 25000,Limba română
Cicere,cicere,4,46.3045882895162,22.8867497318875,Hunedoara,Înălțime,13223,,Cicere,Transilvania (1869-1870),Limba română
Dimbo Cicera,cicera,3,47.0162054329721,23.441077969317,Salaj,Înălțime,13314,,Dimbo Cicera,Transilvania (1869-1870),Limba română
Pădurea Cicerasca,cicerasca,4,47.3384530373036,22.8962132541239,Salaj,Pădure,14036,,Pădurea Cicerasca,Geomil 25000,Limba română,Pădurea Cicerasca,PDT,Limba română
Cicera dintre Dorne,cicera,3,47.2234427526383,25.0668939273752,Suceava,Înălțime,13759,,Cicera dintre Dorne,Transilvania (1869-1870),Limba română
