Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Dealul Citara Puțului,citară,4,46.4265711889329,23.395860087359,Alba,Deal,14275,,Dealul Citara Puțului,ANCPI,Limba română
Citera,citeră,3,46.3170365149953,23.2651135598547,Alba,Înălțime,13693,,Citera,Imperiul Habsburgic (1887),Limba română,Citera,Transilvania (1869-1870),Limba română
Citera,citeră,3,46.3504034856452,22.9965335061573,Alba,Înălțime,13960,,Citera,Imperiul Habsburgic (1887),Limba română
Citera Bimbu,citeră,3,46.4017159034841,23.0110048098899,Alba,Înălțime,14038,,Citera Bimbu,Transilvania (1869-1870),Limba română
Citera Budeștilor,citeră,3,46.2919605619536,23.141975333631,Alba,Înălțime,13958,,Citera Budeștilor,Geomil 25000,Limba română,Citera budesciloru,Imperiul Habsburgic (1887),Limba română
Citera Buteștilor,citeră,3,46.3009922984652,23.3496815833961,Alba,Înălțime,13823,,Citera Buteștilor,Geomil 25000,Limba română
Citera Ciandreilor,citeră,3,46.254546181111,23.1778857967284,Alba,Înălțime,13691,,Citera Ciandreilor,Transilvania (1869-1870),Limba română
Citera Crambi,citeră,3,46.3705434815561,23.4404206810553,Alba,Altele,13061,,Citera Crambi,Geomil 25000,Limba română
Citera Lespedarului,citeră,3,46.333588300819,23.3467836943895,Alba,Înălțime,13822,,Citera Lespedarului,Geomil 25000,Limba română
Citera Mică,citeră,3,46.2927885169503,23.2601993989141,Alba,Înălțime,13057,,Citera Mică,Geomil 25000,Limba română
Citera Negreleștilor,citeră,3,46.2160761114371,23.3717409926472,Alba,Înălțime,13676,,Citera Negreleștilor,Transilvania (1869-1870),Limba română
Citera Pestostilor,citeră,3,46.2477780283745,23.1955374346357,Alba,Înălțime,13692,,Citera Pestostilor,Transilvania (1869-1870),Limba română
Citera Runcurilor,citeră,3,46.4111067418758,23.2052753089374,Alba,Înălțime,13462,,Citera,Imperiul Habsburgic (1887),Limba română,Citera Runcurilor,Geomil 25000,Limba română
Citera Sohuc,citeră,3,46.4175756506596,23.0039071819109,Alba,Înălțime,14039,,Citera Sohuc,Transilvania (1869-1870),Limba română
Citera Tornici,citeră,3,46.4062937032488,23.1586220676523,Alba,Înălțime,13698,,Citera Tornici,Transilvania (1869-1870),Limba română
Dealu Citera,citeră,3,46.4139840656415,22.920430175752,Alba,Deal,13201,,Dealu Citera,Geomil 25000,Limba română
Dealu Citera,citeră,3,46.3588518270338,22.9170376603751,Alba,Deal,13203,,Dealu Citera,Geomil 25000,Limba română
Dealu Citera Bodeștilor,citeră,3,46.4122413992289,22.9857916022643,Alba,Deal,13200,,Dealu Citera Bodeștilor,Geomil 25000,Limba română
Dealu Citera Mare,citeră,3,46.3872949658105,23.3523102136293,Alba,Deal,13062,,Dealu Citera Mare,Geomil 25000,Limba română
Pădurea Citera,citeră,3,46.2103766260589,23.2963359606246,Alba,Pădure,13890,13471,Pădurea Citera,Geomil 25000,Limba română
V. Citera Prasinului,citeră,3,46.2239796597677,23.3382289392332,Alba,Înălțime,13677,,V. Citera Prasinului,Transilvania (1869-1870),Limba română
Vârfu Citera,citeră,3,46.4422863047635,23.0022082982099,Alba,Înălțime,13052,,Vârfu Citera,Geomil 25000,Limba română
Vârfu Citera,citeră,3,46.3651456485279,23.4272613723929,Alba,Înălțime,13060,,Vârfu Citera,Geomil 25000,Limba română
Vârfu Citera,citeră,3,46.3391058581157,23.0370097535769,Alba,Înălțime,13211,,Vârfu Citera,Geomil 25000,Limba română
Vârfu Citera,citeră,3,46.2627064895237,23.0321095713334,Alba,Înălțime,13690,,Vârfu Citera,Geomil 25000,Limba română,V. Cicera,Transilvania (1869-1870),Limba română
Vârfu Citerii,citeră,3,46.3842731433515,22.8638297916185,Alba,Înălțime,13202,,Vârfu Citerii,Geomil 25000,Limba română
