Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Dealu Prelucii,prelucă,2,46.4037532525202,22.7047183103554,Alba,Deal,13197,,Dealu Prelucii,Geomil 25000,Limba română
Prelucă,prelucă,2,46.4939083270735,22.8524344787231,Alba,Localitate,13199,,Prelucă,Geomil 25000,Limba română
Preluca,prelucă,2,46.5099987007331,22.9743464850691,Alba,Localitate,13215,,Preluca,Geomil 25000,Limba română
Preluca,prelucă,2,46.4715342729436,23.1402484647349,Alba,Înălțime,13700,,Preluca,Imperiul Habsburgic (1887),Limba română
Preluca,prelucă,2,46.4751293670944,22.8554380871819,Alba,Altele,14043,,Preluca,Transilvania (1869-1870),Limba română
Preluca Groșilor,prelucă,2,45.6877039582613,23.484909779824,Alba,Înălțime,14200,,Preluca Groșilor,Geomil 25000,Limba română
Preluca Pensestilor,prelucă,2,46.4567444295683,23.0791432946874,Alba,Înălțime,14041,,Preluca Pensestilor,Transilvania (1869-1870),Limba română
Valea Prelucei,prelucă,2,45.6813504569499,23.4864252094033,Alba,Vale,13163,14200,Valea Prelucei,Geomil 25000,Limba română
Preluts B.,preluci,3,46.3792698639478,22.8675512235121,Alba,Vale,14725,,Preluts B.,Transilvania (1769-1773),Limba română
Dealul Preluca,prelucă,2,46.0719429194777,22.1181268517199,Arad,Deal,13499,,Dealul Preluca,PDT,Limba română,Vârful Preluca,Geomil 25000,Limba română
Pârâu Prelucii,prelucă,2,46.5870720088976,22.0994945748955,Arad,Vale,13367,13366,Pârâu Prelucii,Geomil 25000,Limba română
Poiana Preluca,prelucă,2,46.070375427308,22.1166309432565,Arad,Poiană,13500,13499,Poiana Preluca,PDT,Limba română
Preluca,prelucă,2,46.5749920397725,22.0792492665223,Arad,Altele,13366,,Preluka,Ungară 1869,Limba română,Preluca,PDT,Limba română
Preluca Morii,prelucă,2,45.3203234642197,24.5175780169049,Arges,Altele,13460,,Preluca Morii,Geomil 25000,Limba română
Preluca Tâlharului,prelucă,2,46.5658964092969,26.2557255667519,Bacau,Înălțime,13116,,Preluca Tâlharului,Geomil 25000,Limba română
Preluci,preluci,3,46.456209805389,26.2741784844341,Bacau,Localitate,13041,,Preluci,Geomil 25000,Limba română
Präluka B.,prelucă,2,47.0710209817378,22.3947240447069,Bihor,Deal,13368,,Präluka B.,Ungară 1869,Limba română
Preluca Ciobeștilor,prelucă,2,46.5245522438819,22.5759540888076,Bihor,Altele,13194,,Preluca Ciobeștilor,Geomil 25000,Limba română
Preluca Neșului,prelucă,2,46.5137123618449,22.6042018276088,Bihor,Altele,13193,,Preluca Neșului,Geomil 25000,Limba română
Preluga,prelucă,2,46.4002249013499,22.4420234326246,Bihor,Altele,13939,,Preluga,Ungară 1869,Limba română
Preluk,prelucă,2,46.556636597505,22.2200933609002,Bihor,Altele,13364,,Preluk,Ungară 1869,Limba română,Dealu Preluchii,Geomil 25000,Limba română
Vârful Prelucei,prelucă,2,46.6962698533257,22.6198275469149,Bihor,Înălțime,13668,,Vârful Prelucei,Imperiul Habsburgic (1887),Limba română
Prelucel B.,prelucel,3,46.9395769233175,22.7797365128066,Bihor,Deal,13422,13421,Prelucel B.,Ungară 1869,Limba română
Dealu Prelucilor,preluci,3,46.5554791585013,22.6042825417321,Bihor,Deal,13074,,Dealu Prelucilor,Geomil 25000,Limba română
Pârâu Prelucilor,preluci,3,46.5509162219493,22.6031770343418,Bihor,Vale,13073,13074,Pârâu Prelucilor,Geomil 25000,Limba română
Prelucele,preluci,3,46.9531773312501,22.7963435753241,Bihor,Localitate,13421,,Prelucele,Geomil 25000,Limba română
Valea Sodolu Prelucuței,prelucuță,3,46.5216238815127,22.5624816696795,Bihor,Vale,13075,,Valea Sodolu Prelucuței,Geomil 25000,Limba română
Părâul Prelucii,prelucă,2,47.2862369949257,24.2828304034682,Bistrita Nasaud,Vale,13386,,Părâul Prelucii,Imperiul Habsburgic (1887),Limba română
Preluca,prelucă,2,47.5430550492113,24.7931505630889,Bistrita Nasaud,Altele,13133,,Preluca,Geomil 25000,Limba română
