Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3
Coasta Zapodiei,zăpodie,2,46.1408849234582,23.7799819234242,Alba,Înălțime,2559,,Coasta Zapodiei,Geomil 25000,Limba română,Coasta Zapodii,PDT,Limba română
Coasta Zăpozii,zăpodie,2,46.3524864912843,23.8673471209317,Alba,Înălțime,5504,,Coasta Zăpozii,Geomil 25000,Limba română
Dealu Zăopdia Mare,zăpodie,2,46.1805527469906,23.9657232154361,Alba,Deal,2556,,Dealu Zăopdia Mare,Geomil 25000,Limba română
Dealu Zapodia,zăpodie,2,45.8497723283159,23.631893425308,Alba,Deal,2564,,Dealu Zapodia,Geomil 25000,Limba română
Dealul Zăpodia Mare,zăpodie,2,46.1903691771467,24.1792292842949,Alba,Deal,8164,,Dealul Zăpodia Mare,PDT,Limba română
Dealul Zăpodia Ocnei,zăpodie,2,46.2724799516969,23.8806547292849,Alba,Deal,7357,,Dealul Zăpodia Ocnei,PDT,Limba română
Dealul Zăpodiei,zăpodie,2,46.1599784404162,24.1617929799918,Alba,Deal,5510,,Dealul Zăpodiei,Geomil 25000,Limba română
Dealul Zapozii,zăpodie,2,46.2801212920287,23.9965711267631,Alba,Deal,5506,,Dealul Zapozii,Geomil 25000,Limba română
Dealul Zăpozii,zăpodie,2,46.2650734239853,23.8707266910263,Alba,Deal,8148,,Dealul Zăpozii,PDT,Limba română
Pa Zapodia,zapodie,3,46.1239973230279,24.0588974116539,Alba,Altele,11765,2555,Pa Zapodia,PDT,Limba română
Pădurea Zăpodiei,zăpodie,2,46.1327521838808,24.0691876604604,Alba,Pădure,2555,,Pădurea Zăpodiei,Geomil 25000,Limba română
Pârâul Zăpodia Mare,zăpodie,2,46.193259791912,24.1693259981231,Alba,Vale,8165,8164,Pârâul Zăpodia Mare,PDT,Limba română
Pârâul Zăpodia Mică,zăpodie,2,46.195965127962,24.1695961630186,Alba,Vale,8166,8167,Pârâul Zăpodia Mică,PDT,Limba română
Pârâul Zăpozii,zăpodie,2,46.2216096386763,23.9295150727917,Alba,Vale,8151,,Pârâul Zăpozii,PDT,Limba română
Pârâul Zăpozii,zăpodie,2,46.3509798810366,23.8811553834426,Alba,Vale,14015,5504,Pârâul Zăpozii,PDT,Limba română
Valea Zăpodiei,zăpodie,2,46.1286828220524,24.0555993285787,Alba,Vale,11425,2555,Valea Zăpodiei,Geomil 25000,Limba română
Valea Zăpodiei,zăpodie,2,46.4260927746143,23.7421693755851,Alba,Vale,14008,,Valea Zăpodiei,PDT,Limba română
Vârful Zăpodiei,zăpodie,2,46.3106542984849,24.0213003294958,Alba,Înălțime,5505,,Vârful Zăpodiei,Geomil 25000,Limba română
Vârful Zăpozii,zăpodie,2,46.2743112027124,23.9809412603504,Alba,Înălțime,8641,,Vârful Zăpozii,PDT,Limba română,Vurvu Zapodie,Transilvania (1869-1870),Limba română
Zăpodia,zăpodie,2,46.1547541276451,24.0379550161062,Alba,Înălțime,5511,,Zăpodia,Geomil 25000,Limba română
Zăpodia,zăpodie,2,46.0187095537648,23.3026292043352,Alba,Înălțime,11322,,Zăpodia,Geomil 25000,Limba română
Zapodia Lacului,zapodie,3,46.1389584856788,24.062685957947,Alba,Vale,11766,,Zapodia Lacului,PDT,Limba română
Zăpodia Larga,zăpodie,2,46.2172634394103,23.9380916016759,Alba,Altele,8150,,Zăpodia Larga,PDT,Limba română
Zăpodia Largă,zăpodie,2,46.1687027910855,24.1176894314289,Alba,Altele,8634,,Zăpodia Largă,PDT,Limba română
Zăpodia Mica,zăpodie,2,45.9407813314602,23.8268908877896,Alba,Înălțime,5542,,Zăpodia Mica,PDT,Limba română
Zăpodia Mică,zăpodie,2,46.193967108335,24.1773244959852,Alba,Înălțime,8167,,Zăpodia Mică,PDT,Limba română
Zăpodie,zăpodie,2,46.4640482038641,23.8048459860857,Alba,Altele,8142,,Zăpodie,PDT,Limba română
Zăpodie,zăpodie,2,46.1529598533789,24.1490351902728,Alba,Altele,8158,,Zăpodie,PDT,Limba română
Zapojda Bukurlui,zăpodie,2,46.3137061909344,23.4042263161308,Alba,Înălțime,11949,,Zapojda Bukurlui,Transilvania (1769-1773),Limba română
Zapojida B.,zapodie,3,46.2586862706297,23.3866115083469,Alba,Deal,12193,,Zapojida B.,Transilvania (1769-1773),Limba germană
Zăpoadea,zăpoade,3,46.351969493543,22.4224004029888,Arad,Altele,7649,,Zăpoadea,Geomil 25000,Limba română,Zăpoade,PDT,Limba română
Zepodu,zăpod,3,46.2706336766771,22.4969472308267,Arad,Altele,10597,,Zepodu,Imperiul Habsburgic (1887),Limba română
Poiana Zapodiei,zăpodie,2,46.5074708844229,22.1692311583538,Arad,Poiană,4089,,Poiana Zapodiei,Geomil 25000,Limba română,Poiana Zapodiei,PDT,Limba română
Valea Zăpodiei,zăpodie,2,46.4618123083554,22.2287859017026,Arad,Vale,13923,,Valea Zăpodiei,PDT,Limba română
Zăpodia Mare,zăpodie,2,46.4789440055739,22.1590341080674,Arad,Înălțime,7664,,Zăpodia Mare,Geomil 25000,Limba română
Zăpodia Mică,zăpodie,2,46.479360050215,22.1704005428422,Arad,Înălțime,7663,,Zăpodia Mică,Geomil 25000,Limba română
