Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1
Comul Berbecului,berbec,2,46.4989707554768,22.6829955703925,Alba,Înălțime,15188,Comul Berbecului,Munții noștri,Limba română
Dealu Cornu Berbecului,berbec,2,46.3871784402925,22.4648018012062,Arad,Altele,1938,Dealu Cornu Berbecului,Geomil 25000,Limba română
Culmea Berbecilor,berbec,2,45.4480196442377,24.9759119647385,Arges,Înălțime,15607,Culmea Berbecilor,ANCPI,Limba română
Valea Berbecului,berbec,2,45.1098961315787,24.876822043205,Arges,Vale,6884,Valea Berbecului,Geomil 25000,Limba română
Vârful Piatra Berbecilor,berbec,2,45.3688089644741,25.2017049035785,Arges,Înălțime,5042,Vârful Piatra Berbecilor,Geomil 25000,Limba română
Izvorul Berbecului,berbec,2,47.5243036482586,24.5422083601102,Bistrita Nasaud,Vale,4492,Izvorul Berbecului,Geomil 25000,Limba română
Pârâul Berbecilor,berbec,2,46.8479184309716,24.4678018501806,Bistrita Nasaud,Vale,5461,Pârâul Berbecilor,Geomil 25000,Limba română
Movila Berbecilor,berbec,2,45.233630852925,26.9022718062949,Buzau,Înălțime,8454,Movila Berbecilor,PDT,Limba română
Movila Berbecu,berbec,2,45.1255678080012,27.0891363245968,Buzau,Înălțime,3587,Movila Berbecu,PDT,Limba română
Dealul Berbecilor,berbec,2,46.0212333115049,25.7400792769593,Covasna,Deal,6059,Dealul Berbecilor,Geomil 25000,Limba română
Dealul Berbecu,berbec,2,45.6761283027354,26.2240880964933,Covasna,Deal,11454,Dealul Berbecu,Geomil 25000,Limba română
Groapa Berbecului,berbec,2,43.9457896567049,23.7474815824688,Dolj,Altele,8107,Groapa Berbecului,Geomil 25000,Limba română
La Măgura Berbecilor,berbec,2,44.0671835564366,23.2698046687971,Dolj,Înălțime,1297,La Măgura Berbecilor,Geomil 25000,Limba română
Arcaciul Berbecului,berbec,2,45.9031881179777,28.0509927392178,Galati,Altele,3514,Arcaciul Berbecului,PDT,Limba română
Valea Berbecului,berbec,2,44.0539932687509,25.6644370038385,Giurgiu,Vale,12017,Valea Berbecului,PDT,Limba română
Pârâu Berbeci,berbec,2,46.0713643472155,22.7858640639235,Hunedoara,Vale,6239,Pârâu Berbeci,Geomil 25000,Limba română
Dealul Berbecului,berbec,2,47.1165842766897,27.2720605958341,Iasi,Deal,1649,Dealul Berbecului,Geomil 25000,Limba română
Dealul Berbecului,berbec,2,47.4553079461879,27.2399716010872,Iasi,Deal,2435,Dealul Berbecului,Geomil 25000,Limba română
La Berbecărie,berbecărie,3,47.4461694228102,27.4800488304182,Iasi,Altele,4867,La Berbecărie,PDT,Limba română
Valea Berbecului,berbec,2,44.750140753057,22.988176091067,Mehedinti,Vale,13648,Valea Berbecului,PDT,Limba română
Dealul Berbecului,berbec,2,46.8642364127892,24.9057448263112,Mures,Deal,7321,Dealul Berbecului,Geomil 25000,Limba română
La Coarnele Berbecului,berbec,2,47.1268392342957,26.4746652637283,Neamt,Altele,3869,La Coarnele Berbecului,Geomil 25000,Limba română
Măgura Berbecilor,berbec,2,43.8796588674706,24.2333359102681,Olt,Înălțime,12374,Măgura Berbecilor,Geomil 25000,Limba română
Valea Berbecului,berbec,2,44.5465935865033,24.599078169999,Olt,Vale,3045,Valea Berbecului,Geomil 25000,Limba română
Dealul Berbecu,berbec,2,44.995682915469,26.1347467246332,Prahova,Deal,23,Dealul Berbecu,PDT,Limba română
La Berbeci,berbec,2,47.1357772798007,22.8764021463201,Salaj,Altele,5930,La Berbeci,Geomil 25000,Limba română
Ciocnașul Berbecului,berbec,2,47.8242262769971,23.5343452225069,Satu Mare,Înălțime,7212,Ciocnașul Berbecului,PDT,Limba română
Valea Berbecului,berbec,2,47.7360829824886,26.020635532127,Suceava,Vale,11405,Valea Berbecului,Geomil 25000,Limba română
Valea Berbecilor,berbec,2,44.3920783732946,25.3195538202392,Teleorman,Vale,3749,Valea Berbecilor,PDT,Limba română
Dealu Berbecului,berbec,2,45.7006655407088,21.9944669100794,Timis,Deal,882,Dealu Berbecului,Geomil 25000,Limba română
Dealul Berbecilor,berbec,2,46.7339576236004,27.803605816746,Vaslui,Deal,2449,Dealul Berbecilor,Geomil 25000,Limba română
Râpa Berbecului,berbec,2,46.4868820720061,27.8388401258874,Vaslui,Înălțime,1680,Râpa Berbecului,Geomil 25000,Limba română
Culmea Berbecului,berbec,2,45.7254413179412,26.6416465499738,Vrancea,Înălțime,779,Culmea Berbecului,Geomil 25000,Limba română
