Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1
Bivolul,bivol,3,44.2401165728632,26.4354619396877,Arges,Apă-deal-câmpie,13981,,Bivolul,PDT,Limba română
Piscul Bivoliței,bivoliță,4,45.0861538337736,24.9541513508562,Arges,Înălțime,6880,,Piscul Bivoliței,Geomil 25000,Limba română
Valea Bivoliței,bivoliță,4,44.9661934815499,24.6314422749582,Arges,Vale,1412,,Valea Bivoliței,Geomil 25000,Limba română
Bivolul Mare,bivol,3,48.1647385758556,26.741389169778,Botosani,Localitate,6677,,Bivolul Mare,PDT,Limba română
Bivolul Mic,bivol,3,48.1550600304184,26.7801094081337,Botosani,Localitate,6678,6677,Bivolul Mic,PDT,Limba română
Dealul Bivolului,bivol,3,47.8980002357228,26.8883413876248,Botosani,Deal,11558,,Dealul Bivolului,ANCPI,Limba română
Dealul Bivolașului,bivolaș,4,48.0460227576479,26.2363641200338,Botosani,Deal,4897,,Dealul Bivolașului,Geomil 25000,Limba română
Valea Bivolașului,bivolaș,4,48.0512764463789,26.2215787834266,Botosani,Vale,4898,4897,Valea Bivolașului,PDT,Limba română
Pășunatul Bivolilor,bivol,3,45.9710691492956,24.8091900024161,Brasov,Altele,11246,,Pășunatul Bivolilor,Geomil 25000,Limba română
Japșa Bivolului,bivol,3,44.3001495223091,27.7124432087925,Calarasi,Apă-deal-câmpie,12485,,Japșa Bivolului,PDT,Limba română
Lacul Bivolița,bivoliță,4,44.1000269234707,26.7694552610304,Calarasi,Lac,3267,,Lacul Bivolița,PDT,Limba română
Pârâu Bivolilor,bivol,3,46.995992300994,22.8360705562586,Cluj,Vale,11857,,Pârâu Bivolilor,Geomil 25000,Limba română
Valea Bivolului,bivol,3,45.0317188648669,25.5559823780888,Dambovita,Vale,7463,,Valea Bivolului,Geomil 25000,Limba română
Valea Suhatul Bivolilor,bivol,3,44.0555002623723,23.4278871565166,Dolj,Vale,10342,,Valea Suhatul Bivolilor,PDT,Limba română
Balta cu Bivoli,bivol,3,44.1648053407792,25.9643713811265,Giurgiu,Apă-deal-câmpie,8299,,Balta cu Bivoli,PDT,Limba română
Valea Bivolitza,bivoliță,4,44.050035479529,25.8580789540671,Giurgiu,Vale,8301,,Valea Bivolitza,Austriacă,Limba română
Poiana Bivolița,bivoliță,4,44.7305031311876,26.121091979631,Ilfov,Poiană,43,44,Poiana Bivolița,PDT,Limba română
Muntele Bivolului,bivol,3,47.2528197792674,25.9356393066462,Neamt,Înălțime,11657,,Muntele Bivolului,Geomil 25000,Limba română
Măgura Bivolului,bivol,3,43.7815385593042,24.5978040627918,Olt,Înălțime,8017,,Măgura Bivolului,PDT,Limba română
Valea Bivolului,bivol,3,43.9740952712167,24.3395934874719,Olt,Vale,7745,,Valea Bivolului,Geomil 25000,Limba română
Piciorul Bivolului,bivol,3,45.113402581716,26.4415909729785,Prahova,Altele,6024,,Piciorul Bivolului,Geomil 25000,Limba română
Bivolitza,bivoliță,4,44.1386862043103,25.2195391947608,Teleorman,Localitate,5782,,Bivolitza,Austriacă,Limba română
Gârla Bivolu,bivol,3,45.5779333770879,27.489908064119,Vrancea,Apă-deal-câmpie,9606,,Gârla Bivolu,Moldova (1892-1898),Limba română
