Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Câmpu Vacilor,vaci,3,46.4691203785098,23.0625236360715,Alba,Câmp,10244,Câmpu Vacilor,Geomil 25000,Limba română
Valea Vacii,vaci,3,46.0516404176926,23.3943959870867,Alba,Vale,5571,Valea Vacii,Geomil 25000,Limba română
Fântâna Vacii,vaci,3,46.5431554527589,21.5677159087177,Arad,Altele,8026,Fântâna Vacii,PDT,Limba română,Fântâna Vacii,Geomil 25000,Limba română
Fântâna Vacilor,vaci,3,46.2344530836728,21.4053439961158,Arad,Altele,1096,Fântâna Vacilor,Geomil 25000,Limba română
Fântâna Vacilor,vaci,3,46.5638832427259,21.9327607668711,Arad,Altele,4102,Fântâna Vacilor,PDT,Limba română
Fântâna Vacilor,vaci,3,46.4106473880129,21.8472887612047,Arad,Altele,6289,Fântâna Vacilor,PDT,Limba română
Fântâna Vacilor,vaci,3,46.3939088707766,21.7182961668737,Arad,Altele,6290,Fântâna Vacilor,PDT,Limba română
Fântâna Vacilor,vaci,3,46.5306276898614,21.5838733829345,Arad,Altele,8028,Fântâna Vacilor,PDT,Limba română
Fântâna Vacilor,vaci,3,46.4208220819774,22.0391309822188,Arad,Altele,12538,Fântâna Vacilor,Geomil 25000,Limba română
Podu Vacilor,vaci,3,46.6531702689333,21.8541773704133,Arad,Altele,11670,Podu Vacilor,Geomil 25000,Limba română
Valea Vacii,vaci,3,46.2111420335605,22.4265555493039,Arad,Vale,12327,Valea Vacii,Imperiul Habsburgic (1887),Limba română
Dealu Vacii,vaci,3,44.9048289034719,24.6955008595023,Arges,Deal,3072,Dealu Vacii,Geomil 25000,Limba română
Dealul Vacilor,vaci,3,45.1101677941212,24.9835395878343,Arges,Deal,11122,Dealul Vacilor,Geomil 25000,Limba română
Dealul Văii Vacii,vaci,3,45.1392002680947,25.0859516567533,Arges,Deal,554,Dealul Văii Vacii,Geomil 25000,Limba română
Muchia Văii Vacii,vaci,3,45.2409943315581,24.7449714601108,Arges,Înălțime,4052,Muchia Văii Vacii,Geomil 25000,Limba română
Piscul Vacii,vaci,3,45.526752487208,24.7876090402431,Arges,Înălțime,11570,Piscul Vacii,Geomil 25000,Limba română
Valea Vacii,vaci,3,45.5463193482473,24.9458587442037,Arges,Vale,625,Valea Vacii,Geomil 25000,Limba română
Valea Vacii,vaci,3,45.2557612520104,24.9203382270662,Arges,Vale,5063,Valea Vacii,Geomil 25000,Limba română
Valea Vacii,vaci,3,45.0143912813157,25.0755903325978,Arges,Vale,10161,Valea Vacii,Geomil 25000,Limba română
Dealul Vacii,vaci,3,46.4110681644568,27.4702630440193,Bacau,Deal,12253,Dealul Vacii,Geomil 25000,Limba română
Pârâul Vacilor,vaci,3,46.6603395319374,26.2762036052897,Bacau,Vale,10939,Pârâul Vacilor,Geomil 25000,Limba română
Plaiul Poiana Vacii,vaci,3,46.1853273453436,27.001447107252,Bacau,Înălțime,13593,Plaiul Poiana Vacii,PDT,Limba română
Fântâna Vacilor,vaci,3,46.6788111828596,21.8252545551501,Bihor,Altele,7588,Fântâna Vacilor,PDT,Limba română
Vacilor,vaci,3,46.5321097125619,22.2514399561465,Bihor,Altele,13362,Vacilor,Ungară 1869,Limba română
Valea Vacii,vaci,3,46.3893636931652,22.652579136896,Bihor,Vale,1935,Valea Vacii,Geomil 25000,Limba română
Valea Vacii,vaci,3,46.4912068820089,22.3585051118173,Bihor,Vale,10955,Valea Vacii,Geomil 25000,Limba română
Valea Hârtopul Vacilor,vaci,3,48.0078252905108,26.6796835424767,Botosani,Vale,2335,Valea Hârtopul Vacilor,Geomil 25000,Limba română
Dealul Vacilor,vaci,3,45.9511529573323,24.7746585979142,Brasov,Deal,2668,Dealul Vacilor,Geomil 25000,Limba română
Dealul Vacii Rele,vaci,3,45.5493323118655,26.7525585379289,Buzau,Deal,2094,Dealul Vacii Rele,Geomil 25000,Limba română
