Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3
Culmea Brebenului,breb,2,45.4358250482848,24.8419240126781,Arges,Înălțime,633,632,Culmea Brebenului,Geomil 25000,Limba română
Muntele Brebenului,breb,2,45.4394972611232,24.8608127752515,Arges,Înălțime,631,632,Muntele Brebenului,Geomil 25000,Limba română
Valea Brebenului,breb,2,45.438921019456,24.8497669064482,Arges,Vale,632,,Valea Brebenului,Geomil 25000,Limba română
Gura Brebina,brebină,3,44.6334140329438,24.7432675031731,Arges,Apă-deal-câmpie,10998,,Gura Brebina,PDT,Limba română
Valea Brebina,brebină,3,44.4588916273089,24.7555775864188,Arges,Vale,9815,,Valea Brebina,PDT,Limba română
Dealul Brebului,breb,2,47.4945592332922,24.358695051686,Bistrita Nasaud,Deal,1026,1027,Dealul Brebului,Geomil 25000,Limba română
Valea Brebului,breb,2,47.4904978197739,24.3578557232067,Bistrita Nasaud,Vale,1027,,Valea Brebului,Geomil 25000,Limba română
Brebu,breb,2,45.4976433244725,26.5943436085488,Buzau,Localitate,8761,,Brebu,PDT,Limba română
La Brebu,breb,2,44.9517414199522,26.7759942190895,Buzau,Altele,10932,,La Brebu,Geomil 25000,Limba română
Pârâul Brebu,breb,2,45.5795549129317,26.5040703739823,Buzau,Vale,7919,,Pârâul Brebu,Geomil 25000,Limba română
Pârâul Brebu,breb,2,45.5872813516683,26.4577478530081,Buzau,Vale,2807,,Pârâul Brebu,Geomil 25000,Limba română
Brebeanca,brebeanca,3,44.9517238035071,26.7877214740885,Buzau,Altele,10933,10932,Brebeanca,Geomil 25000,Limba română
Brebu,breb,2,45.4216099778644,21.9900205292369,Caras Severin,Localitate,4309,,Brebu,Geomil 25000,Limba română
Brebul Nou,breb,2,45.2289789775569,22.1309609440963,Caras Severin,Localitate,4333,,Brebul Nou,PDT,Limba română,Brebu Nou,Geomil 25000,Limba română,Brebul,Ungară 1869,Limba română
Cracu Brebului,breb,2,45.2417454085995,22.1267244175911,Caras Severin,Altele,4334,,Cracu Brebului,Geomil 25000,Limba română
Brebu,breb,2,45.1927568722377,25.3393941932768,Dambovita,Localitate,1495,,Brebu,Geomil 25000,Limba română
Vurvu Brebului,breb,2,45.26382591679,25.2810240844304,Dambovita,Înălțime,11931,,Vurvu Brebului,Valahia-Moldova (1773-1774),Limba română
Pârâul Brebina,brebină,3,44.7381702415743,25.2548269819639,Dambovita,Vale,11075,,Pârâul Brebina,PDT,Limba română
Valea Brebina,brebină,3,44.6190729767321,25.4344015276781,Dambovita,Vale,3381,,Valea Brebina,PDT,Limba română,Valea Brebina,Geomil 25000,Limba română
Valea Brebina,brebină,3,44.4027146516102,25.8433490731932,Giurgiu,Vale,12445,,Valea Brebina,PDT,Limba română,Valea Brebinei,Geomil 25000,Limba română
Dealul Brebului,breb,2,46.1794377653625,26.1101082188787,Harghita,Deal,2754,,Dealul Brebului,Geomil 25000,Limba română
Borcutul Brebului,breb,2,47.7069679529784,23.9067958860289,Maramures,Altele,7219,7221,Borcutul Brebului,PDT,Limba română
Breb,breb,2,47.7453848832518,23.9019663209142,Maramures,Localitate,7221,,Breb,Geomil 25000,Limba română
Brebeni,brebeni,3,47.5040250194693,23.7804922296124,Maramures,Localitate,10260,,Brebeni,Geomil 25000,Limba română
Valea Breboaia,breboaia,3,47.7222706850283,23.9109408931272,Maramures,Vale,7220,7221,Valea Breboaia,Geomil 25000,Limba română,Valea Breboaia,PDT,Limba română
Cuca Brebului,breb,2,44.6566521750619,23.0919983141196,Mehedinti,Înălțime,212,,Cuca Brebului,Geomil 25000,Limba română
Brebina,brebină,3,45.0152929714581,22.8139030490866,Mehedinti,Localitate,9786,,Brebina,Geomil 25000,Limba română
Castorul,castor,3,47.0172608082295,24.9176464410438,Mures,Vale,5439,,Castorul,Geomil 25000,Limba română
Brebu,breb,2,45.1833629058748,25.7718938546409,Prahova,Localitate,3986,,Brebu,Geomil 25000,Limba română
Brebu Mânăstirei,breb,2,45.1916164060718,25.7715670051938,Prahova,Localitate,3988,3986,Brebu Mânăstirei,Geomil 25000,Limba română
Brebu Megieșesc,breb,2,45.1692869783183,25.7750130177291,Prahova,Localitate,3987,3986,Brebu Megieșesc,Geomil 25000,Limba română
Cheile Brebului,breb,2,45.2094969974016,25.7352401685129,Prahova,Altele,808,,Cheile Brebului,Geomil 25000,Limba română
Brebi,breb,2,47.2051978368501,23.1945701029767,Salaj,Localitate,1052,,Brebi,Geomil 25000,Limba română
Dumbrava Brebi,brebi,3,47.2308518068497,23.2156736059953,Salaj,Altele,6931,1052,Dumbrava Brebi,Geomil 25000,Limba română
Luncile Brebilor,brebi,3,47.1822880602615,23.1832004734097,Salaj,Apă-deal-câmpie,7558,,Luncile Brebilor,PDT,Limba română
Valea Brebi,brebi,3,47.2225060762698,23.1761901936249,Salaj,Vale,8994,1052,Valea Brebi,PDT,Limba română
Culmea Brebu,breb,2,47.8738664901955,23.518672786956,Satu Mare,Înălțime,4466,,Culmea Brebu,Geomil 25000,Limba română
Pădurea Brebilor,brebi,3,47.1759568484406,25.6674923807611,Suceava,Pădure,6414,,Pădurea Brebilor,Geomil 25000,Limba română,Pădurea Brebilor,Moldova (1892-1898),Limba română
Eleșteul Brebina,brebină,3,44.1517651996034,24.9879622856955,Teleorman,Apă-deal-câmpie,12201,,Eleșteul Brebina,PDT,Limba română
