Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1
Colții Caprii,capre negre,2,46.3439788165708,23.2822101830328,Alba,Înălțime,13696,,Colții Caprii,Imperiul Habsburgic (1887),Limba română
Capra,capre negre,2,45.5638343824799,24.6075069911746,Arges,Vale,2721,2716,Capra,Geomil 25000,Limba română
Capra,capre negre,2,45.5300620212598,24.9398001697658,Arges,Vale,12965,,Capra,Geomil 25000,Limba română
Colții Caprei,capre negre,2,45.4144900725069,24.9495854382615,Arges,Înălțime,5004,,Colții Caprei,Geomil 25000,Limba română
Culmea Caprei,capre negre,2,45.3890475509303,24.934424663223,Arges,Înălțime,4998,,Culmea Caprei,Geomil 25000,Limba română
Culmea Caprei,capre negre,2,45.4930210970129,25.1775085460587,Arges,Înălțime,602,,Culmea Caprei,Geomil 25000,Limba română
Lacul Caprei,capre negre,2,45.6007746588547,24.6276172793206,Arges,Lac,2718,2716,Lacul Caprei,Geomil 25000,Limba română
Muchia Caprei,capre negre,2,45.3520955439221,24.7364475839834,Arges,Înălțime,5074,,Muchia Caprei,Geomil 25000,Limba română
Muchia Colții Caprei,capre negre,2,45.4370551549917,24.9377623867489,Arges,Înălțime,630,5004,Muchia Colții Caprei,Geomil 25000,Limba română
Pârâul Izvorul Caprei,capre negre,2,45.5461674879179,25.1110552942994,Arges,Vale,12963,,Pârâul Izvorul Caprei,Geomil 25000,Limba română
Piscul Caprelor,capre negre,2,45.564911685758,24.790419348434,Arges,Înălțime,5011,,Piscul Caprelor,Geomil 25000,Limba română
Șaua Caprei,capre negre,2,45.5989524804014,24.6203156378514,Arges,Înălțime,2717,2716,Șaua Caprei,Geomil 25000,Limba română
Valea Caprei,capre negre,2,45.3885761568166,24.9409060947088,Arges,Vale,4999,4998,Valea Caprei,Geomil 25000,Limba română
Valea Caprei,capre negre,2,45.5890239171863,24.6433768319375,Arges,Vale,2719,,Valea Caprei,Geomil 25000,Limba română
Culmea Țapului,țap al caprei negre,3,45.3880372779206,24.9143709318951,Arges,Înălțime,4997,,Culmea Țapului,Geomil 25000,Limba română
Vârful Țapului,țap al caprei negre,3,47.5338604826429,24.6207481555647,Bistrita Nasaud,Înălțime,6357,,Vârful Țapului,Geomil 25000,Limba română
Brâul Caprelor,capre negre,2,45.5577947609787,25.2341677672036,Brasov,Altele,605,,Brâul Caprelor,Geomil 25000,Limba română
Coasta Caprei,capre negre,2,45.6810205979613,24.9700320724055,Brasov,Înălțime,620,,Coasta Caprei,Geomil 25000,Limba română
Piatra Caprei,capre negre,2,45.6286510830207,24.8064785412663,Brasov,Înălțime,12282,,Piatra Caprei,Geomil 25000,Limba română
Valea Iezilor,capre negre,2,45.5132153713397,25.3323182758241,Brasov,Vale,609,,Valea Iezilor,Geomil 25000,Limba română
Poiana Țapului,țap al caprei negre,3,45.4227686778632,25.4080077553985,Brasov,Poiană,9797,,Poiana Țapului,Geomil 25000,Limba română
Cracul Caprei,capre negre,2,45.4526858495416,23.5531911162724,Hunedoara,Înălțime,1193,1188,Cracul Caprei,Geomil 25000,Limba română
Muntele Capra,capre negre,2,45.4280428344052,23.5663433135837,Hunedoara,Înălțime,1188,,Muntele Capra,Geomil 25000,Limba română
Piciorul Caprei,capre negre,2,45.4441474413225,23.5596672361776,Hunedoara,Înălțime,1192,1188,Piciorul Caprei,Geomil 25000,Limba română
Vârful Capra Mică,capre negre,2,45.4250054498059,23.5502049354669,Hunedoara,Înălțime,1189,1188,Vârful Capra Mică,Geomil 25000,Limba română
Vârful Caprei,capre negre,2,45.6005335163714,24.6199709110355,Sibiu,Înălțime,2716,,Vârful Caprei,Geomil 25000,Limba română
