Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3
Vârfu Ieduțului,iezi,3,46.0327022538772,22.3389486198564,Arad,Înălțime,949,Vârfu Ieduțului,Geomil 25000,Limba română
Muchia Iedului,iezi,3,45.4618692343976,24.4618507719368,Arges,Înălțime,10194,Muchia Iedului,Geomil 25000,Limba română
Valea Iedului,iezi,3,45.3936399716211,24.7741761729485,Arges,Vale,13454,Valea Iedului,Geomil 25000,Limba română
Movila Iedului,iezi,3,45.182985642451,27.5108099521923,Braila,Înălțime,3604,Movila Iedului,Austriacă,Limba română,Movila Iedului,Geomil 25000,Limba română,Movila la Iedul,PDT,Limba română
Dealul Iedului,iezi,3,47.3170253843669,23.8817830271774,Cluj,Deal,11414,Dealul Iedului,Geomil 25000,Limba română
Valea Coada Iedului,iezi,3,44.7863892679068,25.2688889859185,Dambovita,Vale,10149,Valea Coada Iedului,PDT,Limba română
Lacul Iedului,iezi,3,44.1076897152281,23.7695506813866,Dolj,Lac,7703,Lacul Iedului,PDT,Limba română
Valea Iedului,iezi,3,44.6211104007469,23.8644209675318,Dolj,Vale,8293,Valea Iedului,PDT,Limba română
Balta Iedu,iezi,3,45.4213480740053,27.8069479026873,Galati,Apă-deal-câmpie,3614,Balta Iedu,Austriacă,Limba română
Balta Iedului,iezi,3,44.6205685665267,23.4931887217265,Gorj,Apă-deal-câmpie,13853,Balta Iedului,Geomil 25000,Limba română
Cioaca Iezilor,iezi,3,45.1754312629959,23.0497798421516,Gorj,Înălțime,12677,Cioaca Iezilor,Geomil 25000,Limba română
Culmea Iedului,iezi,3,47.7748305704933,24.818328894978,Maramures,Înălțime,7193,Culmea Iedului,Geomil 25000,Limba română
Pădurea Iedului,iezi,3,47.2026824287443,26.0979119887123,Neamt,Pădure,2059,Pădurea Iedului,Geomil 25000,Limba română
Valea Iedului,iezi,3,45.0198636139844,26.0992566550053,Prahova,Vale,826,Valea Iedului,Geomil 25000,Limba română
Valea Iedului,iezi,3,47.4221242929562,22.7342141023902,Satu Mare,Vale,14035,Valea Iedului,Geomil 25000,Limba română,Valea Iedului,PDT,Limba română
Iedul,iezi,3,47.5930036795557,25.0910610676783,Suceava,Localitate,7245,Iedul,PDT,Limba română
Iedul,iezi,3,47.6201874230001,25.0874061236254,Suceava,Înălțime,12896,Iedul,Geomil 25000,Limba română
Iedul,iezi,3,45.5163254121273,24.2036569577571,Valcea,Vale,10206,Iedul,Geomil 25000,Limba română
Valea Iedului,iezi,3,44.6763955726047,24.1279852901974,Valcea,Vale,4796,Valea Iedului,PDT,Limba română
