Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3
Valea Țapului,țap,3,46.0479073279778,24.0301871850217,Alba,Vale,2552,Valea Țapului,Geomil 25000,Limba română,Valea Țapului,PDT,Limba română
La Țapi,țap,3,46.3844371489444,22.3784555386093,Arad,Altele,5609,La Țapi,Geomil 25000,Limba română
Pârâu Țapului,țap,3,46.4472255504286,22.1390021349698,Arad,Vale,975,Pârâu Țapului,Geomil 25000,Limba română
Valea Țapului,țap,3,45.9898802071055,21.625040928478,Arad,Vale,10354,Valea Țapului,Geomil 25000,Limba română
Dealul Țapului,țap,3,46.5946055958488,27.0279234447354,Bacau,Deal,7814,Dealul Țapului,Geomil 25000,Limba română
Plaiul Țapului,țap,3,46.3599042357175,26.3202971089752,Bacau,Înălțime,12776,Plaiul Țapului,PDT,Limba română,Plaiul Țapului,Geomil 25000,Limba română
Dealu Țapu,țap,3,46.7862962705858,22.3889293411195,Bihor,Deal,7010,Dealu Țapu,Geomil 25000,Limba română
Dealul Țapului,țap,3,46.8655212590914,22.2134503093848,Bihor,Deal,12366,Dealul Țapului,PDT,Limba română
Pârâu Țapului,țap,3,46.5759323401241,22.6008962728127,Bihor,Vale,14208,Pârâu Țapului,Geomil 25000,Limba română
Țapu,țap,3,46.5243103292572,22.6461037488641,Bihor,Înălțime,7005,Țapu,Geomil 25000,Limba română
Valea Țapilor,țap,3,46.6707405210773,22.5955820021862,Bihor,Vale,9406,Valea Țapilor,PDT,Limba română
Părâul Țapului,țap,3,47.3897676462894,24.338095073475,Bistrita Nasaud,Vale,10646,Părâul Țapului,Imperiul Habsburgic (1887),Limba română
Movila Țapului,țap,3,44.9404802921014,26.8473477012966,Buzau,Înălțime,64,Movila Țapului,Geomil 25000,Limba română,Movila Țapului,PDT,Limba română,кург. Цап (mov. Țap),Sovietică,Limba română
Tâlva Țapului,țap,3,45.3025875858694,21.8342266749551,Caras Severin,Înălțime,4324,Tâlva Țapului,Geomil 25000,Limba română
Dealul Țapului,țap,3,46.1789481289124,25.5167241456061,Covasna,Deal,10060,Dealul Țapului,Geomil 25000,Limba română
Dealul Țapului,țap,3,44.1172208486676,23.9481778267552,Dolj,Deal,3017,Dealul Țapului,Geomil 25000,Limba română
Dealul Țapului,țap,3,44.1136811479697,23.9456084603277,Dolj,Deal,7694,Dealul Țapului,PDT,Limba română
Dealul Țapului,țap,3,46.102925484254,27.4940872807577,Galati,Deal,727,Dealul Țapului,Geomil 25000,Limba română
Muntele Țapul,țap,3,45.3136029817136,23.5153627919776,Gorj,Înălțime,1186,Muntele Țapul,Geomil 25000,Limba română
Dealul Țapului,țap,3,45.6169904886429,23.0882217047504,Hunedoara,Deal,5552,Dealul Țapului,Geomil 25000,Limba română
Valea Țapului,țap,3,45.6439263810788,22.9838832168593,Hunedoara,Vale,5546,Valea Țapului,Geomil 25000,Limba română
Vârfu Țapului,țap,3,46.1757057285633,22.777688009777,Hunedoara,Înălțime,933,Vârfu Țapului,Geomil 25000,Limba română
Vârfu Țapului,țap,3,45.6682427966479,22.9517780499816,Hunedoara,Înălțime,6111,Vârfu Țapului,Geomil 25000,Limba română
Obcina Țapului,țap,3,47.5223778681035,24.153800313397,Maramures,Înălțime,1031,Obcina Țapului,Geomil 25000,Limba română
Secătura Țapului,țap,3,47.4340459326771,24.0934053335382,Maramures,Altele,7095,Secătura Țapului,Geomil 25000,Limba română
Vârfu Țapului,țap,3,47.7626664897219,23.3780548590397,Maramures,Înălțime,4477,Vârfu Țapului,Geomil 25000,Limba română
Piciorul Țapului,țap,3,46.6662735855327,26.1749893386084,Neamt,Înălțime,6530,Piciorul Țapului,PDT,Limba română
Podul Valea Țapului,țap,3,47.0611933353005,26.7735744665293,Neamt,Altele,11638,Podul Valea Țapului,Geomil 25000,Limba română
Dealul Țapul,țap,3,44.8090083267653,24.5246850347909,Olt,Deal,13529,Dealul Țapul,PDT,Limba română
Dealul Țapului,țap,3,44.7807213043474,24.5300571679547,Olt,Deal,14235,Dealul Țapului,PDT,Limba română
Poiana Țapului,țap,3,45.3941044868348,25.537691750855,Prahova,Localitate,9796,Poiana Țapului,Geomil 25000,Limba română
Tabla Țapilor,țap,3,47.6978386303168,22.7642670330109,Satu Mare,Altele,6965,Tabla Țapilor,Geomil 25000,Limba română
Dealul Țapului,țap,3,47.7308065892236,25.8796737067077,Suceava,Deal,2277,Dealul Țapului,Geomil 25000,Limba română
Țapul Mare,țap,3,47.6384550660958,25.0819437646232,Suceava,Înălțime,7239,Țapul Mare,Geomil 25000,Limba română
Pârâul Țapului,țap,3,45.2832990342007,24.2420148290011,Valcea,Vale,12971,Pârâul Țapului,Geomil 25000,Limba română
Valea Țapului,țap,3,44.7731786542331,23.9711120651927,Valcea,Vale,8417,Valea Țapului,PDT,Limba română
Dealul Țapului,țap,3,45.6523545216452,26.7311712913345,Vrancea,Deal,2106,Dealul Țapului,Geomil 25000,Limba română
