Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
La Iepuroaia,iepuri,2,44.4068116505172,23.2248987275277,Dolj,Altele,123,La Iepuroaia,Geomil 25000,Limba română,La Iepuroaia,PDT,Limba română
Vadul Iepurelui,iepuri,2,43.8753516812191,23.3319490169522,Dolj,Apă-deal-câmpie,155,Vadul Iepurelui,Geomil 25000,Limba română
Lunca Iepuranilor,iepuri,2,44.5966257195293,23.1194210620596,Mehedinti,Apă-deal-câmpie,211,Lunca Iepuranilor,Geomil 25000,Limba română
Pădurea Iepureasca,iepuri,2,44.2426529517261,25.8988725154252,Giurgiu,Pădure,464,Pădurea Iepureasca,Geomil 25000,Limba română
Ostrovu Iepurașu,iepuri,2,44.1971940477181,27.6607474783161,Constanta,Apă-deal-câmpie,479,Ostrovu Iepurașu,Geomil 25000,Limba română
La Iepuraș,iepuri,2,45.3475943952251,27.4780243797562,Braila,Altele,754,La Iepuraș,Geomil 25000,Limba română
Pădurea Buz de Iepure,iepuri,2,45.1330555610349,26.1094069163758,Prahova,Pădure,823,Pădurea Buz de Iepure,Geomil 25000,Limba română
Dealu Iepure,iepuri,2,46.4387133663372,22.1303803058575,Arad,Deal,974,Dealu Iepure,Geomil 25000,Limba română
Poiana Iepurașului,iepuri,2,47.0540663627689,27.2306157302429,Iasi,Poiană,1643,Poiana Iepurașului,Geomil 25000,Limba română
Valea Iepurelui,iepuri,2,46.1986889472987,24.4294518223536,Sibiu,Vale,1906,Valea Iepurelui,Geomil 25000,Limba română
Muntele Piatra Iepurelui,iepuri,2,47.1897138396787,25.934855150396,Neamt,Înălțime,2071,Muntele Piatra Iepurelui,Geomil 25000,Limba română
Câmpu Iepurelui,iepuri,2,47.6925306490624,22.339836947135,Satu Mare,Câmp,2607,Câmpu Iepurelui,Geomil 25000,Limba română
Movila Iepure,iepuri,2,44.4462497606756,27.8398763143668,Ialomita,Înălțime,2835,Movila Iepure,Geomil 25000,Limba română
Pădurea Iepurilor,iepuri,2,44.7907899563659,28.3842069828447,Tulcea,Pădure,2882,Pădurea Iepurilor,Geomil 25000,Limba română
Movila Iepurilor,iepuri,2,43.7943132909289,25.5181431875989,Teleorman,Înălțime,3415,Movila Iepurilor,PDT,Limba română
Dealu La Iepure,iepuri,2,46.9222869787744,23.0889002427316,Salaj,Deal,7019,Dealu La Iepure,Geomil 25000,Limba română
Dealul Iepurelui,iepuri,2,47.4613291076071,24.1123937208754,Maramures,Deal,7093,Dealul Iepurelui,Geomil 25000,Limba română
Groapa Iepurilor,iepuri,2,46.3832390936378,23.8782398572576,Alba,Altele,7355,Groapa Iepurilor,PDT,Limba română
Iepurași,iepuri,2,46.9757447588187,27.3684397396964,Iasi,Altele,7803,Iepurași,Geomil 25000,Limba română
Dealul Iepure,iepuri,2,44.8926097838786,28.5678254127127,Tulcea,Deal,9302,Dealul Iepure,Geomil 25000,Limba română
Muntele Iepurelui,iepuri,2,46.3713445023375,25.4184364923819,Harghita,Înălțime,11469,Muntele Iepurelui,Geomil 25000,Limba română
Măgura Iepurelui,iepuri,2,43.8929684204043,24.1609384265038,Dolj,Înălțime,11604,Măgura Iepurelui,Geomil 25000,Limba română
Dealu Iepurelui,iepuri,2,46.1362889040967,23.145652064022,Hunedoara,Deal,11822,Dealu Iepurelui,Geomil 25000,Limba română
Movila Iepurilor,iepuri,2,44.6753307692256,27.6661042687071,Ialomita,Înălțime,12416,Movila Iepurilor,Geomil 25000,Limba română
Balta Iepurească,iepuri,2,47.7823105293048,23.8605248572717,Maramures,Apă-deal-câmpie,13000,Balta Iepurească,Geomil 25000,Limba română
Valea Iepurelui,iepuri,2,46.727350614623,27.4777624146085,Vaslui,Vale,14149,Valea Iepurelui,Geomil 25000,Limba română
Valea Iepuroaiei,iepuroaie,3,44.7349709061801,23.4788337067458,Gorj,Vale,5115,Valea Iepuroaiei,Geomil 25000,Limba română
La Iepuriște,iepuriște,3,47.6813922068471,22.4937563554477,Satu Mare,Altele,11977,La Iepuriște,Geomil 25000,Limba română
