Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1
Culmea Lupoaicei,lupoaică,4,45.3784710337057,24.6398517250377,Arges,Înălțime,637,Culmea Lupoaicei,Geomil 25000,Limba română
Valea Lupoiaca,lupoaică,4,45.073527591546,25.6493396684066,Dambovita,Vale,1502,Valea Lupoiaca,Geomil 25000,Limba română
Coasta Lupoaicei,lupoaică,4,45.5615357261612,27.0594401263859,Vrancea,Înălțime,2150,Coasta Lupoaicei,Geomil 25000,Limba română
Valea Lupoaicei,lupoaică,4,44.3082920094638,24.5377335025332,Olt,Vale,2996,Valea Lupoaicei,Geomil 25000,Limba română
Măgura Lupoaicei,lupoaică,4,44.0204305557965,23.4499895773715,Dolj,Înălțime,3343,Măgura Lupoaicei,PDT,Limba română
Valea Lupoaicei,lupoaică,4,44.1968717338649,23.6719759971595,Dolj,Vale,3353,Valea Lupoaicei,Geomil 25000,Limba română
Piciorul Lupoaicei,lupoaică,4,47.8865923221291,23.5209118029104,Satu Mare,Înălțime,4465,Piciorul Lupoaicei,Geomil 25000,Limba română
Valea Lupoaicei,lupoaică,4,44.3852824390603,23.6301811498708,Dolj,Vale,4705,Valea Lupoaicei,Geomil 25000,Limba română
Dealul Lupoaicei,lupoaică,4,44.7220229110805,23.6901159035178,Gorj,Deal,5150,Dealul Lupoaicei,Geomil 25000,Limba română
Valea Lupoaica Mare,lupoaică,4,44.879235622349,23.3684715512118,Gorj,Vale,12447,Valea Lupoaica Mare,PDT,Limba română
Dealul Lupoaicei,lupoaică,4,46.8782779444126,27.7905911981559,Vaslui,Deal,14112,Dealul Lupoaicei,Geomil 25000,Limba română
