Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3
Vârfu Lupăriei,lupărie,3,46.4754760279669,22.2853666738332,Arad,Înălțime,6995,Vârfu Lupăriei,Geomil 25000,Limba română
Dealul la Lupăriei,lupărie,3,46.306875794931,27.1220684207084,Bacau,Deal,9678,Dealul la Lupăriei,Moldova (1892-1898),Limba română
Drumul Lupăriei,lupărie,3,46.6354697040459,26.8074137023944,Bacau,Drum,7872,Drumul Lupăriei,Geomil 25000,Limba română
Groapa Lupării,lupărie,3,46.4609587576418,26.2122617990945,Bacau,Altele,6555,Groapa Lupării,PDT,Limba română
La Lupăria,lupărie,3,46.5544224556298,26.4469067180154,Bacau,Altele,4600,La Lupăria,Geomil 25000,Limba română,La Lupărie,Moldova (1892-1898),Limba română
La Lupărie,lupărie,3,46.2652063273149,26.5797130446935,Bacau,Altele,9538,La Lupărie,Moldova (1892-1898),Limba română
Lupăria,lupărie,3,46.6090189393081,26.8318502618393,Bacau,Înălțime,7874,Lupăria,Geomil 25000,Limba română
Dealul Lupăria,lupărie,3,47.9156206829873,26.3625975448406,Botosani,Deal,4909,Dealul Lupăria,PDT,Limba română
Dealul Lupăriei,lupărie,3,47.8851367436513,26.682769551545,Botosani,Deal,2344,Dealul Lupăriei,Geomil 25000,Limba română
Hârtopul Lupăriei,lupărie,3,47.6077290211833,27.2791778843868,Botosani,Altele,2431,Hârtopul Lupăriei,Geomil 25000,Limba română,Lupăria,PDT,Limba română
La Lupărie,lupărie,3,48.1041972912547,26.3013987523923,Botosani,Altele,2016,La Lupărie,Geomil 25000,Limba română
Lupăria,lupărie,3,47.5976995527257,26.9212818306445,Botosani,Înălțime,2362,Lupăria,Geomil 25000,Limba română
Lupăria,lupărie,3,47.631701234907,26.597223853196,Botosani,Altele,7774,Lupăria,PDT,Limba română
Movila Lupării,lupărie,3,47.8831623395981,26.4999889467565,Botosani,Înălțime,9582,Movila Lupării,Moldova (1892-1898),Limba română
Valea Lupăriei,lupărie,3,47.8308892757838,26.6732245863657,Botosani,Vale,2413,Valea Lupăriei,Geomil 25000,Limba română
La Lupărie,lupărie,3,45.1176441815857,21.9154854861618,Caras Severin,Altele,10249,La Lupărie,Geomil 25000,Limba română
La Lupărie,lupărie,3,45.0805352383598,21.9309610090372,Caras Severin,Altele,13489,La Lupărie,PDT,Limba română
