Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Coasta Mieilor,miei,3,46.2306102980439,23.6638920814434,Alba,Altele,1922,Coasta Mieilor,Geomil 25000,Limba română
Dâmbu Mieilor,miei,3,46.0487685189138,22.2817918805046,Alba,Înălțime,951,Dâmbu Mieilor,Geomil 25000,Limba română
Dealu Mielului,miei,3,46.494999323392,22.8335752167877,Alba,Deal,12550,Dealu Mielului,Geomil 25000,Limba română,Dealul Melului,PDT,Limba română
Râpele Oilor,oi (ovine),3,46.1535328278217,23.7855193210789,Alba,Înălțime,2560,Râpele Oilor,Geomil 25000,Limba română
Câmpu Oilor,oi (ovine),3,46.5707743989551,21.5562909021635,Arad,Câmp,10369,Câmpu Oilor,Geomil 25000,Limba română
Dealu Oilor,oi (ovine),3,46.4246768425886,22.1405937184712,Arad,Deal,973,Dealu Oilor,Geomil 25000,Limba română
Valea Oii Mari,oi (ovine),3,46.141366301666,22.181296208699,Arad,Vale,967,Valea Oii Mari,Geomil 25000,Limba română
Valea Mielului,miei,3,44.9045857962171,25.0375216254232,Arges,Vale,8357,Valea Mielului,PDT,Limba română
Culmea Mioarelor,mioare,4,45.4284597772274,24.8339992774277,Arges,Înălțime,634,Culmea Mioarelor,Geomil 25000,Limba română
Pârâul Mioarelor,mioare,4,45.4922605013248,24.7375175610503,Arges,Vale,12967,Pârâul Mioarelor,Geomil 25000,Limba română
Tăul Mioarelor,mioare,4,45.5867858195867,24.837587667792,Arges,Altele,11571,Tăul Mioarelor,Geomil 25000,Limba română
Dealul Oii,oi (ovine),3,45.0168144331846,24.8191115158234,Arges,Deal,6895,Dealul Oii,Geomil 25000,Limba română
Groapa Oii,oi (ovine),3,45.210552583502,25.1777051168203,Arges,Altele,6874,Groapa Oii,Geomil 25000,Limba română
Pârâul Oilor,oi (ovine),3,45.4780136394294,24.6937940293664,Arges,Vale,12969,Pârâul Oilor,Geomil 25000,Limba română
Piscul Oii,oi (ovine),3,45.5038871679173,24.8486576382272,Arges,Înălțime,5007,Piscul Oii,Geomil 25000,Limba română
Plaiu Oii,oi (ovine),3,44.976824309618,24.8355287267695,Arges,Înălțime,6903,Plaiu Oii,Geomil 25000,Limba română
Plaiu Oii,oi (ovine),3,44.9617831976076,24.712979226231,Arges,Înălțime,8345,Plaiu Oii,Geomil 25000,Limba română
Plaiul Oii,oi (ovine),3,45.2007807788748,24.8092957780808,Arges,Înălțime,5066,Plaiul Oii,PDT,Limba română
Plaiul Oii,oi (ovine),3,44.9166400985231,24.7388408526965,Arges,Înălțime,9698,Plaiul Oii,PDT,Limba română
Plaiul Oii,oi (ovine),3,45.2147699787413,24.5794990613612,Arges,Înălțime,12646,Plaiul Oii,Geomil 25000,Limba română
Plaju Oji,oi (ovine),3,45.5218369066366,24.5455793123633,Arges,Înălțime,12088,Plaju Oji,Valahia-Moldova (1773-1774),Limba română
Plaju Oji,oi (ovine),3,45.4656992450768,24.5329143825683,Arges,Înălțime,12089,Plaju Oji,Valahia-Moldova (1773-1774),Limba română
Valea Oilor,oi (ovine),3,45.2843774990489,25.0016089942035,Arges,Vale,15328,Valea Oilor,PDT,Limba română
Lanul Mieilor,miei,3,46.447026366297,26.9268666643928,Bacau,Altele,7869,Lanul Mieilor,Geomil 25000,Limba română
Piciorul Mieilor,miei,3,46.6454318341403,26.1831520020391,Bacau,Înălțime,7877,Piciorul Mieilor,Geomil 25000,Limba română
Plaiul Mieilor,miei,3,46.5071669912833,26.2369215259995,Bacau,Înălțime,4592,Plaiul Mieilor,PDT,Limba română
Piciorul Mioarei,mioare,4,46.1946510155993,26.9851043954565,Bacau,Înălțime,7829,Piciorul Mioarei,Geomil 25000,Limba română
La Buda Oii,oi (ovine),3,46.195221720941,27.1373006422464,Bacau,Altele,12636,La Buda Oii,Geomil 25000,Limba română
Dealu Oilor,oi (ovine),3,46.9893897545633,22.1433427111606,Bihor,Deal,9938,Dealu Oilor,Geomil 25000,Limba română
Oile Împietrite,oi (ovine),3,46.6389027927378,22.2312677587003,Bihor,Altele,984,Oile Împietrite,Geomil 25000,Limba română
Valea Mielului,miei,3,47.2847920876799,24.5679161048159,Bistrita Nasaud,Vale,9862,Valea Mielului,PDT,Limba română
Dealul Oii,oi (ovine),3,47.2553828633211,24.6501058115432,Bistrita Nasaud,Deal,4518,Dealul Oii,Geomil 25000,Limba română
Dealul Oilor,oi (ovine),3,47.3447149813801,24.0667055581569,Bistrita Nasaud,Deal,7097,Dealul Oilor,Geomil 25000,Limba română
Izvorul Oii,oi (ovine),3,47.5113219455664,24.9256030202347,Bistrita Nasaud,Vale,15126,Izvorul Oii,Munții noștri,Limba română
Cotul Oilor,oi (ovine),3,47.5787419535981,26.5635643396341,Botosani,Apă-deal-câmpie,14066,Cotul Oilor,Geomil 25000,Limba română
Hârtopul Oilor,oi (ovine),3,48.0619882040346,26.7410303492367,Botosani,Altele,2333,Hârtopul Oilor,Geomil 25000,Limba română
Hârtopul Oilor,oi (ovine),3,47.6767826546158,27.1720963436629,Botosani,Altele,2372,Hârtopul Oilor,Geomil 25000,Limba română
Căținul Oilor,oi (ovine),3,44.8913717097369,28.0332025439614,Braila,Altele,3484,Căținul Oilor,PDT,Limba română
Căținul Oilor,oi (ovine),3,45.0010579239134,28.0312184187162,Braila,Apă-deal-câmpie,6715,Căținul Oilor,PDT,Limba română
Báránykút (Puțul Mielului),miei,3,46.002535187165,24.9238279050241,Brasov,Localitate,10634,Báránykút (Puțul Mielului),Imperiul Habsburgic (1887),Limba maghiară
Valea Mielului,miei,3,45.5018689178524,25.341091170881,Brasov,Vale,15062,Valea Mielului,Munții noștri,Limba română
La Muchia Oii,oi (ovine),3,45.5382845776525,25.5451806537516,Brasov,Înălțime,2789,La Muchia Oii,Geomil 25000,Limba română
Dealul Mieilor,miei,3,45.4290534660416,26.7095992654752,Buzau,Deal,11564,Dealul Mieilor,Geomil 25000,Limba română
Movila Oii,oi (ovine),3,45.030534902383,27.0693641102839,Buzau,Înălțime,8727,Movila Oii,PDT,Limba română
Vadu Oii,oi (ovine),3,45.5340901790904,26.4730616695575,Buzau,Localitate,7920,Vadu Oii,Geomil 25000,Limba română
Vârful Oii,oi (ovine),3,45.4317991279224,26.3789517944994,Buzau,Înălțime,13294,Vârful Oii,Geomil 25000,Limba română
Groapa Oi,oi (ovine),3,44.1561113815363,27.1057728145871,Calarasi,Altele,3233,Groapa Oi,PDT,Limba română
Dealu Mieilor,miei,3,45.1362514007408,21.6875674213485,Caras Severin,Deal,5715,Dealu Mieilor,Geomil 25000,Limba română
Valea Mieilor,miei,3,45.1324191203823,22.2946205004293,Caras Severin,Vale,8681,Valea Mieilor,PDT,Limba română
Vârful Mieilor,miei,3,44.6920206389082,21.9031924193032,Caras Severin,Înălțime,5735,Vârful Mieilor,Geomil 25000,Limba română
Padina Oilor,oi (ovine),3,44.7596900232656,21.7607045006665,Caras Severin,Altele,14106,Padina Oilor,Geomil 25000,Limba română
Dealu Mieilor,miei,3,46.6420909660677,23.1657335403057,Cluj,Deal,2591,Dealu Mieilor,Geomil 25000,Limba română
Pârâul Mieilor,miei,3,46.7156486504931,23.3370380767835,Cluj,Vale,8962,Pârâul Mieilor,PDT,Limba română
Pădurea Oilor,oi (ovine),3,46.7610361196468,24.0152032667291,Cluj,Pădure,5869,Pădurea Oilor,Geomil 25000,Limba română
Valea Mieilor,miei,3,44.4450488279371,28.1329409373034,Constanta,Vale,2838,Valea Mieilor,Geomil 25000,Limba română
Vadul Oii,oi (ovine),3,44.7389335126935,27.882148703624,Constanta,Altele,3471,Vadul Oii,PDT,Limba română
Dealul Oilor,oi (ovine),3,45.1015307480817,25.4066781703349,Dambovita,Deal,5992,Dealul Oilor,Geomil 25000,Limba română
Vâlceaua Oilor,oi (ovine),3,44.5102429397055,25.3138399259553,Dambovita,Vale,11280,Vâlceaua Oilor,Geomil 25000,Limba română
Balta Oii,oi (ovine),3,43.840554620288,23.6591217646616,Dolj,Apă-deal-câmpie,3799,Balta Oii,PDT,Limba română
Fântâna Oilor,oi (ovine),3,43.9446850213164,24.2006512293988,Dolj,Altele,3037,Fântâna Oilor,Geomil 25000,Limba română
Fântâna Oilor,oi (ovine),3,44.0546515165074,23.6524437901296,Dolj,Altele,13603,Fântâna Oilor,PDT,Limba română
Măgura Oi,oi (ovine),3,44.0490291325067,23.41535929779,Dolj,Înălțime,11806,Măgura Oi,PDT,Limba română
Rediu Oiei,oi (ovine),3,45.9770585581099,27.9632509756079,Galati,Altele,9644,Rediu Oiei,Moldova (1892-1898),Limba română,Rediu Oii,Geomil 25000,Limba română
