Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1
Culmea Mioarelor,mioare,4,45.4284597772274,24.8339992774277,Arges,Înălțime,634,,Culmea Mioarelor,Geomil 25000,Limba română
Pârâul Mioarelor,mioare,4,45.4922605013248,24.7375175610503,Arges,Vale,12967,,Pârâul Mioarelor,Geomil 25000,Limba română
Pârâul Mioarelor,mioare,4,45.4352889496808,24.8343922300487,Arges,Vale,13453,634,Pârâul Mioarelor,Geomil 25000,Limba română
Tăul Mioarelor,mioare,4,45.5867858195867,24.837587667792,Arges,Altele,11571,,Tăul Mioarelor,Geomil 25000,Limba română
Piciorul Mioarei,mioare,4,46.1946510155993,26.9851043954565,Bacau,Înălțime,7829,,Piciorul Mioarei,Geomil 25000,Limba română
Gruiul Mioarelor,mioare,4,45.5817453412307,23.8279500074941,Sibiu,Înălțime,11209,,Gruiul Mioarelor,ANCPI,Limba română
Poiana Mioarelor,mioare,4,45.6296875545693,23.7913180759423,Sibiu,Poiană,13090,,Poiana Mioarelor,Geomil 25000,Limba română
Târla Mioarelor,mioare,4,45.6099847923531,24.5463572086397,Sibiu,Altele,11572,,Târla Mioarelor,ANCPI,Limba română
Valea Mioarelor,mioare,4,45.6356362015916,23.7887831672678,Sibiu,Vale,13091,13090,Valea Mioarelor,Geomil 25000,Limba română
Pârâul Mioara,mioare,4,45.4085383502201,23.707050597428,Valcea,Vale,15725,,Pârâul Mioara,Munții noștri,Limba română
Poiana Mioarelor,mioare,4,45.5235566404488,23.9250783918506,Valcea,Poiană,7416,,Poiana Mioarelor,Geomil 25000,Limba română
Culmea Mioarei,mioare,4,45.833731956955,26.5947166776697,Vrancea,Înălțime,2128,,Culmea Mioarei,Geomil 25000,Limba română
