Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3
Culmea Scroafei,scroafă,3,45.4558171284746,24.6840674233575,Arges,Înălțime,11203,,Culmea Scroafei,ANCPI,Limba română
Dealul Scroafa,scroafă,3,44.8939446506616,24.679703760461,Arges,Deal,85,,Дялу-Скроафа (Dealul Scroafa),Sovietică,Limba română,Dealul Scroafa,Geomil 25000,Limba română,Dealul Scrofa,PDT,Limba română
Poiana Scroafa Mică,scroafă,3,45.4415077669689,24.6916659814749,Arges,Poiană,11204,11203,Poiana Scroafa Mică,Geomil 25000,Limba română
Valea Scroafa,scroafă,3,44.751911981432,24.7957792234534,Arges,Vale,4782,,Valea Scroafa,PDT,Limba română
Valea Scroafei,scroafă,3,44.8875873044245,24.6772247926248,Arges,Vale,84,85,Valea Scroafei,Geomil 25000,Limba română
Valea Scroafei,scroafă,3,44.6707851627314,24.9066298276551,Arges,Vale,11190,,Valea Scroafei,ANCPI,Limba română
Valea Scroafei,scroafă,3,45.4337881375935,24.6790992399824,Arges,Vale,11202,11203,Valea Scroafei,ANCPI,Limba română
Scroafa,scroafă,3,44.960635570216,28.0886135080313,Braila,Apă-deal-câmpie,6705,,Scroafa,PDT,Limba română
Valea Scroafei,scroafă,3,46.1211619130164,25.1396649880976,Brasov,Vale,7947,,Valea Scroafei,PDT,Limba română
Ogașul Scroafa,scroafă,3,45.1811975231645,22.3685634620605,Caras Severin,Vale,14614,,Ogașul Scroafa,PDT,Limba română
Dealu Scroafelor,scroafă,3,47.0612500479154,23.5027144576479,Cluj,Deal,14027,,Dealu Scroafelor,Geomil 25000,Limba română
Valea Scroafei,scroafă,3,46.508048232469,22.7112490008384,Cluj,Vale,10289,,Valea Scroafei,PDT,Limba română
Valea Scrofii,scroafă,3,46.5920764193816,23.9594568911996,Cluj,Vale,10661,,Valea Scrofii,Imperiul Habsburgic (1887),Limba română
Valea cu Scroafa,scroafă,3,44.5790992233151,23.6760820929379,Dolj,Vale,8281,,Valea cu Scroafa,PDT,Limba română
Dealul Piscu Scroafi,scroafă,3,46.041207224165,27.7166645691246,Galati,Deal,9753,,Dealul Piscu Scroafi,Moldova (1892-1898),Limba română
Dealul Scroafei,scroafă,3,45.9854636560867,27.9093901379847,Galati,Deal,9746,,Dealul Scroafei,Geomil 25000,Limba română
Valea Scroafa,scroafă,3,44.8498863035545,23.7184038980002,Gorj,Vale,12684,,Valea Scroafa,PDT,Limba română
Valea Scroafei,scroafă,3,44.9132515493176,23.465821139768,Gorj,Vale,3132,,Valea Scroafei,Geomil 25000,Limba română
Poartea Scroafei,scroafă,3,44.7544451055962,22.9266839354509,Mehedinti,Înălțime,9782,421,Poartea Scroafei,PDT,Limba română
Valea Scroafei,scroafă,3,44.7469011578319,22.9154220266557,Mehedinti,Vale,421,,Valea Scroafei,Geomil 25000,Limba română
Dealul Scroafei,scroafă,3,46.6604171712025,25.0798122428885,Mures,Înălțime,10845,,Dealul Scroafei,Geomil 25000,Limba română
Valea Scroafei,scroafă,3,46.1806798679428,24.968771811318,Mures,Vale,2464,,Valea Scroafei,Geomil 25000,Limba română
Valea Scroafei,scroafă,3,46.111923029505,25.0363531848139,Mures,Vale,6791,,Valea Scroafei,PDT,Limba română
Lacul Scroafei,scroafă,3,44.2318113468642,24.5683134204053,Olt,Lac,2985,,Lacul Scroafei,PDT,Limba română
Padina Scroafei,scroafă,3,44.0447055235233,25.4836425660512,Teleorman,Altele,9025,,Padina Scroafei,PDT,Limba română
Valea Scroafa,scroafă,3,43.8718120125933,25.4715183391785,Teleorman,Vale,3412,,Valea Scroafa,PDT,Limba română
Pădurea Scroafei,scroafă,3,46.6515406136547,27.541258337076,Vaslui,Pădure,4619,,Pădurea Scroafei,Geomil 25000,Limba română
