Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Ursoiu,ursoi,3,46.042865058837,23.2373025378437,Alba,Altele,2566,,Ursoiu,Geomil 25000,Limba română
Cioka Ursoiui,ursoi,3,46.1196931224957,22.1561905724234,Arad,Înălțime,10874,,Cioka Ursoiui,Ungară 1869,Limba română
Dealu Ursoiului,ursoi,3,46.497454235958,22.1432086574011,Arad,Deal,977,,Dealu Ursoiului,Geomil 25000,Limba română,Dealul Ursoiului,PDT,Limba română
Pârâul Ursoiu,ursoi,3,45.3430470120867,24.5176664795309,Arges,Vale,12584,,Pârâul Ursoiu,British Maps (1944),Limba română
Dealul Ursoiul Mic,ursoi,3,46.1165394174957,26.7667444347738,Bacau,Deal,5296,5295,Dealul Ursoiul Mic,Geomil 25000,Limba română
Dealul Ursoiului,ursoi,3,46.474771055125,26.7293015781533,Bacau,Deal,3838,,Dealul Ursoiului,Geomil 25000,Limba română
Pădurea Ursoiului,ursoi,3,46.2839902445625,27.2016579006739,Bacau,Pădure,3920,,Pădurea Ursoiului,Geomil 25000,Limba română
Pădurea Ursoiului,ursoi,3,46.4263533205589,27.3653930853784,Bacau,Pădure,9634,,Pădurea Ursoiului,Geomil 25000,Limba română
Plaiul Ursoiului,ursoi,3,46.1423763077568,26.7501496874588,Bacau,Înălțime,13597,,Plaiul Ursoiului,PDT,Limba română
Poiana Ursoiul Mic,ursoi,3,46.1049263328454,26.7715253285018,Bacau,Poiană,5303,5295,Poiana Ursoiul Mic,PDT,Limba română
Ursoilor,ursoi,3,46.5327630230756,26.6859093570466,Bacau,Vale,12030,,Ursoilor,Moldova (1788-1790),Limba română
Ursoiul Mare,ursoi,3,46.1040644872658,26.7610927971556,Bacau,Vale,5293,5295,Ursoiul Mare,Geomil 25000,Limba română
Ursoiul Mic,ursoi,3,46.0925778982129,26.7524023862564,Bacau,Vale,5294,5295,Ursoiul Mic,Geomil 25000,Limba română
Dealu Ursoiu,ursoi,3,47.349066492223,22.4921177495278,Bihor,Deal,6949,6948,Dealu Ursoiu,Geomil 25000,Limba română
Pădurea Ursoi,ursoi,3,47.4941389086455,23.1625695472668,Bihor,Pădure,10826,,Pădurea Ursoi,Geomil 25000,Limba română,Pădurea Ursoi,Imperiul Habsburgic (1887),Limba română
Ursoiu,ursoi,3,47.210719867582,22.3915859514666,Bihor,Altele,4192,,Ursoiu,PDT,Limba română
Vârful Ursoiului,ursoi,3,47.3236746313857,24.6413073090428,Bistrita Nasaud,Înălțime,9866,,Vârful Ursoiului,Geomil 25000,Limba română
Valea Ursoiului,ursoi,3,48.1800047447853,26.4718425783454,Botosani,Vale,4887,,Valea Ursoiului,PDT,Limba română
Valea Ursoi,ursoi,3,45.4185111483036,26.6450049535254,Buzau,Vale,5226,5228,Valea Ursoi,Geomil 25000,Limba română
Dealul Ursoiu,ursoi,3,46.9035274685776,22.8711153847848,Cluj,Deal,7023,,Dealul Ursoiu,Geomil 25000,Limba română
Dealu Ursoi,ursoi,3,46.2024675112651,22.8880550782243,Hunedoara,Deal,6254,,Dealu Ursoi,Geomil 25000,Limba română
Dealu Ursoi,ursoi,3,45.8879186231328,22.7275508405504,Hunedoara,Deal,9014,,Dealu Ursoi,Geomil 25000,Limba română,Dealul Ursoi,PDT,Limba română
Dealu Ursoiu,ursoi,3,46.1859359025388,22.7363389459002,Hunedoara,Deal,934,,Dealu Ursoiu,Geomil 25000,Limba română
Dealu Ursoiu Mic,ursoi,3,45.9526523230297,22.935512977862,Hunedoara,Deal,9011,,Dealu Ursoiu Mic,Geomil 25000,Limba română
Dealu Ursoiului,ursoi,3,45.8526419377451,22.7061544667691,Hunedoara,Deal,9013,,Dealu Ursoiului,Geomil 25000,Limba română
