Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Vulpei,vulpi,2,46.2243007577292,24.0509030831343,Alba,Altele,8637,,Vulpei,PDT,Limba română
Pârâul Vulpăria,vulpărie,3,46.5889049815101,26.5724667106864,Bacau,Vale,14322,,Pârâul Vulpăria,PDT,Limba română
Pârâul Vulpării,vulpărie,3,46.4551151881346,26.4051548571373,Bacau,Vale,6552,6550,Pârâul Vulpării,PDT,Limba română
Piciorul Vulpării,vulpărie,3,46.4578473179567,26.4071044378811,Bacau,Înălțime,6550,,Piciorul Vulpării,PDT,Limba română
Vârful Vulpăriei,vulpărie,3,46.647870504485,26.2083862563289,Bacau,Înălțime,9953,,Vârful Vulpăriei,Geomil 25000,Limba română
Coada Vulpii,vulpi,2,46.5944802273749,26.7122145192419,Bacau,Altele,3834,,Coada Vulpii,Geomil 25000,Limba română
Dealul Vulpea,vulpi,2,46.6062624786527,26.7321280436619,Bacau,Deal,3823,,Dealul Vulpea,PDT,Limba română
Coasta Vulpilor,vulpi,2,46.992195905147,22.4210433218461,Bihor,Înălțime,10276,,Coasta Vulpilor,PDT,Limba română
Gaura Vulpii,vulpi,2,47.1687939610904,21.8497696796257,Bihor,Altele,11864,,Gaura Vulpii,PDT,Limba română
Movila Vulpei,vulpi,2,47.4043241272541,22.2927639256642,Bihor,Înălțime,5947,,Movila Vulpei,Geomil 25000,Limba română
Dealul Vulpăriilor,vulpărie,3,47.9711100231558,27.053437664163,Botosani,Deal,4874,,Dealul Vulpăriilor,PDT,Limba română,Dealul Vulpăriei,Geomil 25000,Limba română
Tarlaua Vulpărie,vulpărie,3,47.5981374467575,27.3272235155256,Botosani,Altele,11553,,Tarlaua Vulpărie,ANCPI,Limba română
Vulpărie,vulpărie,3,47.8852978152362,27.1268698174355,Botosani,Altele,11662,,Vulpărie,ANCPI,Limba română
Dealul Vulpii,vulpi,2,47.6647678228743,26.6480334080678,Botosani,Deal,1828,,Dealul Vulpii,Geomil 25000,Limba română
Dealul Vulpii,vulpi,2,48.0806545058413,26.5253324963688,Botosani,Deal,2322,,Dealul Vulpii,Geomil 25000,Limba română
Râpa Vulpii,vulpi,2,47.7307043569956,26.4581211132207,Botosani,Înălțime,1799,,Râpa Vulpii,Geomil 25000,Limba română
Grindu Vulpei,vulpi,2,45.2427607686107,28.086474976297,Braila,Înălțime,7678,,Grindu Vulpei,PDT,Limba română
Vulpea,vulpi,2,45.244169797567,28.0880637188711,Braila,Apă-deal-câmpie,7677,7678,Vulpea,PDT,Limba română
Dealul Vulpilor,vulpi,2,46.0209799702712,24.8999574640696,Brasov,Deal,2481,,Dealul Vulpilor,Geomil 25000,Limba română
Găurile Vulpilor,vulpi,2,45.6122685989182,25.4027972735136,Brasov,Altele,2708,,Găurile Vulpilor,Geomil 25000,Limba română,Găurile Vulpilor,PDT,Limba română
La Vulpărie,vulpărie,3,45.4287623388722,26.5578221354158,Buzau,Altele,13341,,La Vulpărie,Geomil 25000,Limba română
Poiana Vulpăriei,vulpărie,3,45.4687945208917,26.9459005617567,Buzau,Poiană,2091,,Poiana Vulpăriei,Geomil 25000,Limba română
La Vulpi,vulpi,2,45.2959042777967,26.684502989119,Buzau,Altele,12270,,La Vulpi,Geomil 25000,Limba română
Vulpea,vulpi,2,45.6916513287172,26.396286489595,Buzau,Vale,15054,,Vulpea,Munții noștri,Limba română
Japșa Cotu Vulpii,vulpi,2,44.0654610858024,26.4801542164519,Calarasi,Apă-deal-câmpie,12003,,Japșa Cotu Vulpii,Geomil 25000,Limba română
Colțu Vulpilor,vulpi,2,45.0737854415254,21.8159872800538,Caras Severin,Înălțime,10707,,Colțu Vulpilor,Geomil 25000,Limba română
Ogașu Vulpii,vulpi,2,44.8150156935339,21.7579202825517,Caras Severin,Vale,8504,,Ogașu Vulpii,Geomil 25000,Limba română
Pădurea Vulpei,vulpi,2,47.1710329335711,23.7930754029551,Cluj,Pădure,1098,,Pădurea Vulpei,Geomil 25000,Limba română
Valea Vulpii,vulpi,2,46.7336686858866,23.4462855204873,Cluj,Vale,1113,,Valea Vulpii,Geomil 25000,Limba română
Valea Găurile Vulpii,vulpi,2,44.1167566865812,27.4949680292562,Constanta,Vale,12747,,Valea Găurile Vulpii,PDT,Limba română
Valea Vulpii,vulpi,2,44.3202812546637,28.1627451553706,Constanta,Vale,2843,,Valea Vulpii,Geomil 25000,Limba română
Valea Vulpilor,vulpi,2,43.997816211805,27.82316627497,Constanta,Vale,2851,,Valea Vulpilor,Geomil 25000,Limba română
Culmea Vulpe,vulpi,2,45.7399633703358,26.3153367285251,Covasna,Înălțime,15097,,Culmea Vulpe,Munții noștri,Limba română
Vulpea,vulpi,2,45.7418475090922,26.321887739812,Covasna,Vale,15098,15097,Vulpea,Munții noștri,Limba română
Pădurea Vulpea,vulpi,2,44.6006891543216,25.9403984950936,Dambovita,Pădure,4258,,Pădurea Vulpea,PDT,Limba română
Lacul Vulpi,vulpi,2,44.1561116432054,23.5407924657413,Dolj,Lac,8098,,Lacul Vulpi,PDT,Limba română
Lacul Vulpii,vulpi,2,44.1675657708917,23.7289164579306,Dolj,Lac,3352,,Lacul Vulpii,PDT,Limba română
Măgura cu Vulpi,vulpi,2,44.0814561893596,23.1074176565467,Dolj,Înălțime,3652,,Măgura cu Vulpi,PDT,Limba română
Padina Vulpi,vulpi,2,44.1954254821119,23.3362300484148,Dolj,Altele,6166,,Padina Vulpi,Austriacă,Limba română
Pădurea Vulpii,vulpi,2,43.8713327796985,23.0641620235616,Dolj,Pădure,1310,,Pădurea Vulpii,Geomil 25000,Limba română
Valea Padina Vulpei,vulpi,2,44.2083910786988,23.2689224185872,Dolj,Vale,4641,,Valea Padina Vulpei,PDT,Limba română
Valea Vulpilor,vulpi,2,44.4314130331671,23.8494692612112,Dolj,Vale,398,,Valea Vulpilor,Geomil 25000,Limba română
Valea Vulpoaia,vulpoaie,3,44.5412880907084,23.7590738673294,Dolj,Vale,4730,,Valea Vulpoaia,PDT,Limba română
