Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Valea Șerpilor,șerpi,2,45.563466295671,23.5947328483747,Alba,Vale,11216,Valea Șerpilor,Geomil 25000,Limba română
Traga Șerpilor,șerpi,2,44.5353601647136,24.9917887316257,Arges,Altele,10114,Traga Șerpilor,PDT,Limba română
Valea Gaura Șarpelui,șerpi,2,44.4284688093095,24.8967976714803,Arges,Vale,3395,Valea Gaura Șarpelui,Geomil 25000,Limba română
Pârâul Șerpilor,șerpi,2,46.2938826375293,26.4854028363472,Bacau,Vale,4566,Pârâul Șerpilor,PDT,Limba română
Pârâul Șerpilor,șerpi,2,46.1008036241134,26.7831817152054,Bacau,Vale,5292,Pârâul Șerpilor,Geomil 25000,Limba română
Pârâul Șerpilor,șerpi,2,47.2076438492794,24.4405321139854,Bistrita Nasaud,Vale,7128,Pârâul Șerpilor,PDT,Limba română
Șerpoaia,șerpi,2,47.3755166347729,24.0502195446946,Bistrita Nasaud,Altele,13006,Șerpoaia,Geomil 25000,Limba română
Dealul Șerpăriei,șerpărie,3,47.9882459964697,26.9066755860692,Botosani,Deal,2405,Dealul Șerpăriei,Geomil 25000,Limba română
Șerpărie,șerpărie,3,47.8691792285743,26.9404768488392,Botosani,Înălțime,11557,Șerpărie,Geomil 25000,Limba română
Valea Șerpăriei,șerpărie,3,48.071822621939,26.8408598376038,Botosani,Vale,2397,Valea Șerpăriei,Geomil 25000,Limba română
Valea Șerpăriei,șerpărie,3,48.0375291638344,26.3501965036007,Botosani,Vale,4896,Valea Șerpăriei,Geomil 25000,Limba română
Groapa Șerpilor,șerpi,2,45.6772628815785,25.8157127455244,Brasov,Altele,4934,Groapa Șerpilor,Geomil 25000,Limba română
Pârâul Șerpilor,șerpi,2,45.6062453711053,25.3736506892732,Brasov,Vale,8563,Pârâul Șerpilor,PDT,Limba română
Japșa Șserpăriile,șerpărie,3,44.2117747252118,27.213085951529,Calarasi,Apă-deal-câmpie,3289,Japșa Șserpăriile,PDT,Limba română
Șarpele,șerpi,2,44.2310338421292,27.7094258418494,Calarasi,Altele,12480,Șarpele,PDT,Limba română
Cracul Șerpilor,șerpi,2,45.041757164135,22.0004564682471,Caras Severin,Înălțime,8686,Cracul Șerpilor,PDT,Limba română,Cracu Șerpilor,PDT,Limba română
Ogașu Șerpilor,șerpi,2,45.0392078891482,22.0060290069231,Caras Severin,Vale,8687,Ogașu Șerpilor,PDT,Limba română
Ogașul Șarpelui,șerpi,2,45.0904466641946,22.3942555681865,Caras Severin,Vale,8675,Ogașul Șarpelui,PDT,Limba română
Pârâu Șerpilor,șerpi,2,45.5965505426568,22.1717782823946,Caras Severin,Vale,6076,Pârâu Șerpilor,Geomil 25000,Limba română
Gura Șerpilor,șerpi,2,46.6521513629577,23.2092768112409,Cluj,Înălțime,10434,Gura Șerpilor,Transilvania (1869-1870),Limba română
Valea Șerpilor,șerpi,2,43.7930008691442,28.4472473106067,Constanta,Vale,12738,Valea Șerpilor,Geomil 25000,Limba română
Valea Șerpăria,șerpărie,3,45.065238238926,25.2868267762574,Dambovita,Vale,8370,Valea Șerpăria,PDT,Limba română
La Lacul Șarpelui,șerpi,2,44.2114324062427,23.6167542373215,Dolj,Lac,1298,La Lacul Șarpelui,Geomil 25000,Limba română,Lacul Serpelu,PDT,Limba română
Măgura Șerpilor,șerpi,2,43.8951386450713,23.3365446230598,Dolj,Înălțime,3803,Măgura Șerpilor,Geomil 25000,Limba română
Râpa Șerpilor,șerpi,2,45.7625309758495,28.0218198977442,Galati,Altele,14990,Râpa Șerpilor,PDT,Limba română
Valea Șerpoaicei,șerpi,2,45.6947742480383,28.033049245552,Galati,Vale,3503,Valea Șerpoaicei,PDT,Limba română
Lacul cu Șerpi,șerpi,2,44.4897831908184,25.8305934092624,Giurgiu,Lac,11194,Lacul cu Șerpi,ANCPI,Limba română
Padina Șerpătească,șerpi,2,44.0430802314339,25.9461793941795,Giurgiu,Altele,456,Padina Șerpătească,Geomil 25000,Limba română,Padina Șerpătească,PDT,Limba română
Pădurea Lacu Șerpilor,șerpi,2,44.5241296633468,25.541503374139,Giurgiu,Pădure,518,Pădurea Lacu Șerpilor,Geomil 25000,Limba română
Valea Șarpelui,șerpi,2,45.1844582088247,23.3897917263203,Gorj,Vale,238,Valea Șarpelui,Geomil 25000,Limba română
Valea Șerpilor,șerpi,2,45.3357743471045,23.1088173036892,Hunedoara,Vale,5130,Valea Șerpilor,Geomil 25000,Limba română
Șarpele,șerpi,2,47.4461868046145,26.7829219001634,Iasi,Vale,12924,Șarpele,Geomil 25000,Limba română
Măgura Șerpilor,șerpi,2,44.1777483346965,22.85025615222,Mehedinti,Înălțime,8086,Măgura Șerpilor,PDT,Limba română
Valea cu Șarpele,șerpi,2,44.3754939225616,22.8860387866252,Mehedinti,Vale,5193,Valea cu Șarpele,Geomil 25000,Limba română
Valea Șerpilor,șerpi,2,44.9762464836776,22.8391044825484,Mehedinti,Vale,198,Valea Șerpilor,Geomil 25000,Limba română
Șerpăria,șerpărie,3,47.126074989555,26.0774356861438,Neamt,Altele,13267,Șerpăria,Geomil 25000,Limba română
Vârful Șerpăriei,șerpărie,3,47.2124530415955,25.7867293199949,Neamt,Înălțime,6419,Vârful Șerpăriei,PDT,Limba română
Pârâul Șarpelui,șerpi,2,47.10967568677,26.2743582885929,Neamt,Vale,9129,Pârâul Șarpelui,PDT,Limba română
Valea Șerpăriei,șerpărie,3,44.2654364955458,24.4965423042378,Olt,Vale,14203,Valea Șerpăriei,Geomil 25000,Limba română
Valea Șerpăriei,șerpi,2,44.4008726683349,24.4921060009225,Olt,Vale,299,Valea Șerpăriei,Geomil 25000,Limba română
Dealul Șerpilor,șerpi,2,45.1189128258041,25.9617303991157,Prahova,Deal,2826,Dealul Șerpilor,Geomil 25000,Limba română
Valea Șerpilor,șerpi,2,47.1706783319385,23.2613579706567,Salaj,Vale,1056,Valea Șerpilor,Geomil 25000,Limba română
Poiana Șarpelui,șerpi,2,47.3389291399503,25.6223025732868,Suceava,Poiană,6390,Poiana Șarpelui,PDT,Limba română
Valea Șarpelui,șerpi,2,44.1850019267162,25.4374760467218,Teleorman,Vale,506,Valea Șarpelui,Geomil 25000,Limba română
La Lacul Șerpilor,șerpi,2,44.9204110206418,24.2007266518952,Valcea,Lac,8436,La Lacul Șerpilor,PDT,Limba română
Piscul Crucea Șarpelui,șerpi,2,45.0251873377706,24.1653088930789,Valcea,Înălțime,364,Piscul Crucea Șarpelui,Geomil 25000,Limba română
