Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1
Dealul Șerpăriei,șerpărie,3,47.9882459964697,26.9066755860692,Botosani,Deal,2405,Dealul Șerpăriei,Geomil 25000,Limba română
Șerpărie,șerpărie,3,47.8691792285743,26.9404768488392,Botosani,Înălțime,11557,Șerpărie,Geomil 25000,Limba română
Valea Șerpăriei,șerpărie,3,48.071822621939,26.8408598376038,Botosani,Vale,2397,Valea Șerpăriei,Geomil 25000,Limba română
Valea Șerpăriei,șerpărie,3,48.0375291638344,26.3501965036007,Botosani,Vale,4896,Valea Șerpăriei,Geomil 25000,Limba română
Japșa Șserpăriile,șerpărie,3,44.2117747252118,27.213085951529,Calarasi,Apă-deal-câmpie,3289,Japșa Șserpăriile,PDT,Limba română
Valea Șerpăria,șerpărie,3,45.065238238926,25.2868267762574,Dambovita,Vale,8370,Valea Șerpăria,PDT,Limba română
Șerpăria,șerpărie,3,47.126074989555,26.0774356861438,Neamt,Altele,13267,Șerpăria,Geomil 25000,Limba română
Vârful Șerpăriei,șerpărie,3,47.2124530415955,25.7867293199949,Neamt,Înălțime,6419,Vârful Șerpăriei,PDT,Limba română
Valea Șerpăriei,șerpărie,3,44.2654364955458,24.4965423042378,Olt,Vale,14203,Valea Șerpăriei,Geomil 25000,Limba română
La Șerpărie,șerpărie,3,46.1261250809966,27.2518783994982,Vrancea,Altele,3933,La Șerpărie,PDT,Limba română
