Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3
Cetate,cetate,2,46.4006191538067,23.5860283458231,Alba,Înălțime,13838,Cetate,Transilvania (1869-1870),Limba română
Cetatea de Baltă,cetate,2,46.2485573586587,24.1684343447591,Alba,Localitate,7352,Cetatea de Baltă,Geomil 25000,Limba română
Cetatea Trascăului,cetate,2,46.4250719985626,23.5439815755374,Alba,Altele,1930,Cetatea Trascăului,Geomil 25000,Limba română
Cetatie Teutiului,cetate,2,46.0800386135494,23.4453356203227,Alba,Altele,10521,Cetatie Teutiului,Transilvania (1869-1870),Limba română
Cetatje,cetate,2,46.0209682849036,23.4512495570876,Alba,Altele,10454,Cetatje,Transilvania (1869-1870),Limba română,Cetatea Ebernic,Geomil 25000,Limba română
Csetatije Balte,cetate,2,46.2401291954776,24.1585037188828,Alba,Altele,11879,Csetatije Balte,Transilvania (1769-1773),Limba română
Dealu Cetatea,cetate,2,45.8269666204981,23.3643459181815,Alba,Deal,1139,Dealu Cetatea,Geomil 25000,Limba română
Dealu Cetății,cetate,2,46.0429817524418,23.4349206921662,Alba,Deal,5570,Dealu Cetății,Geomil 25000,Limba română
Dealul La Cetate,cetate,2,46.356484589001,23.9579038397051,Alba,Deal,5503,Dealul La Cetate,Geomil 25000,Limba română
Pădurea Cetății,cetate,2,46.1747278908025,24.1537223411349,Alba,Pădure,8162,Pădurea Cetății,PDT,Limba română
Războieni-Cetate,cetate,2,46.4125741981342,23.8694173658208,Alba,Localitate,7068,Războieni-Cetate,Geomil 25000,Limba română
Cetatea cea Bătrână,cetate,2,46.2692905966721,21.6768052408631,Arad,Altele,958,Cetatea cea Bătrână,Geomil 25000,Limba română
Cetatea Dezna,cetate,2,46.4091447527173,22.2522287888153,Arad,Altele,7650,Cetatea Dezna,Geomil 25000,Limba română
Cetatea Noua,cetate,2,46.1697553850116,21.3285409033993,Arad,Altele,5639,Cetatea Noua,PDT,Limba română
Cetatea Șoimoș,cetate,2,46.1089379635512,21.722712203359,Arad,Altele,1949,Cetatea Șoimoș,Geomil 25000,Limba română
Cetatea Veche,cetate,2,46.1573233553986,21.2395719980999,Arad,Altele,5638,Cetatea Veche,PDT,Limba română
Dealu Cetății,cetate,2,46.2658633507187,21.6520232818182,Arad,Deal,959,Dealu Cetății,Geomil 25000,Limba română
Dealu La Cetate,cetate,2,46.2847871284981,21.9067358598105,Arad,Deal,963,Dealu La Cetate,Geomil 25000,Limba română
Gruiu Cetatea Mare,cetate,2,46.5887278873283,22.1277285063955,Arad,Înălțime,980,Gruiu Cetatea Mare,Geomil 25000,Limba română,Gruiu Cetatea Mare,PDT,Limba română
Halta Cetatea Veche,cetate,2,46.3109493733041,21.4525941514578,Arad,Altele,5636,Halta Cetatea Veche,Geomil 25000,Limba română
La Cetate,cetate,2,46.4835899651584,21.9707399741783,Arad,Altele,8038,La Cetate,Geomil 25000,Limba română,La Cetate,PDT,Limba română
Cetatea Negru Vodă,cetate,2,45.2171706085024,25.2088348572748,Arges,Altele,5046,Cetatea Negru Vodă,Geomil 25000,Limba română
Cetatea Orăți,cetate,2,45.4134309758687,25.2204298355243,Arges,Altele,6865,Cetatea Orăți,Geomil 25000,Limba română,Cetatea Neamțului,PDT,Limba română
La Cetate,cetate,2,44.4849940964542,24.7621047323588,Arges,Altele,11695,La Cetate,Geomil 25000,Limba română
Ruinele Cetății Radu Negru,cetate,2,45.3546381393112,24.633394524707,Arges,Altele,10199,Ruinele Cetății Radu Negru,Geomil 25000,Limba română
Valea Cetatea Mare,cetate,2,44.9636793293163,25.1052554987693,Arges,Vale,537,Valea Cetatea Mare,Geomil 25000,Limba română,Valea Cetatea Mare,PDT,Limba română
Valea Cetatea Mică,cetate,2,44.961153165538,25.1096325719525,Arges,Vale,536,Valea Cetatea Mică,Geomil 25000,Limba română,Valea Cetatea Mică,PDT,Limba română
Valea Cetăței,cetate,2,44.7121250998109,24.7681855915017,Arges,Vale,3408,Valea Cetăței,PDT,Limba română,Valea Cetății,Geomil 25000,Limba română
Valea Cetăței,cetate,2,45.2018783168472,25.0973443955889,Arges,Vale,8827,Valea Cetăței,PDT,Limba română
Valea Cetății,cetate,2,44.7468894306192,24.7874815795613,Arges,Vale,1404,Valea Cetății,Geomil 25000,Limba română,Valea Cetatea,PDT,Limba română
Cetatea lui Bella,cetate,2,46.6171151330284,22.296524048401,Bihor,Înălțime,2004,Cetatea lui Bella,Geomil 25000,Limba română,Cetatea Belavar,PDT,Limba română
Cetățile,cetate,2,46.4235386152134,22.6458784314337,Bihor,Altele,9401,Cetățile,PDT,Limba română
Dealu Cetate,cetate,2,47.0498727993721,22.5292519953779,Bihor,Deal,1074,Dealu Cetate,Geomil 25000,Limba română
La Cetate,cetate,2,47.1686476783578,21.9260817533296,Bihor,Altele,7581,La Cetate,Geomil 25000,Limba română,La Cetate,PDT,Limba română
Ruine,cetate,2,46.7905205934501,22.2909786189166,Bihor,Altele,11910,Ruine,Imperiul Habsburgic (1887),Limba germană,Rudera eine Türkischen Cita,Ungaria (1782–1785),Limba germană
Ruine Adorjan,cetate,2,47.237523936477,22.0447620498804,Bihor,Altele,11975,Ruine Adorjan,Imperiul Habsburgic (1887),Limba germană,Ruine Adorjan,Ungară 1869,Limba germană,Rudera Adoria genant,Ungaria (1782–1785),Limba germană
Ruine B. Szt. Miklos,cetate,2,46.6932255034742,22.1177744172398,Bihor,Altele,12137,Ruine B. Szt. Miklos,Imperiul Habsburgic (1887),Limba română,Ruine,Ungară 1869,Limba română,Alt Rudera,Ungaria (1782–1785),Limba germană
Ruinele Cetâții Șoimu,cetate,2,46.6538245346469,22.1059095638369,Bihor,Altele,4113,Ruinele Cetâții Șoimu,PDT,Limba română
Valea Cetății,cetate,2,47.1456245078955,22.0332161169713,Bihor,Vale,12371,Valea Cetății,Geomil 25000,Limba română
Cetate,cetate,2,47.0356363363649,24.6750088775311,Bistrita Nasaud,Înălțime,9900,Cetate,PDT,Limba română
Cetate,cetate,2,46.9414956478852,24.4793450547321,Bistrita Nasaud,Înălțime,12074,Cetate,Imperiul Habsburgic (1887),Limba română
Csicso Csetate,cetate,2,47.2538633234501,23.9618288769314,Bistrita Nasaud,Înălțime,11892,Csicso Csetate,Transilvania (1769-1773),Limba română
Dealul Burg (Cetate),cetate,2,47.0755578691559,24.6430165848756,Bistrita Nasaud,Deal,10029,Dealul Burg (Cetate),PDT,Limba română
Dealul Cetatea,cetate,2,47.1030605503328,24.5161685491983,Bistrita Nasaud,Deal,10028,Dealul Cetatea,PDT,Limba română
Dealul Cetatea Giugu,cetate,2,47.2713413091797,24.1657621084377,Bistrita Nasaud,Deal,1013,Dealul Cetatea Giugu,Geomil 25000,Limba română
Dealul Cetății,cetate,2,47.2743000815622,24.3336242009376,Bistrita Nasaud,Deal,4499,Dealul Cetății,Geomil 25000,Limba română
Dealul Cetății,cetate,2,47.1729321076695,24.4812754107009,Bistrita Nasaud,Deal,4512,Dealul Cetății,Geomil 25000,Limba română
Dealul Cetății,cetate,2,47.0805779636027,24.6166272548461,Bistrita Nasaud,Deal,12865,Dealul Cetății,Geomil 25000,Limba română
La Cetate,cetate,2,47.0515846744229,24.4312474790269,Bistrita Nasaud,Altele,4509,La Cetate,Geomil 25000,Limba română
La Dâmbul Cetăței,cetate,2,47.2105012335011,24.0988391376326,Bistrita Nasaud,Înălțime,7104,La Dâmbul Cetăței,PDT,Limba română
Râtul cetăți,cetate,2,47.2997983837812,24.3390740707141,Bistrita Nasaud,Apă-deal-câmpie,10587,Râtul cetăți,Imperiul Habsburgic (1887),Limba română
Valea Cetății,cetate,2,47.2363297342839,24.4493618768939,Bistrita Nasaud,Vale,4516,Valea Cetății,Geomil 25000,Limba română
Vârful Cetății,cetate,2,47.1003912729301,24.3873672038847,Bistrita Nasaud,Înălțime,4508,Vârful Cetății,Geomil 25000,Limba română,Cetate,PDT,Limba română
Vârful Cetății,cetate,2,47.4285593691121,24.7751528212389,Bistrita Nasaud,Înălțime,9917,Vârful Cetății,Geomil 25000,Limba română
Vârful Cetății,cetate,2,47.0694437641868,24.2247028329734,Bistrita Nasaud,Înălțime,11338,Vârful Cetății,Geomil 25000,Limba română
Cetatea,cetate,2,47.9359538483509,26.5783532042138,Botosani,Înălțime,2319,Cetatea,Geomil 25000,Limba română
Cetatea Jimbor,cetate,2,46.1107541891255,25.3819584485448,Brasov,Altele,2731,Cetatea Jimbor,Geomil 25000,Limba română
Cetatea Râșnov,cetate,2,45.5908806729235,25.4695787799701,Brasov,Altele,2783,Cetatea Râșnov,Geomil 25000,Limba română
