Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3
Cetatiu,cetățuie,2,46.4075635560602,23.692082667169,Alba,Altele,10805,,Cetatiu,Transilvania (1869-1870),Limba română
Dealu Gruiu Cetățuii,cetățuie,2,46.090785947723,23.6624973022514,Alba,Deal,6748,,Dealu Gruiu Cetățuii,Geomil 25000,Limba română,Cetățuia Hepriei,PDT,Limba română
Dealu Cetățuia,cetățuie,2,46.3875690581864,22.6145669282869,Arad,Deal,1936,,Dealu Cetățuia,Geomil 25000,Limba română
Dealu Cetățuia,cetățuie,2,46.0103122146379,22.2271550390072,Arad,Deal,6200,,Dealu Cetățuia,Geomil 25000,Limba română
Pârâul Cetățuia,cetățuie,2,46.1092679838331,21.6548620477088,Arad,Vale,6299,,Pârâul Cetățuia,PDT,Limba română
Dealul Cetățuia,cetățuie,2,45.0544995915597,24.5782686113218,Arges,Deal,12576,,Dealul Cetățuia,British Maps (1944),Limba română
Măgura Cetățuei,cetățuie,2,45.2046000238179,25.0163388231933,Arges,Înălțime,4967,,Măgura Cetățuei,Geomil 25000,Limba română
Muchia Cetățuei,cetățuie,2,45.209404033365,25.0224183154096,Arges,Înălțime,4968,4967,Muchia Cetățuei,Geomil 25000,Limba română
Piscul Cetățuia,cetățuie,2,45.2508118977434,24.6922947205516,Arges,Înălțime,4048,,Piscul Cetățuia,PDT,Limba română
Valea Cetățuia,cetățuie,2,45.2175977215223,25.1991264298909,Arges,Localitate,5049,5046,Valea Cetățuia,Geomil 25000,Limba română
Valea Cetățuia,cetățuie,2,45.2455249866521,25.0795376777186,Arges,Vale,5055,,Valea Cetățuia,PDT,Limba română
Cetățuia,cetățuie,2,46.5554295219196,26.7065502299476,Bacau,Localitate,3836,3835,Cetățuia,Geomil 25000,Limba română
Dealul Cetățuei,cetățuie,2,46.375210654999,27.0129979216904,Bacau,Deal,7883,,Dealul Cetățuei,PDT,Limba română
Dealul Cetățuii,cetățuie,2,46.5519049349576,26.7142220646476,Bacau,Deal,3835,,Dealul Cetățuii,Geomil 25000,Limba română
Dealul Cetățuii,cetățuie,2,46.4114263916518,27.0856234053374,Bacau,Deal,3914,,Dealul Cetățuii,Geomil 25000,Limba română
Dealul Cetățuii,cetățuie,2,46.6057256147402,27.2800373201183,Bacau,Deal,7859,,Dealul Cetățuii,Geomil 25000,Limba română
Dealul Cetățuii,cetățuie,2,46.5044769181352,27.3244988808204,Bacau,Deal,9601,,Dealul Cetățuii,Geomil 25000,Limba română
Dial Cittetuey,cetățuie,2,46.2879399310317,26.7871388648974,Bacau,Deal,13604,,Dial Cittetuey,Moldova (1788-1790),Limba română
Fundul Cetățuii,cetățuie,2,46.5046952989409,26.4355527073262,Bacau,Altele,4599,4596,Fundul Cetățuii,Geomil 25000,Limba română
La Cetățuie,cetățuie,2,46.426801102083,26.4712815185177,Bacau,Altele,4589,,La Cetățuie,Geomil 25000,Limba română,Cetățuia,PDT,Limba română
Lanul la Cetățuie,cetățuie,2,46.3242006222826,27.0055663085535,Bacau,Altele,7884,,Lanul la Cetățuie,Geomil 25000,Limba română
Movila Cetățuia,cetățuie,2,46.3056875235255,27.1378505902493,Bacau,Înălțime,9522,,Movila Cetățuia,Moldova (1892-1898),Limba română
Pârâul Cetățuia,cetățuie,2,46.5000471758016,26.4551647402447,Bacau,,4598,4596,Pârâul Cetățuia,PDT,Limba română
Poiana Cetățuia,cetățuie,2,46.504470794657,26.446181525566,Bacau,Poiană,4597,4596,Poiana Cetățuia,PDT,Limba română
Râpa Cetățuia,cetățuie,2,46.4932569373332,27.0683159593695,Bacau,Înălțime,9519,,Râpa Cetățuia,Moldova (1892-1898),Limba română
Vârful Cetățuii,cetățuie,2,46.4987051944583,26.4633239954917,Bacau,Înălțime,4596,,Vârful Cetățuii,Geomil 25000,Limba română,Cetățuia,PDT,Limba română
Dealul Cetățuia,cetățuie,2,46.9116878444282,22.2216799620166,Bihor,Deal,4146,,Dealul Cetățuia,PDT,Limba română
Cetățuia,cetățuie,2,47.1441682625021,24.7072232089896,Bistrita Nasaud,Altele,9906,,Cetățuia,Geomil 25000,Limba română
Dealul Cetățuii,cetățuie,2,46.955328584966,24.5550739456435,Bistrita Nasaud,Deal,7310,,Dealul Cetățuii,Geomil 25000,Limba română
Pe Cetățuie,cetățuie,2,47.0970102197702,24.2942024444802,Bistrita Nasaud,Altele,7072,,Pe Cetățuie,Geomil 25000,Limba română
Cetățuia,cetățuie,2,47.6517972533568,26.6171453271556,Botosani,Altele,1829,,Cetățuia,Geomil 25000,Limba română,Cetățuea,PDT,Limba română
Dealul Cetățuii,cetățuie,2,48.1868407840713,26.4551759396956,Botosani,Deal,2010,,Dealul Cetățuii,Geomil 25000,Limba română,Dealul Cetățuia,PDT,Limba română
Cetațuea Rusului,cetățuie,2,45.2778301617999,27.9293290224058,Braila,Altele,9259,,Cetațuea Rusului,PDT,Limba română
Cetâtzui,cetățuie,2,45.4177642178059,27.7338513809518,Braila,Altele,3615,,Cetâtzui,Austriacă,Limba română
Cetățuia,cetățuie,2,45.8657922753985,25.3549992588521,Brasov,Înălțime,4937,,Cetățuia,Geomil 25000,Limba română
Dealul Cetățuii,cetățuie,2,45.6812145247633,25.3606852274216,Brasov,Deal,2706,,Dealul Cetățuii,Geomil 25000,Limba română
Dealul Cetățuii,cetățuie,2,45.7063656850283,25.8657076751452,Brasov,Deal,6050,,Dealul Cetățuii,Geomil 25000,Limba română
Dealul Cetățuii,cetățuie,2,45.6490835956359,25.5920982390579,Brasov,Deal,6838,,Dealul Cetățuii,PDT,Limba română
La Cetățuie,cetățuie,2,45.4801906245512,25.3098357235651,Brasov,Înălțime,5036,,La Cetățuie,Geomil 25000,Limba română,La Cetățue,PDT,Limba română
Livada Cetățuii,cetățuie,2,45.696166682044,25.4067394788979,Brasov,Altele,6833,,Livada Cetățuii,PDT,Limba română
Valea Cetățuii,cetățuie,2,45.6865949872068,25.3820320697744,Brasov,Vale,2707,2706,Valea Cetățuii,Geomil 25000,Limba română
Vârful Cetățuii,cetățuie,2,45.6513232794932,25.3327750490299,Brasov,Înălțime,12669,,Vârful Cetățuii,Geomil 25000,Limba română
Cetățuia,cetățuie,2,45.2468002725886,26.5426284423982,Buzau,Altele,4008,,Cetățuia,Geomil 25000,Limba română
Cetățuia,cetățuie,2,45.4448230227735,27.005776210898,Buzau,Altele,8743,,Cetățuia,PDT,Limba română
Vârful Cetățuiei,cetățuie,2,45.2846889587522,26.2744230665509,Buzau,Înălțime,1581,,Vârful Cetățuiei,Geomil 25000,Limba română,Vârful Cetățuia,PDT,Limba română
La Cetățuie,cetățuie,2,44.281436095549,27.8051901034522,Calarasi,Altele,3459,,La Cetățuie,Geomil 25000,Limba română,La Cetă,PDT,Limba română
Movila Hotar la Cetățuia,cetățuie,2,44.3783043153318,27.5030129116141,Calarasi,Înălțime,3308,,Movila Hotar la Cetățuia,PDT,Limba română
Dealul Cetățuiei,cetățuie,2,46.7605960638778,23.1070910191541,Cluj,Deal,10431,,Dealul Cetățuiei,PDT,Limba română,Várhegy,Transilvania (1869-1870),Limba maghiară
Pârâul Dealului Cetățuei,cetățuie,2,46.7558622148357,23.0988059665237,Cluj,Vale,10432,10431,Pârâul Dealului Cetățuei,PDT,Limba română
Cetățuea mare,cetățuie,2,45.1243769107022,25.2949753324624,Dambovita,Altele,8823,,Cetățuea mare,PDT,Limba română
Cetățuea mică,cetățuie,2,45.1225979414674,25.2881215115867,Dambovita,Altele,8824,,Cetățuea mică,PDT,Limba română
Cetățuia,cetățuie,2,45.1614983467281,25.2951733192468,Dambovita,Localitate,1492,,Cetățuia,Geomil 25000,Limba română
Dealul Cetățuia,cetățuie,2,45.0483290848026,25.1419888801992,Dambovita,Deal,10162,,Dealul Cetățuia,PDT,Limba română,Dealul Cetățuia,Geomil 25000,Limba română
Valea Cetățuia,cetățuie,2,45.1550825701213,25.2876668743562,Dambovita,Vale,1491,1492,Valea Cetățuia,Geomil 25000,Limba română
Valea Cetățuia Mare,cetățuie,2,45.0411189653049,25.6741807024739,Dambovita,Vale,525,,Valea Cetățuia Mare,Geomil 25000,Limba română,Valea Cetățuia Mare,PDT,Limba română
