Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3,Nume 4,Hartă 4,Limbă 4
Dealu Palanca,palancă,2,44.8542684495228,24.4767805227987,Arges,Deal,11042,,Dealu Palanca,Geomil 25000,Limba română
Pădurea Palanca,palancă,2,44.8515656991371,24.477026497711,Arges,Pădure,11043,11042,Pădurea Palanca,Geomil 25000,Limba română
Palanga,palangă,3,44.4518054564696,25.0850907426463,Arges,Localitate,8325,,Palanga,Geomil 25000,Limba română,Palanga,PDT,Limba română
Dealul Palanca,palancă,2,46.4243835020621,26.823894576069,Bacau,Deal,9671,,Dealul Palanca,Moldova (1892-1898),Limba română
Dealul Palăncii,palancă,2,46.381169306577,27.1172625797151,Bacau,Deal,12250,,Dealul Palăncii,Geomil 25000,Limba română
Lanul Palăncii,palancă,2,46.3796388206551,27.0786217246874,Bacau,Altele,7852,,Lanul Palăncii,Geomil 25000,Limba română
Pădurea Palanca,palancă,2,46.3183597505585,27.1774627486819,Bacau,Pădure,3919,7891,Pădurea Palanca,Geomil 25000,Limba română
Pădurea Palăncii,palancă,2,46.3454740646563,27.1685195545556,Bacau,Pădure,7846,7891,Pădurea Palăncii,Geomil 25000,Limba română
Pădurea Palăncii,palancă,2,46.3053568445924,27.3495926114561,Bacau,Pădure,11302,,Pădurea Palăncii,Geomil 25000,Limba română
Palanca,palancă,2,46.5472509237169,26.1119406070555,Bacau,Localitate,6532,,Palanca,PDT,Limba română,Palanca,Geomil 25000,Limba română
Palanca,palancă,2,46.3333390310675,27.1853573616109,Bacau,Localitate,7891,,Palanca,PDT,Limba română
Valea Palanca,palancă,2,46.4235419260327,26.8215983148685,Bacau,Vale,9672,9671,Valea Palanca,Moldova (1892-1898),Limba română
Valea Palăncii,palancă,2,46.3084881581779,27.355180312914,Bacau,Vale,11303,11302,Valea Palăncii,Geomil 25000,Limba română
Dealul Palance,palancă,2,47.1002873509868,22.1529258988895,Bihor,Deal,13667,,Dealul Palance,PDT,Limba română,Palangy,Ungară 1869,Limba română
Dealu Palanga,palangă,3,47.3420081678811,22.4299032551445,Bihor,Deal,6950,,Dealu Palanga,Geomil 25000,Limba română
Dealul Palanca,palancă,2,47.8446320139317,26.3866670392749,Botosani,Deal,7771,,Dealul Palanca,PDT,Limba română
Dealul Pălăncii,palancă,2,48.0897619537044,26.3093499898129,Botosani,Deal,2020,2017,Dealul Pălăncii,Geomil 25000,Limba română
Palanca,palancă,2,48.0981132000196,26.308635855114,Botosani,Altele,2017,,Palanca,Geomil 25000,Limba română
Valea Palăncii,palancă,2,47.567810896639,26.7587653683066,Botosani,Vale,1754,,Valea Palăncii,Geomil 25000,Limba română
Pălanca,palancă,2,45.2780216313447,26.6542921796389,Buzau,Altele,4009,,Pălanca,Geomil 25000,Limba română
Dealul Palanga,palancă,2,44.2718746460968,26.4116667622215,Calarasi,Deal,3765,,Dealul Palanga,Geomil 25000,Limba română,Dealul Palanga,PDT,Limba română
Palanca,palancă,2,44.0651469295064,26.5774753069534,Calarasi,Altele,3271,3270,Palanca,PDT,Limba română
Pălânga,palancă,2,44.0683942825121,26.5907795204213,Calarasi,Altele,3270,,Pălânga,PDT,Limba română
Valea Palanca,palancă,2,44.3795005227697,26.7561100048819,Calarasi,Vale,14653,,Valea Palanca,PDT,Limba română
Pădurea Palanca,palancă,2,44.4309417034521,25.2840766300556,Dambovita,Pădure,8319,,Pădurea Palanca,PDT,Limba română,Pădurea Palanga,Geomil 25000,Limba română
Паланка (Palanca),palancă,2,44.4795983133311,23.3070093444472,Dolj,Localitate,114,,Паланка (Palanca),Sovietică,Limba română
Dealul Palânga,palânga,3,44.6312787980251,23.8248033415181,Dolj,Deal,15770,,Dealul Palânga,ANCPI,Limba română
Valea Palânga,palânga,3,44.6286542364843,23.8222242808034,Dolj,Vale,15771,15770,Valea Palânga,ANCPI,Limba română
Palanca,palancă,2,44.4751581125537,25.7254421054051,Giurgiu,Localitate,1328,,Palanca,Geomil 25000,Limba română
Palankaj Farka,palancă,2,46.6669669695044,25.7613555926255,Harghita,Altele,15959,15960,Palankaj Farka,Transilvania (1769-1773),Limba maghiară
