Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Muchia Turnului,turn,2,45.4960366540848,25.4604837688125,Brasov,Înălțime,1544,Muchia Turnului,Geomil 25000,Limba română
Turnul Spart,turn,2,45.5881517996789,24.2598598872703,Sibiu,Altele,4040,Turnul Spart,PDT,Limba română
Turnu Băiței,turn,2,46.8395767904554,24.5405801141239,Mures,Altele,5460,Turnu Băiței,PDT,Limba română,Turnul Băiței,Geomil 25000,Limba română
Turnu Pietroniu,turn,2,45.3947509777168,22.3485240537817,Caras Severin,Altele,6092,Turnu Pietroniu,Geomil 25000,Limba română
Pârâul Turnului,turn,2,47.5693654070122,24.9866056778009,Suceava,Vale,7247,Pârâul Turnului,PDT,Limba română
Turnu Mare,turn,2,44.8913252041918,21.7637913524951,Caras Severin,Altele,8513,Turnu Mare,PDT,Limba română
Valea Turnului,turn,2,46.122465106684,23.127953637236,Alba,Vale,9663,Valea Turnului,Geomil 25000,Limba română
La Turn,turn,2,45.8002702129278,23.1814536125327,Hunedoara,Altele,9846,La Turn,Geomil 25000,Limba română
Dealul Turnului,turn,2,46.2196775974728,24.8153456565101,Mures,Deal,10063,Dealul Turnului,PDT,Limba română
Valea Turnului,turn,2,45.3388811794821,24.7430375936675,Arges,Vale,10176,Valea Turnului,Geomil 25000,Limba română
Poeana Turnurilor,turn,2,45.8209044972654,22.5665277075698,Hunedoara,Poiană,10686,Poeana Turnurilor,Imperiul Habsburgic (1887),Limba română
Turnul Ceasului,turn,2,45.6507524684949,24.3283391281145,Sibiu,Altele,11381,Turnul Ceasului,Geomil 25000,Limba română
Alter Thurn (Turn Vechi),turn,2,46.1106223630178,20.3646928635384,Timis,Altele,11901,Alter Thurn (Turn Vechi),Banat (1769-1772),Limba germană
Dealul Turnului,turn,2,46.8823024707667,21.9718013062471,Bihor,Deal,12368,Dealul Turnului,PDT,Limba română
Turnul,turn,2,46.1523201777375,23.4816644935142,Alba,Înălțime,13686,Turnul,Imperiul Habsburgic (1887),Limba română
