Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1
Bivolăria,bivolărie,2,47.9140365490334,25.6615627383886,Suceava,Localitate,640,Bivolăria,Geomil 25000,Limba română
Poiana Bivolăria Rusească,bivolărie,2,47.2748828829829,26.6215483103448,Iasi,Poiană,2241,Poiana Bivolăria Rusească,Geomil 25000,Limba română
La Bivolării,bivolărie,2,44.4501728965178,26.2793512831802,Ilfov,Altele,3760,La Bivolării,PDT,Limba română
Piciorul Bivolăriei,bivolărie,2,47.2156825068555,26.2269049067727,Neamt,Înălțime,9139,Piciorul Bivolăriei,Geomil 25000,Limba română
La Bivolărie,bivolărie,2,44.6452454804169,25.4837722886216,Dambovita,Altele,9445,La Bivolărie,PDT,Limba română
Găvanul la Bivolărie,bivolărie,2,43.9010079516784,24.7480965140563,Teleorman,Altele,9476,Găvanul la Bivolărie,PDT,Limba română
Pârâul Bivolăriei,bivolărie,2,47.1137628402807,26.4310513571634,Neamt,Vale,9709,Pârâul Bivolăriei,Moldova (1892-1898),Limba română
La Bivolărie,bivolărie,2,45.0534145468726,26.9705378739831,Buzau,Altele,11264,La Bivolărie,Geomil 25000,Limba română
La Bivolărie,bivolărie,2,44.606641733851,24.5824947490389,Olt,Altele,12694,La Bivolărie,PDT,Limba română
Dealul Bivolăriei,bivolărie,2,47.3764632594497,26.7582113051448,Iasi,Deal,14135,Dealul Bivolăriei,Geomil 25000,Limba română
