Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1
Valea Mangalăriei,măngălărie,3,46.5840569460648,27.0586712695732,Bacau,Vale,12635,Valea Mangalăriei,Moldova (1892-1898),Limba română
Măngălăria,măngălărie,3,47.6399412094899,26.6256472511621,Botosani,Altele,9584,Măngălăria,Moldova (1892-1898),Limba română
Măngălăria,măngălărie,3,47.5867494554769,26.6677501225012,Botosani,Altele,14586,Măngălăria,PDT,Limba română
Valea Măngălăria,măngălărie,3,47.6639003388922,26.5958088861681,Botosani,Vale,3567,Valea Măngălăria,PDT,Limba română
Dealul Măngălăria,măngălărie,3,47.4566046886703,26.7810886980704,Iasi,Deal,12923,Dealul Măngălăria,Geomil 25000,Limba română
Dealul Măngălăriei,măngălărie,3,47.3890427362412,26.799781099936,Iasi,Deal,6625,Dealul Măngălăriei,Geomil 25000,Limba română
La Măngălărie,măngălărie,3,47.0882174841191,27.1670230294999,Iasi,Altele,7301,La Măngălărie,Geomil 25000,Limba română
La Mângălărie,măngălărie,3,47.036207769322,27.2242573060594,Iasi,Altele,12288,La Mângălărie,Geomil 25000,Limba română
Măngălăria,măngălărie,3,47.0460383895651,27.6272307317429,Iasi,Înălțime,6596,Măngălăria,PDT,Limba română
La Măngălărie,măngălărie,3,46.9640999659948,26.2698687879238,Neamt,Altele,9133,La Măngălărie,Geomil 25000,Limba română
Plaiul Măngălăriei,măngălărie,3,46.9601912469003,26.3136162197315,Neamt,Înălțime,9596,Plaiul Măngălăriei,Moldova (1892-1898),Limba română
Vârful Măngălăriei,măngălărie,3,46.8278752606324,26.3983016670977,Neamt,Înălțime,4611,Vârful Măngălăriei,PDT,Limba română
Vârful Măngălăriei,măngălărie,3,46.8289591634619,26.3430241405549,Neamt,Înălțime,4612,Vârful Măngălăriei,PDT,Limba română
Pârâul de la Măngălărie,măngălărie,3,47.8684087252464,26.1440786623884,Suceava,Vale,7266,Pârâul de la Măngălărie,PDT,Limba română
Valea Măngălăriei,măngălărie,3,47.5346785264647,26.4476617963735,Suceava,Vale,4924,Valea Măngălăriei,PDT,Limba română
La Măngălarie,măngălărie,3,45.129124411709,28.3644222992829,Tulcea,Altele,14279,La Măngălarie,ANCPI,Limba română
Dealul Mângăralia,măngălărie,3,46.6046887102207,27.4485881545447,Vaslui,Deal,4625,Dealul Mângăralia,Geomil 25000,Limba română
