Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1
Calea lui Traian,Drumul lui Traian,2,46.3864297610776,21.9879979821945,Arad,Drum,6285,Calea lui Traian,PDT,Limba română
Drumu lui Traian,Drumul lui Traian,2,46.408289519035,22.0036977023035,Arad,Drum,6284,Drumu lui Traian,Geomil 25000,Limba română
Drumul lui Traian,Drumul lui Traian,2,46.4511471700995,21.8376002863116,Arad,Drum,7597,Drumul lui Traian,PDT,Limba română
Drumul lui Traian,Drumul lui Traian,2,46.9467267195888,21.7555019469976,Bihor,Drum,15902,Drumul lui Traian,ANCPI,Limba română
Drumul lui Traian,Drumul lui Traian,2,46.5170070113667,23.8094133104284,Cluj,Drum,14012,Drumul lui Traian,PDT,Limba română
Drum Trajan,Drumul lui Traian,2,45.9064383275807,23.246990287286,Hunedoara,Drum,11918,Drum Trajan,Transilvania (1769-1773),Limba română
Drumu lui Traian,Drumul lui Traian,2,45.5781330604638,22.9587174632712,Hunedoara,Drum,5565,Drumu lui Traian,Geomil 25000,Limba română
Drumu lui Traian,Drumul lui Traian,2,45.585554717895,22.9751723070617,Hunedoara,Drum,5566,Drumu lui Traian,Geomil 25000,Limba română
Trajaner Weeg (Calea lui Traian),Drumul lui Traian,2,45.5486997630266,22.8954492763385,Hunedoara,Drum,13237,Trajaner Weeg (Calea lui Traian),Transilvania (1769-1773),Limba română
Trajaner Weg (Calea lui Traian),Drumul lui Traian,2,45.5629211644956,22.9236287600504,Hunedoara,Drum,13238,Trajaner Weg (Calea lui Traian),Transilvania (1769-1773),Limba română
Trajans Weg (Drumul lui Traian),Drumul lui Traian,2,45.5243778921845,22.8246269820477,Hunedoara,Drum,5561,Trajans Weg (Drumul lui Traian),PDT,Limba germană
Drumul lui Traian,Drumul lui Traian,2,46.4441376281343,24.1626117306686,Mures,Drum,4341,Drumul lui Traian,Geomil 25000,Limba română
Drumul lui Traian,Drumul lui Traian,2,46.4394062323086,24.1953491632052,Mures,Drum,4342,Drumul lui Traian,Geomil 25000,Limba română
Drumul lui Traian,Drumul lui Traian,2,46.5887424848819,24.819166617647,Mures,Drum,10630,Drumul lui Traian,PDT,Limba română
Drumul lui Traian,Drumul lui Traian,2,43.7802311630781,24.4511293630466,Olt,Drum,3326,Drumul lui Traian,PDT,Limba română
Drumul lui Traian,Drumul lui Traian,2,44.2044574576561,24.355882448495,Olt,Drum,12596,Drumul lui Traian,British Maps (1944),Limba română
