Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Fântâna La Drumu Mare,drumul Mare,2,46.2903010565978,21.7678444728453,Arad,Altele,6296,Fântâna La Drumu Mare,Geomil 25000,Limba română
Dealu Drumu Mare,drumul Mare,2,44.8437557346159,24.795208876832,Arges,Deal,3065,Dealu Drumu Mare,Geomil 25000,Limba română
Dealul Drumul mare,drumul Mare,2,44.5233806622412,24.804245734811,Arges,Deal,8333,Dealul Drumul mare,PDT,Limba română
Drumu Mare,drumul Mare,2,44.9049214466863,24.9825511038362,Arges,Drum,549,Drumu Mare,Geomil 25000,Limba română
Drumu Mare,drumul Mare,2,44.9335555431546,24.9936404972,Arges,Drum,551,Drumu Mare,Geomil 25000,Limba română
Drumu Mare,drumul Mare,2,44.5666914615677,24.8317218134658,Arges,Drum,3392,Drumu Mare,Geomil 25000,Limba română
Drumu Mare,drumul Mare,2,44.4506215200024,24.9200797429116,Arges,Drum,3396,Drumu Mare,Geomil 25000,Limba română
Drumu mare,drumul Mare,2,44.5947873418703,25.0841759738083,Arges,Drum,8308,Drumu mare,Austriacă,Limba română
Drumul Mare,drumul Mare,2,44.912442719482,25.0123175197172,Arges,Drum,8359,Drumul Mare,PDT,Limba română
Drumu Mare,drumul Mare,2,47.1943769605377,21.9808334068143,Bihor,Drum,7673,Drumu Mare,PDT,Limba română
Drumul cel Mare,drumul Mare,2,46.6575139492327,22.0474962669865,Bihor,Drum,4111,Drumul cel Mare,PDT,Limba română
Drumul Mare,drumul Mare,2,45.3349513348406,27.7609973840561,Braila,Drum,8716,Drumul Mare,PDT,Limba română
Drumul Mare,drumul Mare,2,45.2597257334643,27.8423644518893,Braila,Drum,12616,Drumul Mare,PDT,Limba română
La Drumu Mare,drumul Mare,2,44.1865726130865,26.8366492599109,Calarasi,Drum,3262,La Drumu Mare,Geomil 25000,Limba română
