Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1
Plaiul Limpede,limpede,2,45.1592905252699,25.0128661167608,Arges,Înălțime,13126,13125,Plaiul Limpede,Geomil 25000,Limba română
Valea Limpede,limpede,2,45.3481898602676,24.6641085800225,Arges,Vale,12956,,Valea Limpede,Geomil 25000,Limba română
Valea Limpede,limpede,2,45.1580348228018,25.0148356545161,Arges,Vale,13125,,Valea Limpede,Geomil 25000,Limba română
Bâtca Limpede,limpede,2,46.1095750813286,26.9154304645789,Bacau,Vale,13043,,Bâtca Limpede,Geomil 25000,Limba română
Pârâul Limpede,limpede,2,46.2370184814616,26.9630029566044,Bacau,Vale,13592,,Pârâul Limpede,Moldova (1892-1898),Limba română
Lacul Limpede,limpede,2,45.5667647946277,26.5735794275851,Buzau,Lac,13781,,Lacul Limpede,Geomil 25000,Limba română
Pârâul Limpede,limpede,2,45.2116323587049,26.4530046408407,Buzau,Vale,13565,,Pârâul Limpede,Geomil 25000,Limba română
Lacul Limpede,limpede,2,44.1181807521613,23.7866901160837,Dolj,Lac,14374,,Lacul Limpede,PDT,Limba română
Valea Limpezii,limpede,2,45.6833280958261,22.8734266415245,Hunedoara,Vale,13437,,Valea Limpezii,Imperiul Habsburgic (1887),Limba română
Pârâul Limpede,limpede,2,47.7438978363394,23.5124935918027,Maramures,Vale,14105,,Pârâul Limpede,Geomil 25000,Limba română
Valea Limpede,limpede,2,47.6765572890311,23.730571609762,Maramures,Vale,14104,,Valea Limpede,Geomil 25000,Limba română
Valea Limpedea,limpedea,3,44.913309494927,22.8380324109688,Mehedinti,Vale,13537,,Valea Limpedea,Geomil 25000,Limba română
Izvorul Limpede,limpede,2,45.1271417339246,26.4349024995018,Prahova,Vale,13806,,Izvorul Limpede,PDT,Limba română
Dealul Poiana Limpede,limpede,2,45.1600072963246,24.3452305788437,Valcea,Deal,13572,,Dealul Poiana Limpede,ANCPI,Limba română
Pârâul Limpede,limpede,2,45.1954104448674,24.0060875564775,Valcea,Vale,12973,,Pârâul Limpede,Geomil 25000,Limba română
Pârâul Limpede,limpede,2,45.8806005677935,26.5928020886063,Vrancea,Vale,13299,,Pârâul Limpede,Geomil 25000,Limba română
Limpejoara,limpejoara,3,45.9917204513004,26.9034525979869,Vrancea,Vale,14205,,Limpejoara,Geomil 25000,Limba română
Pârâul Limpejoara,limpejoara,3,46.0330488779328,26.8342484269462,Vrancea,Vale,14207,,Pârâul Limpejoara,Geomil 25000,Limba română
