Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1
Cracul Repede,repede,3,45.451739708518,24.4749846938348,Arges,Înălțime,10193,,Cracul Repede,Geomil 25000,Limba română
Piscul Repede,repede,3,45.5485911286665,24.8034107250981,Arges,Înălțime,13636,,Piscul Repede,Geomil 25000,Limba română
Pârâul Repede,repede,3,46.5918243759661,26.1454032746466,Bacau,Vale,12937,,Pârâul Repede,Geomil 25000,Limba română
Dealul dintre Repede,repede,3,47.1264596965078,24.8850202318703,Bistrita Nasaud,Deal,10022,9889,Dealul dintre Repede,Geomil 25000,Limba română
Valea Repede,repede,3,47.5685691399604,24.4575707192065,Bistrita Nasaud,Vale,4490,,Valea Repede,Geomil 25000,Limba română
Vârful Repede,repede,3,47.5547915568351,24.6636929956072,Bistrita Nasaud,Înălțime,6356,11156,Vârful Repede,PDT,Limba română
Muchia Repede,repede,3,45.5790537834592,25.1333104688099,Brasov,Înălțime,11253,11252,Muchia Repede,Geomil 25000,Limba română
Valea Repede,repede,3,45.5790425744542,25.1380288222064,Brasov,Vale,11252,,Valea Repede,Geomil 25000,Limba română
Privalul Repede,repede,3,44.297693587227,27.8351366562267,Calarasi,Apă-deal-câmpie,3458,,Privalul Repede,PDT,Limba română
Pârâu Ogașu Repede,repede,3,44.8884388161254,22.3024148277938,Caras Severin,Vale,5728,,Pârâu Ogașu Repede,Geomil 25000,Limba română
Laku Repede,repede,3,43.7613401189933,25.8238889397006,Giurgiu,Lac,5741,,Laku Repede,Austriacă,Limba română
Pârâul Repede,repede,3,45.2332850658552,23.3845977729968,Gorj,Vale,12673,,Pârâul Repede,Geomil 25000,Limba română
Pârâul Repede,repede,3,47.6101781735073,24.6945411694597,Maramures,,11156,,Pârâul Repede,Geomil 25000,Limba română
Pârâul Repede,repede,3,47.1081125190655,25.1815522707419,Mures,Vale,5422,,Pârâul Repede,Geomil 25000,Limba română
Pârâul Repede,repede,3,47.1714142108633,25.8662584708529,Neamt,Vale,6435,,Pârâul Repede,PDT,Limba română
Pârâul Repede,repede,3,45.2739053010006,24.4800341709986,Valcea,Vale,10203,,Pârâul Repede,Geomil 25000,Limba română
Piscul Repede,repede,3,45.2852372847618,24.4823489907174,Valcea,Înălțime,11108,10203,Piscul Repede,Geomil 25000,Limba română
Valea Repede,repede,3,45.9108529517243,26.4381631351558,Vrancea,Vale,11307,,Valea Repede,Geomil 25000,Limba română
