Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Dealu Cărbunăria,cărbunărie,2,46.4050770295702,23.243210910892,Alba,Deal,925,Dealu Cărbunăria,Geomil 25000,Limba română
Dealul Cărbunăriei,cărbunărie,2,45.7419122926859,24.4891983393527,Sibiu,Deal,1471,Dealul Cărbunăriei,Geomil 25000,Limba română
Valea Cărbunăriei,cărbunărie,2,46.3783554345568,24.5048053630613,Mures,Vale,1911,Valea Cărbunăriei,Geomil 25000,Limba română
Valea Cărbunăria,cărbunărie,2,44.5737265423693,24.5262736472963,Olt,Vale,1989,Valea Cărbunăria,Geomil 25000,Limba română
Valea Cărbunăriei,cărbunărie,2,48.1197805246187,26.4684447028848,Botosani,Vale,2323,Valea Cărbunăriei,Geomil 25000,Limba română
Poiana Cărbunăriei,cărbunărie,2,47.049562008714,27.6783289464539,Iasi,Poiană,2446,Poiana Cărbunăriei,Geomil 25000,Limba română
Dealul Cărbunăriei,cărbunărie,2,46.0950416831633,25.073508043286,Brasov,Deal,2485,Dealul Cărbunăriei,Geomil 25000,Limba română
Dealul Cărbunăriei,cărbunărie,2,45.6290842899667,24.2442160015917,Sibiu,Deal,2497,Dealul Cărbunăriei,Geomil 25000,Limba română,D. Cărbunării,Imperiul Habsburgic (1887),Limba română
Valea Cărbunăria,cărbunărie,2,44.5855769377387,24.5228211796477,Olt,Vale,3048,Valea Cărbunăria,Geomil 25000,Limba română
Cărbunăria,cărbunărie,2,45.7225283540762,23.1380456722316,Hunedoara,Altele,5556,Cărbunarii,PDT,Limba română,Cărbunăria,Geomil 25000,Limba română
Piscul Cărbunarea,cărbunărie,2,45.7502957285206,25.3715608828126,Brasov,Înălțime,6829,Piscul Cărbunarea,PDT,Limba română
Dealul la Cărbunărărie,cărbunărie,2,46.0888866795816,27.7526054115597,Galati,Deal,9496,Dealul la Cărbunărărie,PDT,Limba română
Dealul Dasupra Cărbunăriei,cărbunărie,2,48.1839827494891,26.4081708634232,Botosani,Deal,9573,Dealul Dasupra Cărbunăriei,Moldova (1892-1898),Limba română
Valea Cărbunăriei,cărbunărie,2,47.2312987054036,24.6597352310892,Bistrita Nasaud,Vale,10027,Valea Cărbunăriei,PDT,Limba română,Pârâul Cărbunarilor,Geomil 25000,Limba română
Pârâul Cărbunărei,cărbunărie,2,46.5611541475339,24.9871876830899,Mures,Vale,11941,Pârâul Cărbunărei,PDT,Limba română
Valea Cărbunăriilor,cărbunărie,2,46.2344509272768,27.8328211963212,Vaslui,Vale,12256,Valea Cărbunăriilor,Geomil 25000,Limba română
Pârâul Cărbunăriei,cărbunărie,2,46.5948173039727,24.8994678433995,Mures,Vale,12802,Pârâul Cărbunăriei,PDT,Limba română
Pârâul Cărbunărei,cărbunară,3,45.9326278899855,25.31354947086,Brasov,Vale,6800,Pârâul Cărbunărei,PDT,Limba română
Cărbunărea,cărbunară,3,45.5871078998172,25.6843818021661,Brasov,Altele,12883,Cărbunărea,PDT,Limba română
Dealu Cărbuniștea,cărbuniște,3,47.0342899693373,23.5847562261248,Cluj,Deal,7042,Dealu Cărbuniștea,Geomil 25000,Limba română
Cărbuniște,cărbuniște,3,46.9773739844516,23.4867686343182,Cluj,Altele,8946,Cărbuniște,PDT,Limba română
Dealu carbuniste,cărbuniște,3,47.6116342597227,23.0741137733353,Satu Mare,Deal,10547,Dealu carbuniste,Imperiul Habsburgic (1887),Limba română
Groapa Cârbunariștii,cărbunariște,3,46.944551330406,24.6221280506569,Bistrita Nasaud,Înălțime,9899,Groapa Cârbunariștii,PDT,Limba română
Valea Cărbunăriștei,cărbunariște,3,47.4646738992066,23.5485455324736,Maramures,Vale,13914,Valea Cărbunăriștei,PDT,Limba română
