Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1
La Țiglărie,țiglărie,2,44.0570492563083,23.0588227789263,Dolj,Altele,164,La Țiglărie,Geomil 25000,Limba română
Țiglăria Vitan,țiglărie,2,44.895580215364,21.6861405305007,Caras Severin,Altele,8520,Țiglăria Vitan,PDT,Limba română
Țiglăria Cocieș,țiglărie,2,44.8905145361075,21.6842140622078,Caras Severin,Altele,8521,Țiglăria Cocieș,PDT,Limba română
Pârâul Țiglăriei,țiglărie,2,45.7295718905626,24.1640823820752,Sibiu,Vale,8583,Pârâul Țiglăriei,PDT,Limba română
Țiglăria,țiglărie,2,46.0475210847088,24.503997985825,Sibiu,Altele,8612,Țiglăria,PDT,Limba română
Țiglăria,țiglărie,2,46.2245299426454,24.5554998094588,Sibiu,Altele,8627,Țiglăria,PDT,Limba română
Țiglăria,țiglărie,2,45.8005300221191,20.8940196564041,Timis,Altele,10001,Țiglăria,PDT,Limba română
Canton Țiglărie,țiglărie,2,46.2345917851352,25.526450516114,Harghita,Altele,10059,Canton Țiglărie,Geomil 25000,Limba română
La Țiglărie,țiglărie,2,43.9078292943202,23.2886865954988,Dolj,Altele,10347,La Țiglărie,Geomil 25000,Limba română
Țiglărie,țiglărie,2,45.7105502106834,24.3204714343973,Sibiu,Altele,10447,Țiglărie,PDT,Limba română
Țiglărie,țiglărie,2,43.8824747364598,23.9246919169674,Dolj,Altele,10512,Țiglărie,PDT,Limba română
Țiglărie,țiglărie,2,44.6544052205194,27.6063237854654,Ialomita,Înălțime,11274,Țiglărie,Geomil 25000,Limba română
La Țiglărie,țiglărie,2,46.7836650698721,24.8591081696851,Mures,Altele,11362,La Țiglărie,Geomil 25000,Limba română
La Țiglărie,țiglărie,2,46.063277538229,25.1897270028198,Brasov,Altele,11470,La Țiglărie,Geomil 25000,Limba română
Țiglărie,țiglărie,2,47.5556486966043,22.6665548118654,Satu Mare,Altele,11982,Țiglărie,Geomil 25000,Limba română
La Țiglărie,țiglărie,2,45.9996907922872,25.0609559330812,Brasov,Altele,12285,La Țiglărie,Geomil 25000,Limba română
Țiglăria,țiglărie,2,45.6329248795653,24.2745423925208,Sibiu,Altele,12503,Țiglăria,PDT,Limba română
Țiglăria,țiglărie,2,45.6513413857814,24.311995831222,Sibiu,Altele,12504,Țiglăria,PDT,Limba română
Țiglăria,țiglărie,2,46.5673067243124,24.9208452131405,Mures,Localitate,12799,Țiglăria,PDT,Limba română
