Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3
Lunca Chiliei,chilii,2,45.9977545994995,23.6128156317312,Alba,Apă-deal-câmpie,1147,Lunca Chiliei,Geomil 25000,Limba română
Mănăstire,mânăstire,1,46.3820263802655,23.1678008946799,Alba,Localitate,921,Mănăstire,Geomil 25000,Limba română
Monaster,mânăstire,1,46.0007372170451,23.6202689401954,Alba,Altele,11878,Monaster,Transilvania (1769-1773),Limba română
Monaster,mânăstire,1,46.3353976380382,23.6352716940947,Alba,Altele,12243,Monaster,Transilvania (1769-1773),Limba română
Monasteria,mânăstire,1,46.4003505179886,23.3885704711884,Alba,Altele,10507,Monasteria,Transilvania (1869-1870),Limba română
Monasterium,mânăstire,1,45.8370119102673,23.4490970580542,Alba,Altele,11921,Monasterium,Transilvania (1769-1773),Limba română
Monastir,mânăstire,1,45.8438815166946,23.4150026931574,Alba,Altele,11924,Monastir,Transilvania (1769-1773),Limba română
Monastir,mânăstire,1,46.4500535597646,23.3358983458522,Alba,Mănăstire,12763,Monastir,Transilvania (1769-1773),Limba română
Monastire,mânăstire,1,46.3478750671242,23.853484052091,Alba,Altele,10806,Monastire,Transilvania (1869-1870),Limba română
Monostor,mânăstire,1,46.3833112643597,23.4607107841795,Alba,Mănăstire,14045,Monostor,Transilvania (1769-1773),Limba română
Valea Mănăstirii,mânăstire,1,46.3010690892558,23.5222415344663,Alba,Vale,7071,Valea Mănăstirii,Geomil 25000,Limba română
Valea Remete,remete,3,46.320919602974,23.5826212825631,Alba,Vale,11832,Valea Remete,Imperiul Habsburgic (1887),Limba română
Remetea,remetea,2,46.1203743956138,23.4295001190658,Alba,Localitate,5576,Remetea,Geomil 25000,Limba română
Rimetea,remetea,2,46.4534330209952,23.567647273985,Alba,Localitate,7062,Rimetea,Geomil 25000,Limba română
Bezdin Klastrom,mânăstire,1,46.1401165446067,21.0272638691422,Arad,Mănăstire,12654,Bezdin Klastrom,Ungară 1869,Limba maghiară,Pestiner Closter,Banat (1769-1772),Limba germană
Hodos Klastrom,mânăstire,1,46.1350935611569,21.1827972785422,Arad,Mănăstire,14466,Hodos Klastrom,Ungară 1869,Limba germană
Mănăstur,mănăștur,2,46.0263373446056,21.1124036179671,Arad,Altele,5647,Mănăstur,PDT,Limba română
Pădurea Remeteag,remeteag,3,46.1542628527785,21.0315090959487,Arad,Pădure,5644,Pădurea Remeteag,PDT,Limba română
Chilii,chilii,2,45.239280442387,25.0533827332025,Arges,Localitate,4963,Chilii,Geomil 25000,Limba română,Chilii,PDT,Limba română
Pârâul Chiliei,chilii,2,45.2626400339377,24.7335909791077,Arges,Vale,11116,Pârâul Chiliei,PDT,Limba română
Pârâul Valea Chiliilor,chilii,2,45.2166531122046,25.2206430859618,Arges,Vale,5047,Pârâul Valea Chiliilor,Geomil 25000,Limba română
Dealu Mânăstirii,mânăstire,1,44.9953211882529,24.6528524534433,Arges,Deal,1415,Dealu Mânăstirii,Geomil 25000,Limba română
Dealul Fața Mănăstirii,mânăstire,1,45.27815332812,24.5575834925752,Arges,Deal,1436,Dealul Fața Mănăstirii,Geomil 25000,Limba română
Dealul Monăstirei,mânăstire,1,44.8862200861385,25.0472167837707,Arges,Deal,8360,Dealul Monăstirei,PDT,Limba română,Dealul Mânăstirei,Geomil 25000,Limba română
Lacul Mănăstirii,mânăstire,1,45.5792520776204,24.7551275041162,Arges,Lac,5012,Lacul Mănăstirii,Geomil 25000,Limba română
M. Tutana,mânăstire,1,45.045589429628,24.6383247491437,Arges,Altele,12407,M. Tutana,Oltenia-Muntenia (1790),Limba română
Mânastir,mânăstire,1,44.4719529633521,25.2569654898591,Arges,Altele,12229,Mânastir,Austriacă,Limba română
Mânastir,mânăstire,1,44.9082058887687,24.9272965648338,Arges,Altele,12231,Mânastir,Austriacă,Limba română
Manastire,mânăstire,1,45.2673857877413,24.9775564916128,Arges,Altele,12233,Manastire,Austriacă,Limba română
Mânâstirea,mânăstire,1,45.19043989435,24.9279528705271,Arges,Altele,12232,Mânâstirea,Austriacă,Limba română
Monastir de valea Stantzia,mânăstire,1,44.8524233875562,24.8486619387747,Arges,Altele,12230,Monastir de valea Stantzia,Austriacă,Limba română
Monâstirea Argis,mânăstire,1,45.1569139948921,24.6755917371754,Arges,Mănăstire,13973,Monâstirea Argis,Austriacă,Limba română
Monastirea Nămăești,mânăstire,1,45.3049443964226,25.1131498129127,Arges,Altele,10174,Monastirea Nămăești,PDT,Limba română
Poiana Groapa Mânăstirii,mânăstire,1,45.2631942836157,24.7448869569536,Arges,Poiană,4055,Poiana Groapa Mânăstirii,PDT,Limba română
Valea Mănăstirii,mânăstire,1,45.0282618230294,25.0126851191169,Arges,Localitate,540,Valea Mănăstirii,Geomil 25000,Limba română,Monastir,Austriacă,Limba română
Valea Mănăstirii,mânăstire,1,45.5770475979163,25.097596242276,Arges,Vale,2709,Valea Mănăstirii,Geomil 25000,Limba română
Coasta Schitului,schit,2,45.302716119299,25.1059550163393,Arges,Înălțime,1479,Coasta Schitului,Geomil 25000,Limba română
Fața Schitului,schit,2,45.1999878824883,24.9969325313912,Arges,Localitate,4966,Fața Schitului,Geomil 25000,Limba română
Pădurea Fața Schitului,schit,2,45.2474419422624,24.727518881558,Arges,Pădure,4051,Pădurea Fața Schitului,Geomil 25000,Limba română
Pădurea Schitu Budișteni,schit,2,44.8113929256688,25.1722579398932,Arges,Pădure,11699,Pădurea Schitu Budișteni,Geomil 25000,Limba română
Pădurea Schitului,schit,2,45.2808787784223,24.5736873750413,Arges,Pădure,1437,Pădurea Schitului,Geomil 25000,Limba română
Poiana Schitului,schit,2,45.2537620100961,24.8705518433541,Arges,Poiană,11118,Poiana Schitului,PDT,Limba română
Schitu,schit,2,45.1620468071535,24.3860511094249,Arges,Altele,1443,Schitu,Geomil 25000,Limba română
Schitu Scoicești,schit,2,44.8175089575719,25.1481928674576,Arges,Localitate,10171,Schitu Scoicești,Geomil 25000,Limba română
Valea Schitului,schit,2,44.8870449326112,24.9743913082049,Arges,Vale,548,Valea Schitului,Geomil 25000,Limba română
Valea Schitului,schit,2,45.0941328793573,24.5627770939114,Arges,Vale,1420,Valea Schitului,Geomil 25000,Limba română
Valea Schitului,schit,2,45.2482460458753,24.9603634863449,Arges,Vale,4964,Valea Schitului,Geomil 25000,Limba română
