Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Osoaiele,osoaie,3,46.0070266521185,23.3029980347269,Alba,Înălțime,11323,,Osoaiele,Geomil 25000,Limba română
Valea Osoaii,osoaie,3,46.0442271371717,23.4605754546009,Alba,Vale,5569,,Valea Osoaii,Geomil 25000,Limba română
Dealul Osoaia,osoaie,3,46.3003432074026,27.3158497052265,Bacau,Deal,11300,,Dealul Osoaia,Geomil 25000,Limba română
Dealu Osoaiele,osoaie,3,46.5969386765274,22.1993472030619,Bihor,Deal,4094,,Dealu Osoaiele,Geomil 25000,Limba română,Dealu Osoaiele,PDT,Limba română
Osoaie,osoaie,3,47.0500555128998,22.5486895845871,Bihor,Altele,8193,,Osoaie,PDT,Limba română
Muntele Osoaia,osoaie,3,45.8560010021124,25.2888265287026,Brasov,Înălțime,13743,13742,Muntele Osoaia,Transilvania (1869-1870),Limba română
Dealul Osoaiele,osoaie,3,46.9778695592248,22.775442310497,Cluj,Deal,11858,,Dealul Osoaiele,Geomil 25000,Limba română
Fundul Osoaiei,osoaie,3,47.0475700464006,23.480485465907,Cluj,Înălțime,10398,,Fundul Osoaiei,PDT,Limba română
Dealu Osoaia,osoaie,3,46.041090037857,23.0353301118044,Hunedoara,Deal,9657,,Dealu Osoaia,Geomil 25000,Limba română
La Osoaie,osoaie,3,47.7959859085885,24.2389414861328,Maramures,Altele,7162,,La Osoaie,Geomil 25000,Limba română
Vârful Osoii,osoaie,3,47.5620416153565,23.2973687363993,Maramures,Altele,8218,,Vârful Osoii,PDT,Limba română
Osoaia,osoaie,3,47.1963282315255,23.1243268916586,Salaj,Altele,10410,,Osoaia,PDT,Limba română
Valea Osoaia,osoaie,3,47.0021231828054,23.436768558622,Salaj,Vale,10395,,Valea Osoaia,PDT,Limba română
