Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1
Casa Domnească,casă boiereasca/domneasca,2,46.2899908437062,23.8472143939726,Alba,Altele,7356,Casa Domnească,PDT,Limba română
Dealul Curtea Veche,casă boiereasca/domneasca,2,46.4070570718156,27.2939142993881,Bacau,Deal,14125,Dealul Curtea Veche,Geomil 25000,Limba română
Rudera eines Edl Hofes (Runele unei Curți Boierești),casă boiereasca/domneasca,2,46.1822359398767,26.93922356238,Bacau,Altele,11967,Rudera eines Edl Hofes (Runele unei Curți Boierești),Moldova (1788-1790),Limba germană
La Curtea Domnească,casă boiereasca/domneasca,2,46.7491733135854,22.1504941657368,Bihor,Altele,2001,La Curtea Domnească,Geomil 25000,Limba română
Curtea boereasca,casă boiereasca/domneasca,2,47.9612858170822,26.3363869280714,Botosani,Altele,9731,Curtea boereasca,Moldova (1892-1898),Limba română
Curtea Boerească,casă boiereasca/domneasca,2,48.1742676532428,26.3701331356055,Botosani,Altele,13587,Curtea Boerească,PDT,Limba română
La Culă,casă boiereasca/domneasca,2,44.5107512566452,23.498355709886,Dolj,Altele,11809,La Culă,PDT,Limba română
Cula lui Volvara,casă boiereasca/domneasca,2,44.8586386117567,23.7021468426082,Gorj,Altele,11036,Cula lui Volvara,PDT,Limba română
Küla Leordjen,casă boiereasca/domneasca,2,44.3849842578906,26.2118475246084,Ilfov,Altele,12876,Küla Leordjen,Oltenia-Muntenia (1790),Limba română
Casa Veche,casă boiereasca/domneasca,2,44.86090375272,24.2961255777895,Valcea,Altele,341,Casa Veche,Geomil 25000,Limba română
Kasa vetia Domneaska,casă boiereasca/domneasca,2,44.5068951836335,24.0482973745459,Valcea,Altele,5830,Kasa vetia Domneaska,Austriacă,Limba română
