Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Conacul Apă Acra,conac,2,46.4059322604467,21.7940455754438,Arad,Altele,6288,Conacul Apă Acra,PDT,Limba română
Conacul Eleș,conac,2,46.4394068387515,21.9586479096868,Arad,Altele,6287,Conacul Eleș,PDT,Limba română
Conacul Jimboaia,conac,2,46.3056361277279,21.6373096409956,Arad,Altele,5632,Conacul Jimboaia,PDT,Limba română
Conacul Kralitz,conac,2,46.3485870752836,21.6632654075749,Arad,Altele,6293,Conacul Kralitz,PDT,Limba română
Conacul lui Crișan Ion,conac,2,46.5041263111826,21.6544384247503,Arad,Altele,8030,Conacul lui Crișan Ion,PDT,Limba română
Conacul lui Ion Țăran,conac,2,46.5522986430009,21.6648298683825,Arad,Altele,11971,Conacul lui Ion Țăran,PDT,Limba română
Conacul lui Mișcuța,conac,2,46.5368847244989,21.6788204955984,Arad,Altele,11972,Conacul lui Mișcuța,PDT,Limba română
Conacul Pipaia,conac,2,46.4307814631386,21.6993266957779,Arad,Altele,6292,Conacul Pipaia,PDT,Limba română
Conacul Șanluș,conac,2,46.3184948171632,21.7597485840083,Arad,Altele,6294,Conacul Șanluș,PDT,Limba română
Conacul lui Băleanu,conac,2,45.1782303348351,24.5466876840581,Arges,Altele,14595,Conacul lui Băleanu,PDT,Limba română
Conacul Minovici,conac,2,45.2264535614932,24.5103642800922,Arges,Altele,13976,Conacul Minovici,PDT,Limba română
Conac Dr. Feher,conac,2,47.5231452169901,22.197546645626,Bihor,Altele,7667,Conac Dr. Feher,PDT,Limba română
Conac Frater,conac,2,47.509580889181,22.2036459502883,Bihor,Altele,7669,Conac Frater,PDT,Limba română
Conac Potoki,conac,2,47.5151391235616,22.1876833642937,Bihor,Altele,7668,Conac Potoki,PDT,Limba română
Conacul Balagi,conac,2,47.5985348372036,22.2103956869522,Bihor,Altele,7665,Conacul Balagi,PDT,Limba română
Conacul Balagi,conac,2,47.5575038427643,22.2170010200632,Bihor,Altele,7666,Conacul Balagi,PDT,Limba română
Conacul Kover,conac,2,46.6647382840876,21.8012011162507,Bihor,Altele,7590,Conacul Kover,PDT,Limba română
Conacul lui Bogdanfi,conac,2,46.6702263526715,21.8382370418544,Bihor,Altele,7589,Conacul lui Bogdanfi,PDT,Limba română
Conacul Neilie,conac,2,47.8102978047425,26.664071185292,Botosani,Altele,7764,Conacul Neilie,PDT,Limba română
Conacul Oteleanu,conac,2,45.3667548479067,27.9121638312757,Braila,Altele,12622,Conacul Oteleanu,PDT,Limba română
La Conac,conac,2,45.6444092742908,25.438991529986,Brasov,Altele,11385,La Conac,Geomil 25000,Limba română
Conac,conac,2,43.8535287840415,28.513699863164,Constanta,Altele,9311,Conac,PDT,Limba română
Conacul Coman,conac,2,43.8175464213378,28.4901898126913,Constanta,Altele,14285,Conacul Coman,PDT,Limba română
Conacul lui Frunsescu,conac,2,44.0693314951905,28.3862315719902,Constanta,Altele,12710,Conacul lui Frunsescu,British Maps (1944),Limba română
Conacul lui Nedelcu,conac,2,43.9902834674632,28.502575557016,Constanta,Altele,9305,Conacul lui Nedelcu,PDT,Limba română
Conacul lui Solacolu,conac,2,44.2075058413829,28.4393526893881,Constanta,Altele,12711,Conacul lui Solacolu,British Maps (1944),Limba română
Conac,conac,2,44.1608564336507,23.6680376481334,Dolj,Altele,3346,Conac,PDT,Limba română
Conac,conac,2,44.2671224072053,23.3701561051255,Dolj,Altele,11015,Conac,PDT,Limba română
Conac,conac,2,44.3007202323486,23.3464213487461,Dolj,Altele,11016,Conac,PDT,Limba română
Conac Cancea Deal,conac,2,44.1360124388779,23.0372641470256,Dolj,Altele,8492,Conac Cancea Deal,PDT,Limba română
Conac Florescu,conac,2,43.9282238869868,23.2010246623215,Dolj,Altele,11800,Conac Florescu,PDT,Limba română
Conacele Stroeștilor,conac,2,43.9599194682347,24.0900185534182,Dolj,Altele,8023,Conacele Stroeștilor,PDT,Limba română
Conacu Desa,conac,2,43.851801086497,23.0145861069892,Dolj,Altele,3817,Conacu Desa,PDT,Limba română
Conacul Băicoianu,conac,2,44.5260371835377,23.630261218204,Dolj,Altele,16008,Conacul Băicoianu,PDT,Limba română
Conacul Balta Verde,conac,2,44.2604754026271,23.8270856697479,Dolj,Altele,13631,Conacul Balta Verde,PDT,Limba română
Conacul Braier,conac,2,43.9865941033229,23.7338959598623,Dolj,Altele,1302,Conacul Braier,Geomil 25000,Limba română
Conacul Caprariu,conac,2,44.4128463735832,23.7876370891207,Dolj,Altele,12176,Conacul Caprariu,PDT,Limba română
Conacul Colonel Dobrinescu,conac,2,44.4028645541624,23.7889298746985,Dolj,Altele,12175,Conacul Colonel Dobrinescu,PDT,Limba română
Conacul Gheorghiade,conac,2,44.0350440519191,23.1853308790386,Dolj,Altele,8484,Conacul Gheorghiade,PDT,Limba română
Conacul lui Bibescu,conac,2,44.0870996447934,23.2677743285014,Dolj,Altele,12309,Conacul lui Bibescu,PDT,Limba română
Conacul lui Demetrian,conac,2,44.2096074860564,24.0343943718287,Dolj,Altele,12594,Conacul lui Demetrian,British Maps (1944),Limba română
Conacul lui N. Racoia,conac,2,44.0883365215311,23.2655454464325,Dolj,Altele,12310,Conacul lui N. Racoia,PDT,Limba română
Conacul lui Sima Năiculescu,conac,2,43.9262267425426,23.1920809389165,Dolj,Altele,11801,Conacul lui Sima Năiculescu,PDT,Limba română
Conacul M. Faranga,conac,2,44.0298281238964,23.2122022970829,Dolj,Altele,8483,Conacul M. Faranga,PDT,Limba română
Conacul Marin Niculescu,conac,2,43.915563635123,23.2107704209168,Dolj,Altele,10349,Conacul Marin Niculescu,PDT,Limba română
Conacul Marincu,conac,2,44.0585457026287,23.1968190002694,Dolj,Altele,11026,Conacul Marincu,PDT,Limba română
Conacul N.P. Romanescu,conac,2,44.0794071457549,23.2451992968704,Dolj,Altele,12308,Conacul N.P. Romanescu,PDT,Limba română
Conacul Nicolaid,conac,2,44.3940107362642,23.8522853244634,Dolj,Altele,4822,Conacul Nicolaid,PDT,Limba română
Conacul Paianu,conac,2,44.4119139466121,23.2441211690491,Dolj,Altele,125,Conacul Paianu,PDT,Limba română
Conacul Sf. Treime,conac,2,44.3805191693158,23.8606118340983,Dolj,Altele,4821,Conacul Sf. Treime,PDT,Limba română
Conacul Sima Năiculescu,conac,2,43.8618730022001,23.209140051056,Dolj,Altele,3807,Conacul Sima Năiculescu,PDT,Limba română
