Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
D. inului,in (plantă),2,46.0348600146672,23.5166047056341,Alba,Deal,10453,,D. inului,Transilvania (1869-1870),Limba română
Dealul Inurilor,in (plantă),2,46.3211268425169,24.0024816252897,Alba,Deal,11835,,Dealul Inurilor,Geomil 25000,Limba română
Dealul Inului,in (plantă),2,45.1065209507276,25.1268841545475,Arges,Deal,546,,Dealul Inului,Geomil 25000,Limba română
Dealul Inului,in (plantă),2,45.0249337736496,25.0885813552017,Arges,Deal,14171,,Dealul Inului,PDT,Limba română
Dealul Inului,in (plantă),2,46.5058637878171,26.5832351991606,Bacau,Deal,14796,,Dealul Inului,Moldova (1892-1898),Limba română
Coasta Inului,in (plantă),2,45.6089393427122,25.7835181801445,Brasov,Înălțime,14541,,Coasta Inului,PDT,Limba română
Dealul Inului,in (plantă),2,45.7924608561262,25.7037517223214,Covasna,Deal,4932,,Dealul Inului,Geomil 25000,Limba română
Dealul la In,in (plantă),2,45.1856492151514,25.358224502594,Dambovita,Deal,5215,,Dealul la In,Geomil 25000,Limba română
Coasta Inurilor,in (plantă),2,46.1718952725799,25.0795157316182,Mures,Înălțime,11472,11471,Coasta Inurilor,Geomil 25000,Limba română
Grîdina cu In,in (plantă),2,46.1824914687192,25.1069312057529,Mures,Altele,6788,,Grîdina cu In,Geomil 25000,Limba română
Inurile,in (plantă),2,46.1766857383581,25.086791738869,Mures,Altele,11471,,Inurile,Geomil 25000,Limba română
Pădurea Inurilor,in (plantă),2,46.1977184966632,25.0222664048829,Mures,Pădure,11473,,Pădurea Inurilor,Geomil 25000,Limba română
În vârf la Inuri,in (plantă),2,45.1265112037068,25.9235020345971,Prahova,Înălțime,11132,,În vârf la Inuri,PDT,Limba română
Câmpia Inului,in (plantă),2,46.8910365447032,23.0977438727969,Salaj,Câmp,7018,,Câmpia Inului,Geomil 25000,Limba română,Câmpia Inului,PDT,Limba română
Topitoria de In,in (plantă),2,47.5786168356038,22.3631840249758,Satu Mare,Altele,14504,,Topitoria de In,PDT,Limba română
Hotarului Inului,in (plantă),2,46.1316801797374,24.2547438623352,Sibiu,Altele,2621,,Hotarului Inului,Geomil 25000,Limba română
În Inuri,in (plantă),2,46.092221728481,24.6424918248512,Sibiu,Altele,8622,,În Inuri,PDT,Limba română
În Inuri,in (plantă),2,45.7885380528701,24.5504534883607,Sibiu,Altele,9683,,În Inuri,Geomil 25000,Limba română
Inuri,in (plantă),2,45.7239546776084,24.3594281803111,Sibiu,Altele,14721,,Inuri,PDT,Limba română
Valea Inului,in (plantă),2,46.0423336145172,24.469123396255,Sibiu,Vale,2651,,Valea Inului,Geomil 25000,Limba română
Dealul Inului,in (plantă),2,46.3386400947913,27.540622835315,Vaslui,Deal,14121,,Dealul Inului,Geomil 25000,Limba română
Dealul Inului,in (plantă),2,45.498595305705,26.993240689882,Vrancea,Deal,8746,,Dealul Inului,PDT,Limba română
Dealul la Inuri,in (plantă),2,45.9746071096221,26.8644873577859,Vrancea,Deal,9197,,Dealul la Inuri,PDT,Limba română
Poiana Inului,in (plantă),2,45.4958209410584,26.9976729708689,Vrancea,Poiană,8745,8746,Poiana Inului,PDT,Limba română
