Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1
Frâncu,frânc,3,45.4759003013531,22.1028410446666,Caras Severin,Înălțime,14343,,Frâncu,ANCPI,Limba română
Frâncul,frânc,3,45.3114489476017,22.5195657840568,Caras Severin,Înălțime,14357,,Frâncul,ANCPI,Limba română
Pârâu Frâncului,frânc,3,45.1823377540164,22.2879043873622,Caras Severin,Vale,6133,6134,Pârâu Frâncului,Geomil 25000,Limba română
Pârâul Frâncului,frânc,3,45.3456774891503,22.6198520613824,Caras Severin,Vale,15074,,Pârâul Frâncului,Munții noștri,Limba română
Poiana Stâna Frâncului,frânc,3,45.1631994881727,22.1567939527901,Caras Severin,Poiană,11497,,Poiana Stâna Frâncului,Geomil 25000,Limba română
Tâlva Frâncului,frânc,3,45.1913069731092,22.2790721120441,Caras Severin,Înălțime,6134,,Tâlva Frâncului,Geomil 25000,Limba română
Valea Frâncului,frânc,3,45.4827738080455,22.1088467156613,Caras Severin,Vale,14344,14343,Valea Frâncului,ANCPI,Limba română
Dealu Frâncu,frânc,3,46.7868661397109,23.0624953830615,Cluj,Deal,14220,,Dealu Frâncu,Geomil 25000,Limba română
Dealul Frâncul,frânc,3,45.0267787196945,23.3829483553855,Gorj,Deal,8405,8052,Dealul Frâncul,PDT,Limba română
Poiana Frâncul Mare,frânc,3,45.0291291337817,23.3823795035066,Gorj,Poiană,8052,,Poiana Frâncul Mare,PDT,Limba română
Poiana Frâncul Mic,frânc,3,45.0219766934006,23.37762152619,Gorj,Poiană,8054,8052,Poiana Frâncul Mic,PDT,Limba română
Frâncești,frâncești,3,45.0867718680044,23.0583581182315,Gorj,Localitate,9789,,Frâncești,Geomil 25000,Limba română
Frâncești,frâncești,3,47.2198706260715,27.2152147830277,Iasi,Localitate,9569,,Frâncești,Moldova (1892-1898),Limba română
Frâncenii Boiului,frânceni,3,47.4005964296989,23.6178389146998,Maramures,Localitate,9927,,Frâncenii Boiului,Geomil 25000,Limba română
Frânca,frânca,3,45.4019485560391,25.7064847133983,Prahova,Vale,15092,15091,Frânca,Munții noștri,Limba română
Plaiul Frânca,frânca,3,45.3975175166054,25.7040789302035,Prahova,Înălțime,15091,,Plaiul Frânca,Munții noștri,Limba română
Frâncenii de Piatra,frânceni,3,47.3217742683972,23.6750909885977,Salaj,Localitate,6942,,Frâncenii de Piatra,Geomil 25000,Limba română
Valea Frâncului,frânc,3,43.9437314188332,25.2702622198185,Teleorman,Vale,9457,,Valea Frâncului,Geomil 25000,Limba română
Valea Frâncului,frânc,3,44.6536519674103,23.8980789769172,Valcea,Vale,12178,,Valea Frâncului,Geomil 25000,Limba română
Frâncești,frâncești,3,45.0009953516673,24.1693125433761,Valcea,Localitate,8433,,Frâncești,PDT,Limba română
Frâncești-Coasta,frâncești,3,45.2109546697581,24.3006233095339,Valcea,Localitate,12850,,Frâncești-Coasta,Geomil 25000,Limba română
