Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1
Poiana Stâna Frâncului,frânc,3,45.1631994881727,22.1567939527901,Caras Severin,Poiană,11497,Poiana Stâna Frâncului,Geomil 25000,Limba română
Tâlva Frâncului,frânc,3,45.1913069731092,22.2790721120441,Caras Severin,Înălțime,6134,Tâlva Frâncului,Geomil 25000,Limba română
Dealu Frâncu,frânc,3,46.7868661397109,23.0624953830615,Cluj,Deal,14220,Dealu Frâncu,Geomil 25000,Limba română
Poiana Frâncul Mare,frânc,3,45.0291291337817,23.3823795035066,Gorj,Poiană,8052,Poiana Frâncul Mare,PDT,Limba română
Frâncești,frâncești,3,45.0867718680044,23.0583581182315,Gorj,Localitate,9789,Frâncești,Geomil 25000,Limba română
Frâncești,frâncești,3,47.2198706260715,27.2152147830277,Iasi,Localitate,9569,Frâncești,Moldova (1892-1898),Limba română
Frâncenii Boiului,frânceni,3,47.4005964296989,23.6178389146998,Maramures,Localitate,9927,Frâncenii Boiului,Geomil 25000,Limba română
Frâncenii de Piatra,frânceni,3,47.3217742683972,23.6750909885977,Salaj,Localitate,6942,Frâncenii de Piatra,Geomil 25000,Limba română
Valea Frâncului,frânc,3,43.9437314188332,25.2702622198185,Teleorman,Vale,9457,Valea Frâncului,Geomil 25000,Limba română
Valea Frâncului,frânc,3,44.6536519674103,23.8980789769172,Valcea,Vale,12178,Valea Frâncului,Geomil 25000,Limba română
Frâncești,frâncești,3,45.0009953516673,24.1693125433761,Valcea,Localitate,8433,Frâncești,PDT,Limba română
Frâncești-Coasta,frâncești,3,45.2109546697581,24.3006233095339,Valcea,Localitate,12850,Frâncești-Coasta,Geomil 25000,Limba română
