Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3,Nume 4,Hartă 4,Limbă 4
Dâmbu Neamțului,neamț,4,46.2231639904775,23.2880047461297,Alba,Înălțime,5579,Dâmbu Neamțului,Geomil 25000,Limba română
Piatra Neamțului,neamț,4,46.4661201305344,23.15213011445,Alba,Înălțime,11528,Piatra Neamțului,Geomil 25000,Limba română
Podu Neamțului,neamț,4,46.249026742483,23.9765097571379,Alba,Altele,7354,Podu Neamțului,Geomil 25000,Limba română
Dealul Sasului,sas,4,45.7687200968509,23.4349396094447,Alba,Deal,10550,Dealul Sasului,Imperiul Habsburgic (1887),Limba română
Pădurea Sasului,sas,4,46.0395415041667,23.7400353084059,Alba,Pădure,11239,Pădurea Sasului,Geomil 25000,Limba română
Pârâul Sasului,sas,4,46.1970825449286,23.9033024101573,Alba,Vale,8153,Pârâul Sasului,PDT,Limba română
Pârâul Valea Sasului,sas,4,46.2812583462646,24.0343625971248,Alba,Vale,7353,Pârâul Valea Sasului,Geomil 25000,Limba română
Valea Sasului,sas,4,45.7958538324851,23.4098817649919,Alba,Vale,1136,Valea Sasului,Geomil 25000,Limba română
Valea Sasului,sas,4,46.2264618609721,23.66757337281,Alba,Vale,11829,Valea Sasului,Geomil 25000,Limba română,Valea Sasului,PDT,Limba română
Valea Sasului,sas,4,46.4257633681072,23.6865840837568,Alba,Vale,14010,Valea Sasului,PDT,Limba română
Vârfu Gruiu Sasului,sas,4,46.0987263883423,23.6637702164181,Alba,Înălțime,6747,Vârfu Gruiu Sasului,Geomil 25000,Limba română,Gruiul Sasului,PDT,Limba română
Szaszcsor (Săsciori),săsciori,4,45.87915057659,23.5790315215061,Alba,Localitate,13242,Szaszcsor (Săsciori),Transilvania (1769-1773),Limba română,Săsciori,Geomil 25000,Limba română
Gruețiu Săsăscu,săsesc,4,46.2513875154387,23.9429086455919,Alba,Altele,11836,Gruețiu Săsăscu,Geomil 25000,Limba română
Râtul Săsesc,săsesc,4,46.1491412569673,23.9713363412561,Alba,Altele,8157,Râtul Săsesc,PDT,Limba română
Szaz Pian,săsesc,4,45.9377894147004,23.487641174528,Alba,Localitate,10458,Szaz Pian,Transilvania (1869-1870),Limba maghiară
Săsești,săsești,4,46.3721850828061,23.9704161800722,Alba,Altele,14014,Săsești,PDT,Limba română
Szász-Ujfalu,szász,4,46.2744638487775,23.7210198243592,Alba,Localitate,10501,Szász-Ujfalu,Transilvania (1869-1870),Limba maghiară
Sâmpetrul-German,germani,2,46.1121963131872,21.0460873484168,Arad,Localitate,5645,Sâmpetrul-German,PDT,Limba română,Sânpetru German,PDT,Limba română
Cioaca Neamțului,neamț,4,46.1812063001125,21.7327760644669,Arad,Înălțime,10292,Cioaca Neamțului,Geomil 25000,Limba română,Cioka Niamtzului,Ungară 1869,Limba română
Dâmbul Neamțului,neamț,4,46.5967876421485,22.1564492006839,Arad,Înălțime,4092,Dâmbul Neamțului,PDT,Limba română
Dealul Neamțului,neamț,4,45.9371524390492,22.4097959391573,Arad,Deal,874,Dealul Neamțului,Geomil 25000,Limba română
Fântâna neamțiului,neamț,4,46.3918782751692,21.9612231824803,Arad,Altele,6286,Fântâna neamțiului,PDT,Limba română
Pârâul Neamțului,neamț,4,46.1170594189194,21.8058268842783,Arad,Vale,5630,Pârâul Neamțului,PDT,Limba română,Pârâul Neamțului,Geomil 25000,Limba română
Valea Neamțului,neamț,4,46.1077752659222,21.7500993954286,Arad,Vale,1948,Valea Neamțului,Geomil 25000,Limba română
Valea Neamțului,neamț,4,46.2401957684099,22.5665373665456,Arad,Vale,6258,Valea Neamțului,Geomil 25000,Limba română
Valea Neamțului,neamț,4,46.2111675656595,21.7360508435098,Arad,Vale,9415,Valea Neamțului,Geomil 25000,Limba română
Dealul Nemțesc,nemțesc,4,46.0768942209029,21.6976737288836,Arad,Deal,9423,Dealul Nemțesc,PDT,Limba română
Băile Nemților,nemți,3,46.456701817283,22.3068511652296,Arad,Altele,13936,Băile Nemților,PDT,Limba română
Dealu Nemților,nemți,3,46.0464566349226,21.7229724372493,Arad,Deal,6306,Dealu Nemților,Geomil 25000,Limba română,Dealul Nemților,PDT,Limba română
Izlazul Nemților,nemți,3,46.4331840038855,22.0224939377142,Arad,Altele,12520,Izlazul Nemților,ANCPI,Limba română
La Nemți,nemți,3,46.3812505842037,21.8989924457259,Arad,Altele,7600,La Nemți,PDT,Limba română
Dealu Sasu,sas,4,46.0732144823886,22.1296749340035,Arad,Deal,13501,Dealu Sasu,Geomil 25000,Limba română
Pădurea Sasului,sas,4,46.5023552069806,21.7653905359974,Arad,Pădure,8035,Pădurea Sasului,PDT,Limba română
Valea Sasului,sas,4,46.3223359708145,22.4528868182071,Arad,Vale,5599,Valea Sasului,Geomil 25000,Limba română
Ciuha Neamțului,neamț,4,45.2189286239976,24.536020849158,Arges,Înălțime,6909,Ciuha Neamțului,PDT,Limba română
Culmea Neamțului,neamț,4,45.3737009558346,24.945763976059,Arges,Înălțime,5000,Culmea Neamțului,Geomil 25000,Limba română
Valea Neamțului,neamț,4,45.2199726880191,24.9235190184947,Arges,Vale,5065,Valea Neamțului,PDT,Limba română
Neamțoaica Mare,nemțoaică,4,45.5655579850147,25.1151406576482,Arges,Vale,5078,Neamțoaica Mare,Geomil 25000,Limba română
Dealul Sasu,sas,4,45.5088849010291,25.2337793980464,Arges,Deal,599,Dealul Sasu,Geomil 25000,Limba română
Dealul Sasului,sas,4,45.4109233671897,25.2386331841099,Arges,Deal,5032,Dealul Sasului,Geomil 25000,Limba română,Dealul Sasului,PDT,Limba română
Dealul Sasului,sas,4,45.2563655543231,24.511145280615,Arges,Deal,12580,Dealul Sasului,British Maps (1944),Limba română
Piscu Sasului,sas,4,44.9213618005572,24.5256019877024,Arges,Înălțime,11045,Piscu Sasului,Geomil 25000,Limba română
Valea Sasului,sas,4,45.1074958256432,24.6774721883829,Arges,Vale,1424,Valea Sasului,Geomil 25000,Limba română,Valea Sassului,Austriacă,Limba română
Valea Sasului,sas,4,45.2422787298872,24.6950469668261,Arges,Vale,4050,Valea Sasului,PDT,Limba română
Valea Sasului,sas,4,45.2412475351282,24.9998311682365,Arges,Vale,11120,Valea Sasului,PDT,Limba română
Groapa Neamțului,neamț,4,46.3097965967291,26.4871880841147,Bacau,Altele,4568,Groapa Neamțului,PDT,Limba română
Poiana Neamțului,neamț,4,46.379212127788,27.1571033929937,Bacau,Poiană,7887,Poiana Neamțului,PDT,Limba română
Valea Jgheabul Neamțului,neamț,4,46.4850398694398,26.3476036200075,Bacau,Vale,7879,Valea Jgheabul Neamțului,Geomil 25000,Limba română
Sasu,sas,4,46.6858656367109,27.0405910507658,Bacau,Localitate,13642,Sasu,Moldova (1892-1898),Limba română
Sasul,sas,4,46.2160404958811,26.4341561768016,Bacau,Vale,13851,Sasul,Geomil 25000,Limba română
Coliba Neamțului,neamț,4,47.1735955853819,22.360295062366,Bihor,Altele,4180,Coliba Neamțului,PDT,Limba română
Pârâul Neamțului,neamț,4,46.6601980720561,22.0350638899163,Bihor,Vale,4112,Pârâul Neamțului,PDT,Limba română
Pârâul Neamțului,neamț,4,46.4115356137138,22.5133210368546,Bihor,Vale,5627,Pârâul Neamțului,Geomil 25000,Limba română
Poiana Sasului,sas,4,46.547875874812,22.1815730486625,Bihor,Poiană,979,Poiana Sasului,Geomil 25000,Limba română,Poiana Sasului,PDT,Limba română
Szászfalva (Satul Sasului),sas,4,47.0102625382554,22.4485334898431,Bihor,Localitate,10272,Szászfalva (Satul Sasului),Ungară 1869,Limba maghiară
Valea Sasului,sas,4,46.9896741043336,22.5489730249209,Bihor,Vale,1075,Valea Sasului,Geomil 25000,Limba română,Valea Sasului,PDT,Limba română
Sváb-Olaszi,șvab,3,47.3525100712254,22.1725465950963,Bihor,Localitate,12142,Sváb-Olaszi,Ungaria (1782–1785),Limba maghiară
Dâmbul Șvabilor,șvabi,4,47.2984622650483,22.0814112023188,Bihor,Înălțime,7585,Dâmbul Șvabilor,PDT,Limba română
Dealul Neamțului,neamț,4,46.8693802426354,24.3987771119404,Bistrita Nasaud,Deal,5471,Dealul Neamțului,PDT,Limba română,Dealul Neamțului,Geomil 25000,Limba română
Dealul Neamțului,neamț,4,47.3938557083363,24.8007230550124,Bistrita Nasaud,Deal,9916,Dealul Neamțului,Geomil 25000,Limba română
Poiana Neamțului,neamț,4,47.4064797653777,24.4318538572054,Bistrita Nasaud,Poiană,1022,Poiana Neamțului,Geomil 25000,Limba română
Dealul Sasului,sas,4,47.2338728924511,24.3692220163044,Bistrita Nasaud,Deal,7118,Dealul Sasului,Geomil 25000,Limba română
Dealul Sasului,sas,4,47.2810636776578,24.5650073926603,Bistrita Nasaud,Deal,10583,Dealul Sasului,Imperiul Habsburgic (1887),Limba română
Dealul Sasului,sas,4,47.1683129850571,24.0601996843752,Bistrita Nasaud,Deal,14160,Dealul Sasului,Geomil 25000,Limba română
Dialu sasului,sas,4,47.2190000845513,24.209679559269,Bistrita Nasaud,Deal,10496,Dialu sasului,Transilvania (1869-1870),Limba română
Moara Sasului,sas,4,47.3009056290404,24.2683768002958,Bistrita Nasaud,Altele,7112,Moara Sasului,PDT,Limba română,La Moara Sasului,Geomil 25000,Limba română
Valea Sasului,sas,4,47.2603171219254,24.2553971229583,Bistrita Nasaud,Vale,4500,Valea Sasului,Geomil 25000,Limba română
Szász Cegő,săsesc,4,47.0692463889004,24.3322630639926,Bistrita Nasaud,Localitate,10465,Szász Cegő,Transilvania (1869-1870),Limba maghiară
Szasz Budak,szász,4,47.089699690906,24.5219057793753,Bistrita Nasaud,Localitate,14477,Szasz Budak,Transilvania (1769-1773),Limba română
Szasz Uj Öss,szász,4,46.939108726924,24.2722229727359,Bistrita Nasaud,Localitate,14481,Szasz Uj Öss,Transilvania (1769-1773),Limba maghiară
Szasz Ujfalu,szász,4,47.0214760793371,24.260647752462,Bistrita Nasaud,Localitate,14479,Szasz Ujfalu,Transilvania (1769-1773),Limba maghiară
Szász-Bréte,szász,4,47.1239702679596,24.2427083463103,Bistrita Nasaud,Localitate,10467,Szász-Bréte,Transilvania (1869-1870),Limba maghiară
Dealul Neamțului,neamț,4,47.8055959153472,26.7710190379218,Botosani,Deal,3571,Dealul Neamțului,PDT,Limba română,Dealul Neamțului,Geomil 25000,Limba română
Lacul Neamțu,neamț,4,47.9643847188604,26.7231249001972,Botosani,Lac,3576,Lacul Neamțu,PDT,Limba română
Lutăria la Neamțu,neamț,4,47.7811897825132,27.0194001824587,Botosani,Altele,2375,Lutăria la Neamțu,Geomil 25000,Limba română
Dealul Șvabului,șvab,3,48.027002508359,26.5522039791005,Botosani,Deal,15941,Dealul Șvabului,ANCPI,Limba română
Grindul Neamțului,neamț,4,45.1489802493149,28.0094067111292,Braila,Înălțime,9262,Grindul Neamțului,PDT,Limba română
Satu nemtzesk,nemțesc,4,45.3187938377331,27.9394276973619,Braila,Localitate,3613,Satu nemtzesk,Austriacă,Limba română
Târla Sasul,sas,4,45.230706026156,27.5561497560106,Braila,Localitate,12617,Târla Sasul,PDT,Limba română
Movila Sașilor,sași,3,44.8160753962395,27.7593008819936,Braila,Înălțime,3470,Movila Sașilor,PDT,Limba română
Neamțul,neamț,4,45.6089554133106,25.0358124550357,Brasov,Vale,2713,Neamțul,Geomil 25000,Limba română
Pârâul Sasului,sas,4,45.7218483597057,25.2835119092151,Brasov,Vale,6822,Pârâul Sasului,PDT,Limba română
Valea Sasului,sas,4,45.7838224198451,25.4190745686307,Brasov,Vale,2700,Valea Sasului,Geomil 25000,Limba română
Valea Sasului,sas,4,45.5906498011465,25.8830852004893,Brasov,Vale,2770,Valea Sasului,Geomil 25000,Limba română
Valea Sasului,sas,4,45.4636053568657,25.3596099438264,Brasov,Vale,14161,Valea Sasului,Geomil 25000,Limba română
Ticușul săsesc,săsesc,4,45.9286955649274,25.0997048235925,Brasov,Localitate,10574,Ticușul săsesc,Imperiul Habsburgic (1887),Limba română
Calea Sașilor,sași,3,45.7287413957071,25.3437854536926,Brasov,Drum,10532,Calea Sașilor,Imperiul Habsburgic (1887),Limba română
Lunca Sașilor,sași,3,45.7435957759597,25.8208820041102,Brasov,Apă-deal-câmpie,13847,Lunca Sașilor,Geomil 25000,Limba română
Terenurile Sașilor,sași,3,46.0436794478499,25.2234470670499,Brasov,Altele,2486,Terenurile Sașilor,Geomil 25000,Limba română
Unghiul Sașillor,sași,3,45.9731491883741,25.263507612809,Brasov,Apă-deal-câmpie,6795,Unghiul Sașillor,PDT,Limba română
Ciuha Neamțului,neamț,4,45.2682289288507,26.3334134228144,Buzau,Înălțime,9817,Ciuha Neamțului,PDT,Limba română
Drumul Nemților (Tunurilor),nemți,3,45.4733374148268,26.1253410763155,Buzau,Drum,15094,Drumul Nemților (Tunurilor),Munții noștri,Limba română
Pârâul Sasului,sas,4,45.5542040323225,26.2050049830532,Buzau,Vale,6043,Pârâul Sasului,Geomil 25000,Limba română
Săsenii Vechi,sași,3,45.2166277691784,26.677870331127,Buzau,Localitate,70,Săsenii Vechi,Geomil 25000,Limba română,Săsenii Vechi,PDT,Limba română,Săseni veki,Austriacă,Limba română,Сэсени-Веки (Săseni Vechi),Sovietică,Limba română
Cracu Neamțului,neamț,4,45.4682869384986,22.3541557061084,Caras Severin,Înălțime,856,Cracu Neamțului,Geomil 25000,Limba română
Cracul Neamțului,neamț,4,45.1486249756852,22.4552947973371,Caras Severin,Înălțime,8672,Cracul Neamțului,PDT,Limba română
Dealu Masa Neamțului,neamț,4,45.424254932591,22.3256553984627,Caras Severin,Deal,10301,Dealu Masa Neamțului,Geomil 25000,Limba română
Dealu Neamțului,neamț,4,45.3907166225647,21.7531986872482,Caras Severin,Deal,4316,Dealu Neamțului,Geomil 25000,Limba română
Ogașu Crucea Neamțului,neamț,4,45.2652464570927,22.0602471319755,Caras Severin,Vale,6125,Ogașu Crucea Neamțului,Geomil 25000,Limba română
Poiana Neamțului,neamț,4,45.1045760249623,22.0745887963519,Caras Severin,Poiană,1226,Poiana Neamțului,Geomil 25000,Limba română,Poiana Neamțului,PDT,Limba română
Custura Nemțească,nemțească,4,45.2194704262213,21.7406975638892,Caras Severin,Altele,11499,Custura Nemțească,Geomil 25000,Limba română
Țarina Nemțească,nemțească,4,45.39535568122,22.2601650988346,Caras Severin,Altele,8667,Țarina Nemțească,Geomil 25000,Limba română
Cracu Nemțesc,nemțesc,4,44.8217084460384,21.6174243014064,Caras Severin,Înălțime,10867,Cracu Nemțesc,Geomil 25000,Limba română
La Nemți,nemți,3,45.375838513925,22.2617845268831,Caras Severin,Altele,15883,La Nemți,ANCPI,Limba română
Buza Sasului,sas,4,45.2282970557704,22.1480815296701,Caras Severin,Înălțime,4332,Buza Sasului,PDT,Limba română,Pusta Sasului,Geomil 25000,Limba română
Dealu Neamțului,neamț,4,46.6599169909685,23.0871615640349,Cluj,Deal,5895,Dealu Neamțului,Geomil 25000,Limba română
Dealu Țapa Neamțului,neamț,4,46.8794647934336,23.4942731796005,Cluj,Deal,4387,Dealu Țapa Neamțului,Geomil 25000,Limba română
Dealul Sasului,sas,4,47.368781218938,23.8628969345349,Cluj,Deal,4399,Dealul Sasului,Geomil 25000,Limba română
Dealul Sasului,sas,4,46.689402083285,23.334608293382,Cluj,Deal,8963,Dealul Sasului,PDT,Limba română
Sas,sas,4,46.5161099902372,23.6126368954287,Cluj,Înălțime,13712,Sas,Imperiul Habsburgic (1887),Limba română,Muntie Sas,Transilvania (1869-1870),Limba română
Szász Fenes,szász,4,46.7458740204976,23.4834465650124,Cluj,Localitate,14489,Szász Fenes,Transilvania (1769-1773),Limba maghiară
Szász Lona,szász,4,46.742830416309,23.4313475956112,Cluj,Localitate,14490,Szász Lona,Transilvania (1769-1773),Limba maghiară
Movila Nemților,nemți,3,44.3244144927591,28.1365734471258,Constanta,,2841,Movila Nemților,Geomil 25000,Limba română
Moara Neamțului,neamț,4,46.0083404589535,25.727190394277,Covasna,Altele,6056,Moara Neamțului,Geomil 25000,Limba română
Culmea Sasului,sas,4,46.0571854648413,25.7730992172595,Covasna,Înălțime,2750,Culmea Sasului,Geomil 25000,Limba română
Dealul Sașilor,sași,3,45.637580290082,26.1253439314296,Covasna,Deal,12881,Dealul Sașilor,Imperiul Habsburgic (1887),Limba română
Dealul Neamțului,neamț,4,44.7860204581348,25.2213050747202,Dambovita,Deal,14177,Dealul Neamțului,PDT,Limba română
Valea Neamțului,neamț,4,45.0506820629358,25.3877998925868,Dambovita,Vale,8378,Valea Neamțului,PDT,Limba română
Valea Neamțului,neamț,4,44.8414284014888,25.3435157642573,Dambovita,Vale,11073,Valea Neamțului,PDT,Limba română
Pădurea Sasu,sas,4,44.7080475819311,25.6648911731605,Dambovita,Pădure,11154,Pădurea Sasu,PDT,Limba română
Valea Sasului,sas,4,44.9616168520686,25.479239977035,Dambovita,Vale,1533,Valea Sasului,Geomil 25000,Limba română
Valea Sasului,sas,4,45.0743087937209,25.5029891239255,Dambovita,Vale,11195,Valea Sasului,ANCPI,Limba română
Fântâna de la Podul Neamțului,neamț,4,44.1440228387111,23.5158887579134,Dolj,Altele,8099,Fântâna de la Podul Neamțului,PDT,Limba română
Grindul Neamțului,neamț,4,43.7779666406861,23.9174117232732,Dolj,Apă-deal-câmpie,3027,Grindul Neamțului,Geomil 25000,Limba română
Măgura Neamțului,neamț,4,44.1851851065331,24.19024162056,Dolj,Înălțime,7734,Măgura Neamțului,PDT,Limba română
Piscul Neamțului,neamț,4,44.3133129684958,23.6367297770869,Dolj,Înălțime,3364,Piscul Neamțului,PDT,Limba română
