Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3,Nume 4,Hartă 4,Limbă 4
Dealu Armeanului,armean,3,46.2991371069234,23.5751282545994,Alba,Deal,7070,,Dealu Armeanului,Geomil 25000,Limba română
Cărămida,artefacte,2,45.9004771577191,23.6733748016912,Alba,Altele,11705,,Cărămida,PDT,Limba română
Părâul Cărămidi,artefacte,2,46.0554171148695,23.4833375433385,Alba,Vale,11828,,Părâul Cărămidi,Imperiul Habsburgic (1887),Limba română,Părăul Cărămizii,Geomil 25000,Limba română
Ruine,artefacte,2,45.871157179674,23.5736571538221,Alba,Înălțime,10962,,Ruine,Imperiul Habsburgic (1887),Limba germană
Dealul de Aur,aur,2,46.1353202420937,23.955420754082,Alba,Deal,8156,,Dealul de Aur,PDT,Limba română
Dealul Balaciului,balaciu,3,46.0723929312656,23.1366210538818,Alba,Deal,13152,,Dealul Balaciului,Geomil 25000,Limba română
Dealul Balcaciu,balcaci,3,46.1293505578533,24.0762566826838,Alba,Deal,11424,,Dealul Balcaciu,Geomil 25000,Limba română
Valea Balcaciu,balcaci,3,46.2179331938749,24.0735326380594,Alba,Vale,11423,,Valea Balcaciu,Geomil 25000,Limba română
Comul Berbecului,berbec,2,46.4989707554768,22.6829955703925,Alba,Înălțime,15188,,Comul Berbecului,Munții noștri,Limba română
Pădurea Berindei,berindei,3,46.2056581905428,24.0835437077728,Alba,Pădure,8636,,Pădurea Berindei,PDT,Limba română
Beșineu,beșineu,3,46.0944501533202,23.8087127434583,Alba,Localitate,10482,,Beșineu,Transilvania (1869-1870),Limba română
Bibarț,bibarţ,2,46.178105151931,23.8022649104907,Alba,Altele,12825,,Bibarț,Geomil 25000,Limba română
Boncești,boncești,3,46.3628582523079,23.0728517925333,Alba,Localitate,14670,,Boncești,ANCPI,Limba română
Dealu Boului,bou,3,46.3507813259761,23.5747223201855,Alba,Deal,1923,,Dealu Boului,Geomil 25000,Limba română
Dealu Boului,bou,3,46.4074878904984,22.7379591622821,Alba,Deal,5614,,Dealu Boului,Geomil 25000,Limba română
Dealul Boului,bou,3,46.1923975023374,24.0179577471556,Alba,Deal,5508,,Dealul Boului,Geomil 25000,Limba română
Fața Boilor,bou,3,46.128298990619,23.1528176482896,Alba,Înălțime,11951,,Fața Boilor,PDT,Limba română
Muntele Boului,bou,3,46.5127456862134,23.3472062354104,Alba,Înălțime,2586,2587,Muntele Boului,Geomil 25000,Limba română
Pădurea Tăul Boilor,bou,3,46.3581610894725,23.9653164090836,Alba,Pădure,13993,13992,Pădurea Tăul Boilor,PDT,Limba română
Piatra Boului,bou,3,46.1083548265518,23.4599026946333,Alba,Înălțime,2577,,Piatra Boului,Geomil 25000,Limba română
Tăul Boilor,bou,3,46.3608291845108,23.9635624463307,Alba,Altele,13992,,Tăul Boilor,PDT,Limba română
Valea Boului,bou,3,46.5175477379235,23.3629346878159,Alba,Vale,2587,,Valea Boului,Geomil 25000,Limba română
Valea Boului,bou,3,46.4141265784066,22.7422717040155,Alba,Vale,5615,5614,Valea Boului,Geomil 25000,Limba română
Fântâna Calului,cai,2,46.081157572312,23.4507718225271,Alba,Altele,10670,,Fântâna Calului,Imperiul Habsburgic (1887),Limba română
Groapa Calului,cai,2,46.1378334729319,24.1475383116638,Alba,Altele,11763,,Groapa Calului,Geomil 25000,Limba română
Valea Calului,cai,2,45.7026604754743,23.5747758745654,Alba,Vale,1132,,Valea Calului,Geomil 25000,Limba română
Cânepele,cânepă,2,46.1579388393012,24.1063624851498,Alba,Altele,8633,,Cânepele,PDT,Limba română
Valea Cânepei,cânepă,2,45.9676146051317,23.824440693758,Alba,Vale,14802,,Valea Cânepei,PDT,Limba română
Cânepiști,cânepiște,3,46.1543407988598,23.5911439253832,Alba,Altele,6751,,Cânepiști,Geomil 25000,Limba română
Cânepiști,cânepiște,3,46.2412597146634,24.1308355110235,Alba,Altele,11907,,Cânepiști,PDT,Limba română
Cânepiștile,cânepiște,3,46.3913224962852,23.6844793654588,Alba,Altele,8144,,Cânepiștile,PDT,Limba română
Dealu Cânepiștilor,cânepiște,3,46.4910854380173,23.2794274851426,Alba,Deal,2583,,Dealu Cânepiștilor,Geomil 25000,Limba română
Valea Cânepiștilor,cânepiște,3,46.4252008470161,23.6694021725596,Alba,Vale,7067,,Valea Cânepiștilor,Geomil 25000,Limba română
Dealu Caprei,capră,3,46.1861602099605,23.9013038199655,Alba,Deal,14007,,Dealu Caprei,Geomil 25000,Limba română
Pârâu Caprei,capră,3,45.7808468248767,23.371138117283,Alba,Vale,12977,,Pârâu Caprei,Geomil 25000,Limba română
Pârâu Caprei,capră,3,46.2371959027811,23.4152555302065,Alba,Vale,14187,10669,Pârâu Caprei,Geomil 25000,Limba română
Petra Caprii,capră,3,46.2391798222516,23.4320068154771,Alba,Înălțime,10669,,Petra Caprii,Imperiul Habsburgic (1887),Limba română
Piatra Caprii,capră,3,46.1519425324321,23.2858383248198,Alba,Înălțime,9664,,Piatra Caprii,Geomil 25000,Limba română
Colții Caprii,capre negre,2,46.3439788165708,23.2822101830328,Alba,Înălțime,13696,,Colții Caprii,Imperiul Habsburgic (1887),Limba română
Valea Căprioara,căprioară,3,46.5398048174593,22.8162169389467,Alba,Vale,5911,,Valea Căprioara,Geomil 25000,Limba română
Carbunari,cărbunari,3,46.3686889846693,23.3598034851497,Alba,Altele,10509,,Carbunari,Transilvania (1869-1870),Limba română
Dealu Cărbunarilor,cărbunari,3,46.3979376503621,23.2664741213272,Alba,Deal,923,,Dealu Cărbunarilor,Geomil 25000,Limba română
Dealul Cărbunari,cărbunari,3,46.138318588377,23.9211228317988,Alba,Deal,4684,2557,Dealul Cărbunari,PDT,Limba română
Pârâu-Cărbunari,cărbunari,3,46.3545894787242,23.2067083681521,Alba,Localitate,922,,Pârâu-Cărbunari,Geomil 25000,Limba română
Valea Cărbunarilor,cărbunari,3,46.4020045588623,23.2665788438652,Alba,Vale,924,923,Valea Cărbunarilor,Geomil 25000,Limba română
Vârfu Cărbunari,cărbunari,3,46.4182642698174,23.2437371815939,Alba,Înălțime,926,,Vârfu Cărbunari,Geomil 25000,Limba română
Dealu Cărbunăria,cărbunărie,2,46.4050770295702,23.243210910892,Alba,Deal,925,,Dealu Cărbunăria,Geomil 25000,Limba română
Valea Cărbunării,cărbunărie,2,46.1523840336552,23.9202066162257,Alba,Vale,4683,2557,Valea Cărbunării,Geomil 25000,Limba română
Casa Domnească,casă boiereasca/domneasca,2,46.2899908437062,23.8472143939726,Alba,Altele,7356,,Casa Domnească,PDT,Limba română
Castelul Tetuchi,castel,2,45.9440249348918,23.7449165943342,Alba,Altele,5545,,Castelul Tetuchi,PDT,Limba română
La Castel,castel,2,46.2628819435479,23.6924444326405,Alba,Altele,14277,,La Castel,PDT,Limba română
Valea Castelului,castel,2,46.2679622423766,23.6857497339222,Alba,Vale,4391,14277,Valea Castelului,Geomil 25000,Limba română
Dealu Cățeilor,cățel,3,46.5494302575419,22.8195084104785,Alba,Deal,5909,,Dealu Cățeilor,Geomil 25000,Limba română
Cerbu,cerb,2,46.4432481062849,22.982483532854,Alba,Înălțime,1932,,Cerbu,Geomil 25000,Limba română
Cerbu,cerb,2,46.2467378136605,23.1049909150519,Alba,Localitate,5583,5581,Cerbu,Geomil 25000,Limba română
Dealu Cerbului,cerb,2,46.5120126164793,22.7441136747141,Alba,Deal,5616,,Dealu Cerbului,Geomil 25000,Limba română
Valea Cerbului,cerb,2,46.239697732468,23.1158574301787,Alba,Localitate,5581,,Valea Cerbului,Geomil 25000,Limba română
Valea Cerbului,cerb,2,46.506688369782,22.7477690734367,Alba,Vale,12552,5616,Valea Cerbului,PDT,Limba română
Cerchez,cerchez,3,46.0308134348342,23.2346063591189,Alba,Înălțime,9662,,Cerchez,Geomil 25000,Limba română
Vârfu Cherchezului,cerchez,3,46.07338515036,23.4152582822968,Alba,Înălțime,10671,,Vârfu Cherchezului,Geomil 25000,Limba română
Cetate,cetate,2,46.4006191538067,23.5860283458231,Alba,Înălțime,13838,,Cetate,Transilvania (1869-1870),Limba română
Cetatea de Baltă,cetate,2,46.2485573586587,24.1684343447591,Alba,Localitate,7352,,Cetatea de Baltă,Geomil 25000,Limba română
Cetatea Trascăului,cetate,2,46.4250719985626,23.5439815755374,Alba,Altele,1930,,Cetatea Trascăului,Geomil 25000,Limba română
Cetatie Teutiului,cetate,2,46.0800386135494,23.4453356203227,Alba,Altele,10521,,Cetatie Teutiului,Transilvania (1869-1870),Limba română
Cetatje,cetate,2,46.0209682849036,23.4512495570876,Alba,Altele,10454,,Cetatje,Transilvania (1869-1870),Limba română,Cetatea Ebernic,Geomil 25000,Limba română
Csetatije Balte,cetate,2,46.2401291954776,24.1585037188828,Alba,Altele,11879,,Csetatije Balte,Transilvania (1769-1773),Limba română
Dealu Cetatea,cetate,2,45.8269666204981,23.3643459181815,Alba,Deal,1139,,Dealu Cetatea,Geomil 25000,Limba română
