Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1
Szász-Ujfalu,szász,4,46.2744638487775,23.7210198243592,Alba,Localitate,10501,Szász-Ujfalu,Transilvania (1869-1870),Limba maghiară
Szasz Budak,szász,4,47.089699690906,24.5219057793753,Bistrita Nasaud,Localitate,14477,Szasz Budak,Transilvania (1769-1773),Limba română
Szasz Uj Öss,szász,4,46.939108726924,24.2722229727359,Bistrita Nasaud,Localitate,14481,Szasz Uj Öss,Transilvania (1769-1773),Limba maghiară
Szasz Ujfalu,szász,4,47.0214760793371,24.260647752462,Bistrita Nasaud,Localitate,14479,Szasz Ujfalu,Transilvania (1769-1773),Limba maghiară
Szász-Bréte,szász,4,47.1239702679596,24.2427083463103,Bistrita Nasaud,Localitate,10467,Szász-Bréte,Transilvania (1869-1870),Limba maghiară
Szász Fenes,szász,4,46.7458740204976,23.4834465650124,Cluj,Localitate,14489,Szász Fenes,Transilvania (1769-1773),Limba maghiară
Szász Lona,szász,4,46.742830416309,23.4313475956112,Cluj,Localitate,14490,Szász Lona,Transilvania (1769-1773),Limba maghiară
Szászváros,szász,4,45.838223018328,23.1979553942511,Hunedoara,Localitate,10522,Szászváros,Transilvania (1869-1870),Limba maghiară
Szász Csávás,szász,4,46.3425121774761,24.4417240742999,Mures,Localitate,14497,Szász Csávás,Transilvania (1769-1773),Limba maghiară
Szász Patak (Valea Sasului),szász,4,46.6308529862567,24.6629837662679,Mures,Vale,12814,Szász Patak (Valea Sasului),PDT,Limba română
Szász Sz Ivan,szász,4,46.2841389575947,24.5635683535,Mures,Localitate,14498,Szász Sz Ivan,Transilvania (1769-1773),Limba maghiară
Szász-Régen,szász,4,46.7801736283242,24.7003841749707,Mures,Localitate,10469,Szász-Régen,Transilvania (1869-1870),Limba maghiară
