Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3,Nume 4,Hartă 4,Limbă 4
Ruși,ruși,2,46.2132048839578,23.106388961134,Alba,Localitate,11823,Ruși,Geomil 25000,Limba română
Râtu Rusului,rus,3,46.5626724445239,21.8142138703184,Arad,Altele,11672,Râtu Rusului,Geomil 25000,Limba română
Duleele Rușilor,ruși,2,46.2316692166774,21.0269712874785,Arad,Altele,11686,Duleele Rușilor,Geomil 25000,Limba română
Cazacu,cazac,4,45.2560585035132,25.1167835769791,Arges,Altele,5056,Cazacu,PDT,Limba română
Poiana Rusului,rus,3,45.377142456478,24.8146150071797,Arges,Poiană,4992,Poiana Rusului,Geomil 25000,Limba română
Groapa Cazacului,cazac,4,46.404318629851,26.90041452316,Bacau,Înălțime,7818,Groapa Cazacului,Geomil 25000,Limba română
Pârâul Cazacului,cazac,4,46.1544344038134,26.8470216440938,Bacau,Vale,5333,Pârâul Cazacului,PDT,Limba română
Piscu Cazacului,cazac,4,46.7482856512213,26.6939808224265,Bacau,Înălțime,15555,Piscu Cazacului,PDT,Limba română
Dealul Rusului,rus,3,46.375219356183,26.448501304962,Bacau,Deal,4558,Dealul Rusului,Geomil 25000,Limba română,Dealul Rusului,PDT,Limba română
Dealul Rusului,rus,3,46.3919628380724,26.9294748622396,Bacau,Deal,7820,Dealul Rusului,Geomil 25000,Limba română
Valea Rusului,rus,3,46.1351850545307,26.7248852687386,Bacau,Vale,5301,Valea Rusului,PDT,Limba română
Pădurea Rusă,rusă,3,46.2523572894065,27.4279710409388,Bacau,Pădure,11541,Pădurea Rusă,Geomil 25000,Limba română
Fundul Rușilor,ruși,2,46.4418420562972,26.6725546636301,Bacau,Altele,11642,Fundul Rușilor,Geomil 25000,Limba română
La Ruși,ruși,2,46.2502306324473,26.723310037053,Bacau,Altele,4576,La Ruși,PDT,Limba română
La Ruși,ruși,2,46.2479051539319,26.7322533854137,Bacau,Altele,5314,La Ruși,Geomil 25000,Limba română
Poiana Rușilor,ruși,2,46.4585902759297,26.1620571225997,Bacau,Poiană,6556,Poiana Rușilor,PDT,Limba română
Ruși,ruși,2,46.5213468157572,26.9566899528118,Bacau,Localitate,9518,Ruși,Moldova (1892-1898),Limba română,Ruși-Ciutea,Geomil 25000,Limba română
Șesul Rușilor,ruși,2,46.7140688387307,27.0875902252907,Bacau,Câmp,1614,Șesul Rușilor,Geomil 25000,Limba română
Dâmbu Rusului,rus,3,46.5376218102268,22.5361635220906,Bihor,Înălțime,7004,Dâmbu Rusului,Geomil 25000,Limba română
Culmea Rusului,rus,3,47.3075683495334,24.9812063940461,Bistrita Nasaud,Înălțime,9880,Culmea Rusului,Geomil 25000,Limba română
Dealul Rusului,rus,3,47.2216267604291,24.8530009725093,Bistrita Nasaud,Deal,9888,Dealul Rusului,Geomil 25000,Limba română
Rusu de Sus,rus,3,47.1217806655047,24.179892203201,Bistrita Nasaud,Localitate,10468,Rusu de Sus,Geomil 25000,Limba română
Rusul Bârgăului,rus,3,47.1967690173014,24.6378996393263,Bistrita Nasaud,Localitate,9908,Rusul Bârgăului,PDT,Limba română
Valea Rusului,rus,3,47.1749742504847,24.5008023995112,Bistrita Nasaud,Vale,4513,Valea Rusului,Geomil 25000,Limba română
Valea Rusului,rus,3,47.3234365446867,24.5449430054026,Bistrita Nasaud,Vale,9869,Valea Rusului,PDT,Limba română
Cazacu,cazac,4,47.9509955282556,26.2025771484362,Botosani,Vale,14088,Cazacu,Geomil 25000,Limba română
Movila Cazacului,cazac,4,47.8828488010355,26.4900989273049,Botosani,Înălțime,9583,Movila Cazacului,Moldova (1892-1898),Limba română
Valea Fântâna Cazacului,cazac,4,47.7690527850219,26.6988795391132,Botosani,Vale,3562,Valea Fântâna Cazacului,PDT,Limba română
Valea Căzăciței,căzăciță,4,48.1433135548387,26.4063847811119,Botosani,Vale,13588,Valea Căzăciței,PDT,Limba română
Dealul la Iazul Muscalului,muscal,3,47.9558181621886,26.4891544314749,Botosani,Deal,9580,Dealul la Iazul Muscalului,Moldova (1892-1898),Limba română
Pârâul Poarta Muscalului,muscal,3,47.9329679148617,26.2924996010689,Botosani,Vale,4908,Pârâul Poarta Muscalului,PDT,Limba română
Valea Muscalului,muscal,3,47.5642106089229,26.6746231108419,Botosani,Vale,1751,Valea Muscalului,Geomil 25000,Limba română
Movila Rusului,rus,3,47.7981109142389,27.1578690654596,Botosani,Înălțime,2427,Movila Rusului,Geomil 25000,Limba română,Movila Rusului,PDT,Limba română
Obcina la Rus,rus,3,48.0249572687094,26.2384215748923,Botosani,Înălțime,2318,Obcina la Rus,Geomil 25000,Limba română
Poiana Rusului,rus,3,47.516799316128,26.6848651184773,Botosani,Poiană,9589,Poiana Rusului,Moldova (1892-1898),Limba română
Valea Rusului,rus,3,47.9661607545208,26.2497407049484,Botosani,Vale,4905,Valea Rusului,PDT,Limba română
Cotu Rușilor,ruși,2,47.6006820177056,26.8570806470357,Botosani,Localitate,13933,Cotu Rușilor,Moldova (1892-1898),Limba română
Ruși,ruși,2,47.9355980858407,26.2951463703272,Botosani,Localitate,4907,Ruși,PDT,Limba română
Rușii,ruși,2,47.5010724128065,26.6241271072039,Botosani,Localitate,7788,Rușii,PDT,Limba română
Movila Muscalului,muscal,3,44.8938812997257,27.8548894478946,Braila,Înălțime,3472,Movila Muscalului,PDT,Limba română
Podul Rușilor,ruși,2,45.3821412725462,27.8528521575589,Braila,Altele,12619,Podul Rușilor,British Maps (1944),Limba română
Massa muscalului,muscal,3,45.640885700946,25.7663841709593,Brasov,Înălțime,10475,Massa muscalului,Transilvania (1869-1870),Limba română
Râpa Muscalului,muscal,3,45.1204568506318,26.4966506975628,Buzau,Înălțime,7502,Râpa Muscalului,PDT,Limba română
Movila Cazacului,cazac,4,44.2718399769809,27.1260241364601,Calarasi,Înălțime,3241,Movila Cazacului,PDT,Limba română
Privalul Cazacilor,cazaci,3,44.0923203657508,26.5915594213375,Calarasi,Apă-deal-câmpie,10619,Privalul Cazacilor,PDT,Limba română
Drumul Muscalului,muscal,3,44.1627667235783,27.2742104213885,Calarasi,Drum,3224,Drumul Muscalului,PDT,Limba română
Drumul Muscalului,muscal,3,44.1621241921402,27.2717197889319,Calarasi,Drum,3225,Drumul Muscalului,PDT,Limba română
Grindul Rusului,rus,3,44.2595874855861,27.657391267182,Calarasi,Apă-deal-câmpie,3210,Grindul Rusului,PDT,Limba română
Valea Rusului,rus,3,44.3845175079383,27.0093610640232,Calarasi,Vale,3435,Valea Rusului,Geomil 25000,Limba română
Tâlva Rusului,rus,3,44.9679093915023,22.0554747015597,Caras Severin,Înălțime,5718,Tâlva Rusului,Geomil 25000,Limba română
Vârful Rusului,rus,3,45.1070921276564,21.9557210617251,Caras Severin,Înălțime,12749,Vârful Rusului,PDT,Limba română
Dealu Rusului,rus,3,46.8195319362249,22.8535081843944,Cluj,Deal,5899,Dealu Rusului,Geomil 25000,Limba română
Piatra Rusului,rus,3,46.7498538284566,22.8391098298452,Cluj,Înălțime,12769,Piatra Rusului,Imperiul Habsburgic (1887),Limba română
Valea Cazacilor,cazaci,3,44.1260361521287,27.5204589198117,Constanta,Vale,9282,Valea Cazacilor,PDT,Limba română
La Plopu Cazacului,cazac,4,44.7966240804833,25.7205672510562,Dambovita,Altele,3705,La Plopu Cazacului,PDT,Limba română
Cazaci,cazaci,3,44.7998605170151,25.5507616622918,Dambovita,Localitate,3706,Cazaci,PDT,Limba română,Cazaci,Geomil 25000,Limba română
