Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3,Nume 4,Hartă 4,Limbă 4
Movila Muscalului,muscal,3,44.885203830035,26.4810872940644,Prahova,Înălțime,55,Movila Muscalului,Geomil 25000,Limba română,Movila Muskâleasckâ,Austriacă,Limba română,Movila Muscalului,PDT,Limba română,лур. Мускал (mov. Muscal),Sovietică,Limba română
Movila Muscalu,muscal,3,45.7343325404494,27.1556281155485,Vrancea,Înălțime,765,Movila Muscalu,Geomil 25000,Limba română,Movila Muscalu,PDT,Limba română
Valea Muscalului,muscal,3,47.5642106089229,26.6746231108419,Botosani,Vale,1751,Valea Muscalului,Geomil 25000,Limba română
Valea Muscalului,muscal,3,44.6477514084354,26.8800850930082,Ialomita,Vale,3177,Valea Muscalului,Geomil 25000,Limba română
Drumul Muscalului,muscal,3,44.1627667235783,27.2742104213885,Calarasi,Drum,3224,Drumul Muscalului,PDT,Limba română
Drumul Muscalului,muscal,3,44.1621241921402,27.2717197889319,Calarasi,Drum,3225,Drumul Muscalului,PDT,Limba română
Movila Muscalului,muscal,3,44.8938812997257,27.8548894478946,Braila,Înălțime,3472,Movila Muscalului,PDT,Limba română
Valea Muscalului,muscal,3,44.2567777591017,25.5039390901702,Teleorman,Vale,3722,Valea Muscalului,Geomil 25000,Limba română,Valea Muscalului,PDT,Limba română
Grindul de la Drumul Muscalului,muscal,3,43.8672806263411,23.2446478247609,Dolj,Înălțime,3806,Grindul de la Drumul Muscalului,PDT,Limba română
Pârâul Poarta Muscalului,muscal,3,47.9329679148617,26.2924996010689,Botosani,Vale,4908,Pârâul Poarta Muscalului,PDT,Limba română
Râpa Muscalului,muscal,3,45.1204568506318,26.4966506975628,Buzau,Înălțime,7502,Râpa Muscalului,PDT,Limba română
Dealul fost Bordeele Muscalilor,muscal,3,44.4119970688316,22.9675629764141,Mehedinti,Deal,8387,Dealul fost Bordeele Muscalilor,PDT,Limba română
Lacul Muscalului,muscal,3,44.7651334526797,26.1783656904725,Prahova,Lac,8787,Lacul Muscalului,PDT,Limba română
Drumu Muscalilor,muscal,3,44.9749353967561,25.5715072212561,Dambovita,Drum,8807,Drumu Muscalilor,PDT,Limba română
Dealul la Iazul Muscalului,muscal,3,47.9558181621886,26.4891544314749,Botosani,Deal,9580,Dealul la Iazul Muscalului,Moldova (1892-1898),Limba română
Coasta Muscalului,muscal,3,47.4659473061885,27.2658549636498,Iasi,Înălțime,9742,Coasta Muscalului,Moldova (1892-1898),Limba română
Poiana Muscalului,muscal,3,44.8242996424239,25.4219539252761,Dambovita,Poiană,10129,Poiana Muscalului,PDT,Limba română
Massa muscalului,muscal,3,45.640885700946,25.7663841709593,Brasov,Înălțime,10475,Massa muscalului,Transilvania (1869-1870),Limba română
Drumul Muscalului,muscal,3,43.8456231715717,24.978752620515,Teleorman,Drum,12433,Drumul Muscalului,PDT,Limba română
Piciorul Muscalului,muscal,3,47.3926874971309,25.9070482937188,Suceava,Înălțime,13033,Piciorul Muscalului,Geomil 25000,Limba română
Valea Ogașul Muscalilor,muscal,3,44.4692270337751,23.3800102406269,Dolj,Vale,14189,Valea Ogașul Muscalilor,PDT,Limba română
