Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Sîrbu,sârb,3,46.3577589862796,23.6232608456273,Alba,Înălțime,10503,Sîrbu,Transilvania (1869-1870),Limba română
Valea Sârbilor,sârbi,2,45.9970799441799,23.6372063471731,Alba,Vale,1148,Valea Sârbilor,Geomil 25000,Limba română
Dealu Sârbului,sârb,3,46.0411034373964,22.3343668095298,Arad,Deal,948,Dealu Sârbului,Geomil 25000,Limba română
Dealul Sârbului,sârb,3,45.9625114598959,21.7287538253002,Arad,Deal,10211,Dealul Sârbului,Geomil 25000,Limba română
Dialu Sîrbului,sârb,3,46.0197834276095,22.2053213990803,Arad,Deal,10313,Dialu Sîrbului,Ungară 1869,Limba română
Gruețu Sârbului,sârb,3,46.4742412171753,22.1315290032379,Arad,Altele,7662,Gruețu Sârbului,Geomil 25000,Limba română,Gruețul Sârbului,PDT,Limba română
Sârbi,sârbi,2,46.2880324153589,22.6404051252675,Arad,Localitate,6256,Sârbi,Geomil 25000,Limba română
Valea Sârbilor,sârbi,2,46.1229197082542,22.1854598571819,Arad,Vale,966,Valea Sârbilor,Geomil 25000,Limba română
Dealul Sârbului,sârb,3,44.8573703369357,25.1800767942335,Arges,Deal,10139,Dealul Sârbului,PDT,Limba română
Piscul Gruia Sârbului,sârb,3,45.224673562678,24.708984936919,Arges,Înălțime,4063,Piscul Gruia Sârbului,PDT,Limba română
Dealul Sârbilor,sârbi,2,45.1329145807405,24.8170784059349,Arges,Deal,6900,Dealul Sârbilor,Geomil 25000,Limba română
Puțu din Poiana Sârbilor,sârbi,2,45.1568467478997,24.9868202268016,Arges,Altele,11121,Puțu din Poiana Sârbilor,PDT,Limba română
Pădurea Sârbului,sârb,3,46.51189158744,27.2393702835802,Bacau,Pădure,7865,Pădurea Sârbului,Geomil 25000,Limba română
