Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1
Sârbeni,sârbeni,3,46.9546280007052,25.3852698438193,Harghita,Localitate,7965,,Sârbeni,PDT,Limba română
Bâtca Sârbeni,sârbeni,3,46.9879938217926,25.9625376613159,Neamt,Înălțime,6472,,Bâtca Sârbeni,Geomil 25000,Limba română
Poiana Sârbenilor,sârbeni,3,46.9895185434771,25.9687997580522,Neamt,Poiană,6470,6472,Poiana Sârbenilor,PDT,Limba română
Sârbeni,sârbeni,3,44.3702706847826,24.3051806437619,Olt,Altele,10692,,Sârbeni,Geomil 25000,Limba română
Pădurea Sârbeni,sârbeni,3,44.4982362246501,25.3769297697056,Teleorman,Pădure,3387,,Pădurea Sârbeni,PDT,Limba română
Sârbeni,sârbeni,3,44.473741335623,25.384945069166,Teleorman,Localitate,3384,3387,Sârbeni,Geomil 25000,Limba română
Sârbeni,sârbeni,3,44.4558349424009,25.3912877454473,Teleorman,Înălțime,3386,3384,Sârbeni,Geomil 25000,Limba română
Sârbeni de Jos,sârbeni,3,44.4631886882118,25.4050948199404,Teleorman,Localitate,3385,3384,Sârbeni de Jos,Geomil 25000,Limba română
Pârâu Sârbeni,sârbeni,3,45.873817758,22.1298231049222,Timis,Vale,12835,,Pârâu Sârbeni,Geomil 25000,Limba română
Dealul Sârbeni,sârbeni,3,44.6606453757719,24.0584984196173,Valcea,Deal,2955,2954,Dealul Sârbeni,Geomil 25000,Limba română
