Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3
Tătăroaia,tătăroaie,3,46.1954860104003,23.968959295971,Alba,Altele,1921,,Tătăroaia,Geomil 25000,Limba română
Cioaca Tătarului,tătar,3,45.9870371149583,21.9480767976896,Arad,Înălțime,4296,,Cioaca Tătarului,Geomil 25000,Limba română
Dealu Tătarului,tătar,3,46.1578904854606,22.3378314106,Arad,Deal,10220,,Dealu Tătarului,Geomil 25000,Limba română
Tatár halom (Dâmbul Tătarului),tătar,3,46.4081756409071,21.2947570338271,Arad,Înălțime,10958,,Tatár halom (Dâmbul Tătarului),Imperiul Habsburgic (1887),Limba maghiară
Valea Tătarului,tătar,3,46.1554652578526,22.3384225661209,Arad,Vale,10221,10220,Valea Tătarului,Geomil 25000,Limba română
Poiana Tătarului,tătar,3,44.6049101209914,24.7834962366685,Arges,Poiană,10997,,Poiana Tătarului,PDT,Limba română
Poiana Tătarului,tătar,3,46.5206087997089,26.8021567443864,Bacau,Poiană,13286,,Poiana Tătarului,Moldova (1892-1898),Limba română
Tătărăști,tătărăști,3,46.2191799540076,27.2015903370807,Bacau,Localitate,7845,,Tătărăști,Geomil 25000,Limba română
Tătărasca,tătărasca,3,46.5480577680268,22.4372786055856,Bihor,Lac,12044,,Tătărasca,PDT,Limba română
Tătăroaia,tătăroaie,3,46.5630583423197,22.6182398546818,Bihor,Înălțime,1003,,Tătăroaia,Geomil 25000,Limba română
Valea Tătarului,tătar,3,47.4071412025062,24.6270518644344,Bistrita Nasaud,Vale,4521,,Valea Tătarului,Geomil 25000,Limba română
Tătarca,tătarcă,4,47.1584956808968,24.8042409440114,Bistrita Nasaud,Înălțime,10642,,Tătarca,Geomil 25000,Limba română
Dealul Tătarcei,tătarcă,4,47.9309187527539,26.4545691297512,Botosani,Deal,2312,,Dealul Tătarcei,Geomil 25000,Limba română
Lacul Tătaru,tătar,3,44.8120268074296,27.4318251335918,Braila,Lac,4017,3600,Lacul Tătaru,PDT,Limba română
Movila Siliștea Tătarului,tătar,3,45.3178138346217,27.8724799391736,Braila,Înălțime,3495,3494,Movila Siliștea Tătarului,PDT,Limba română
Movila Tătarului,tătar,3,45.3196549178266,27.864659472491,Braila,Înălțime,3494,,Movila Tătarului,PDT,Limba română
Pădurea Tătaru,tătar,3,44.8771673047093,27.4847533730546,Braila,Pădure,4018,3600,Pădurea Tătaru,Geomil 25000,Limba română
Tătaru,tătar,3,44.8500723238494,27.4298382521666,Braila,Localitate,3600,,Tătaru,Geomil 25000,Limba română,Tătaru,PDT,Limba română,Tataru,Austriacă,Limba română
Pârâul Tătarului,tătar,3,45.5317240917672,26.0663102755541,Brasov,Vale,6046,6045,Pârâul Tătarului,Geomil 25000,Limba română
Poarta Tătarilor,tătari,2,45.818048215912,25.3052937655788,Brasov,Altele,6813,,Poarta Tătarilor,PDT,Limba română
Dealul Tătarului,tătar,3,45.4785171653262,26.7816229159849,Buzau,Deal,5236,,Dealul Tătarului,Geomil 25000,Limba română
Tătarul Mare,tătar,3,45.4856165123646,26.0651194879278,Buzau,Înălțime,6045,,Tătarul Mare,Geomil 25000,Limba română
Valea Tătarului,tătar,3,45.3171704253207,26.7378957113826,Buzau,Vale,13295,,Valea Tătarului,Geomil 25000,Limba română
Muntele Tătăruțu,tătăruț,3,45.5111110096711,26.0790284546045,Buzau,Înălțime,6044,6045,Muntele Tătăruțu,Geomil 25000,Limba română
Lacu Tătarului,tătar,3,44.3428252319946,26.3524045318952,Calarasi,Lac,5989,,Lacu Tătarului,Geomil 25000,Limba română
Lacul Tătaru,tătar,3,44.1709540612963,26.9257929880774,Calarasi,Lac,3259,,Lacul Tătaru,PDT,Limba română
Lacul Tătăruțul,tătăruț,3,44.1684098526484,27.0089773902124,Calarasi,Lac,3255,,Lacul Tătăruțul,PDT,Limba română
Culmea Tătarului,tătar,3,45.4709916526297,22.3329511491736,Caras Severin,Înălțime,855,,Culmea Tătarului,Geomil 25000,Limba română
