Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Fordulău Unguresc,unguresc,3,47.5329260655571,22.3474616936618,Satu Mare,Altele,5980,Fordulău Unguresc,Geomil 25000,Limba română
Valea Tăul Unguresc,unguresc,3,46.5791787375645,24.3434646996165,Mures,Vale,6769,Valea Tăul Unguresc,Geomil 25000,Limba română
Harhamul Unguresc,unguresc,3,45.9124868669795,25.3674198995683,Brasov,Înălțime,6802,Harhamul Unguresc,PDT,Limba română
Pârâul Unguresc,unguresc,3,46.4305725123551,22.0934476054893,Arad,Vale,7659,Pârâul Unguresc,PDT,Limba română
Cehalul Unguresc,unguresc,3,47.4246922938133,22.5639944203011,Satu Mare,Localitate,8209,Cehalul Unguresc,PDT,Limba română
Dealul Unguresc,unguresc,3,47.1674203290413,23.6165054249022,Cluj,Deal,8950,Dealul Unguresc,PDT,Limba română
Vâlcăul-Unguresc,unguresc,3,46.7789217844347,23.0285269954327,Cluj,Localitate,10430,Vâlcăul-Unguresc,PDT,Limba română,Magyarvalkó,Transilvania (1869-1870),Limba maghiară
Jzlazu Unguresc,unguresc,3,45.7302481342333,21.3390589279018,Timis,Altele,10538,Jzlazu Unguresc,Imperiul Habsburgic (1887),Limba română
Petridul Unguresc,unguresc,3,46.5797057883125,23.6533600637385,Cluj,Localitate,10541,Petridul Unguresc,Imperiul Habsburgic (1887),Limba română
Lăpuşu unguresc,unguresc,3,47.4507014685274,23.8720688661842,Maramures,Localitate,10790,Lăpuşu unguresc,Imperiul Habsburgic (1887),Limba română
Dealul Unguresc,unguresc,3,46.0477785094885,25.421489930198,Brasov,Deal,10833,Dealul Unguresc,Geomil 25000,Limba română
Dealul Unguresc,unguresc,3,47.0770335824577,26.5880736723579,Neamt,Deal,11395,Dealul Unguresc,Geomil 25000,Limba română
