Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3,Nume 4,Hartă 4,Limbă 4
Chicra Cucului,cuc,2,46.5076192937127,22.7894233201696,Alba,Înălțime,12553,Chicra Cucului,PDT,Limba română
Ograda Cucului,cuc,2,46.5355694034792,21.8141300003638,Arad,Altele,11673,Ograda Cucului,Geomil 25000,Limba română
Dealul Cucilor,cuc,2,45.0891965366412,25.1676551536344,Arges,Deal,10165,Dealul Cucilor,Geomil 25000,Limba română
Pădurea Cucului,cuc,2,46.2138699699406,27.3397485308772,Bacau,Pădure,1717,Pădurea Cucului,Geomil 25000,Limba română
Plaiul Cucului,cuc,2,46.8158883581314,26.3239680236316,Bacau,Înălțime,4609,Plaiul Cucului,Geomil 25000,Limba română
Poiana Cucului,cuc,2,46.2808871388207,26.509813134049,Bacau,Poiană,4564,Poiana Cucului,PDT,Limba română
Stânca Cucului,cuc,2,46.312686324287,26.535778598271,Bacau,Înălțime,5321,Stânca Cucului,PDT,Limba română
Valea Cucului,cuc,2,46.7539445230666,27.1917967141726,Bacau,Vale,7807,Valea Cucului,Geomil 25000,Limba română
Dealu Cucului,cuc,2,47.0440575195103,22.5011904982714,Bihor,Deal,1073,Dealu Cucului,Geomil 25000,Limba română
Lapu Cucului,cuc,2,47.1722732205455,22.2050921617823,Bihor,Altele,11509,Lapu Cucului,Geomil 25000,Limba română
Valea Cucului,cuc,2,47.3460695637825,22.5658455928459,Bihor,Vale,5945,Valea Cucului,Geomil 25000,Limba română
Valea Cucului,cuc,2,46.821020121687,22.0301723172789,Bihor,Vale,14212,Valea Cucului,PDT,Limba română
Cucoaia,cucoaie,3,47.3949294587916,22.5113803357369,Bihor,Înălțime,6951,Cucoaia,Geomil 25000,Limba română
Dealul Cucilor,cuc,2,46.9710536582173,24.476793235396,Bistrita Nasaud,Deal,5480,Dealul Cucilor,Geomil 25000,Limba română
Dealul Cucului,cuc,2,47.3104629534656,24.4342282557488,Bistrita Nasaud,Deal,4497,Dealul Cucului,Geomil 25000,Limba română,Dealul Cucului,PDT,Limba română
Muntele Cucului,cuc,2,47.4705652700687,24.6825871947509,Bistrita Nasaud,Înălțime,13137,Muntele Cucului,Geomil 25000,Limba română
Poienița Cucului,cuc,2,47.3507696971974,24.1910320957895,Bistrita Nasaud,Poiană,1014,Poienița Cucului,Geomil 25000,Limba română
Valea Cucilor,cuc,2,47.3497139959074,24.6384694286805,Bistrita Nasaud,Vale,9867,Valea Cucilor,PDT,Limba română
La Casa Cucului,cuc,2,47.7152299358528,27.1035690272783,Botosani,Altele,2384,La Casa Cucului,Geomil 25000,Limba română
Poiana Cucului,cuc,2,48.1977189156627,26.519526116256,Botosani,Poiană,4884,Poiana Cucului,PDT,Limba română
Movilele Cucului,cuc,2,44.1985408145631,27.0027986161718,Calarasi,Înălțime,8464,Movilele Cucului,PDT,Limba română
Dealul Cucului,cuc,2,45.3504672919572,21.7353565693214,Caras Severin,Deal,6197,Dealul Cucului,PDT,Limba română
Dealul Cucului,cuc,2,44.9514674618649,22.0842906765507,Caras Severin,Deal,9436,Dealul Cucului,PDT,Limba română
Obârșia Cucului,cuc,2,45.4189620150761,21.8202526320138,Caras Severin,Altele,6196,Obârșia Cucului,PDT,Limba română
Tâlva Cucului,cuc,2,45.4369063004191,21.7422517483737,Caras Severin,Înălțime,5690,Tâlva Cucului,Geomil 25000,Limba română
Dealul Cucului,cuc,2,47.0255354395354,23.5553519718734,Cluj,Deal,10397,Dealul Cucului,PDT,Limba română
Dealul Cucului,cuc,2,46.621491083552,23.2939108926141,Cluj,Deal,10435,Dealul Cucului,Transilvania (1869-1870),Limba română
Dealu Cucului,cuc,2,43.7807958919619,28.1957929029303,Constanta,Deal,2856,Dealu Cucului,Geomil 25000,Limba română
Poiana Cucului,cuc,2,45.733839418687,25.9667286360449,Covasna,Poiană,13848,Poiana Cucului,Geomil 25000,Limba română
Valea Cucilor,cuc,2,45.1071061090896,25.3970675033033,Dambovita,Vale,8374,Valea Cucilor,PDT,Limba română
Valea Cucului,cuc,2,44.8294239899113,25.2165336987793,Dambovita,Vale,10142,Valea Cucului,PDT,Limba română
Dealul Cucului,cuc,2,43.9233670280943,24.0677302448719,Dolj,Deal,1275,Dealul Cucului,Geomil 25000,Limba română
Grindul Cucului,cuc,2,43.8335559180252,23.6293379611944,Dolj,Apă-deal-câmpie,3800,Grindul Cucului,PDT,Limba română
Plaiul Cucului,cuc,2,44.2488273455653,23.7501048687672,Dolj,Înălțime,7722,Plaiul Cucului,PDT,Limba română
