Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Ulmu Mierlei,mierlă,2,44.4363744487343,24.8209034278685,Arges,Altele,3394,Ulmu Mierlei,Geomil 25000,Limba română
Valea Mierlei,mierlă,2,45.321542403795,24.7658281175648,Arges,Vale,4976,Valea Mierlei,Geomil 25000,Limba română,Valea Mierlei,PDT,Limba română
Pârâul Mierlelor,mierlă,2,46.3073917076074,26.7717783270104,Bacau,Vale,9180,Pârâul Mierlelor,Geomil 25000,Limba română
Piciorul Mierlelor,mierlă,2,46.4089600512413,26.2457459308175,Bacau,Înălțime,6554,Piciorul Mierlelor,PDT,Limba română
Diriu Mierlei,mierlă,2,46.6523586211152,21.9083257176343,Bihor,Altele,11671,Diriu Mierlei,Geomil 25000,Limba română
Piciorul Mierlei,mierlă,2,47.2740269920651,24.4604592234907,Bistrita Nasaud,Înălțime,7117,Piciorul Mierlei,Geomil 25000,Limba română
Lunca Mierlei,mierlă,2,47.6911171971992,26.4952786478053,Botosani,Apă-deal-câmpie,1834,Lunca Mierlei,Geomil 25000,Limba română
Valea Mierla,mierlă,2,45.4656613632532,21.9737528093672,Caras Severin,Vale,5693,Valea Mierla,Geomil 25000,Limba română
Dealu Mierlei,mierlă,2,44.952740838242,25.2075078199889,Dambovita,Deal,533,Dealu Mierlei,Geomil 25000,Limba română,Dealul Mierlei,PDT,Limba română
Valea Mierlei,mierlă,2,45.0582759884518,25.2143827817673,Dambovita,Vale,8368,Valea Mierlei,PDT,Limba română
Ciutura Mierlei,mierlă,2,44.4427786026007,23.6606402935427,Dolj,Apă-deal-câmpie,5170,Ciutura Mierlei,Geomil 25000,Limba română
Pădurea Mierlei,mierlă,2,44.423493416658,25.6023879088588,Giurgiu,Pădure,12446,Pădurea Mierlei,Geomil 25000,Limba română
Dealul Mierlei,mierlă,2,46.3575986060098,25.2679326467995,Harghita,Deal,4281,Dealul Mierlei,Geomil 25000,Limba română
Valea Mierlei,mierlă,2,44.477477934301,22.9354604185144,Mehedinti,Vale,429,Valea Mierlei,Geomil 25000,Limba română
Pârâul Mierlei,mierlă,2,46.6108114150238,24.9131677180264,Mures,Vale,12803,Pârâul Mierlei,PDT,Limba română
Valea Mierla,mierlă,2,44.4359338788883,23.917280898626,Olt,Vale,9333,Valea Mierla,PDT,Limba română
Valea Mierliței,mierlă,2,44.4621263338048,24.7020340607469,Olt,Vale,3402,Valea Mierliței,PDT,Limba română
Valea Mierlelor,mierlă,2,45.310868437471,25.6418903707136,Prahova,Vale,1566,Valea Mierlelor,Geomil 25000,Limba română,Valea Mierlelor,PDT,Limba română
Vârful Mierla,mierlă,2,45.2672007646395,26.1217855600836,Prahova,Înălțime,817,Vârful Mierla,Geomil 25000,Limba română
La Mierla,mierlă,2,46.9131273924893,23.043758516129,Salaj,Înălțime,7038,La Mierla,Geomil 25000,Limba română
Culmea Mierlei,mierlă,2,45.5005395662682,23.679492262386,Sibiu,Înălțime,11211,Culmea Mierlei,ANCPI,Limba română
Valea Mierlei,mierlă,2,45.7288172886633,23.618262545225,Sibiu,Vale,15117,Valea Mierlei,Munții noștri,Limba română
Poiana Mierlei,mierlă,2,47.4082175919934,26.542678394574,Suceava,Poiană,13465,Poiana Mierlei,Moldova (1892-1898),Limba română
Valea Mierlei,mierlă,2,44.1638972304095,25.3573678075202,Teleorman,Vale,9452,Valea Mierlei,Geomil 25000,Limba română,Valea Mierlei,PDT,Limba română
Crucea Mierlei,mierlă,2,45.0842944262149,24.4190493284497,Valcea,Altele,11379,Crucea Mierlei,ANCPI,Limba română
Crucea Mierlei,mierlă,2,45.1002310263679,24.4195383356866,Valcea,Altele,13584,Crucea Mierlei,Geomil 25000,Limba română
Valea Mierla,mierlă,2,45.1285704515565,24.2313434304183,Valcea,Vale,15800,Valea Mierla,PDT,Limba română
Movila Mierlei,mierlă,2,45.8077557495672,27.0871296079325,Vrancea,Înălțime,9232,Movila Mierlei,PDT,Limba română
