Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1
Muntele Pițigoiului,pițigoi,2,46.5897461989478,26.4627776076803,Bacau,Înălțime,4602,Muntele Pițigoiului,Geomil 25000,Limba română
La Pițigoi,pițigoi,2,45.1584793227862,26.5218015811141,Buzau,Altele,6029,La Pițigoi,Geomil 25000,Limba română
Pădurea Pițigoiu,pițigoi,2,43.8040721197217,24.7795116440158,Teleorman,Pădure,8010,Pădurea Pițigoiu,Geomil 25000,Limba română
Furca Pițigoiului,pițigoi,2,44.7761262200649,22.3550186696399,Mehedinti,Altele,8695,Furca Pițigoiului,PDT,Limba română
Dealul Pițigoiu,pițigoi,2,45.8012791396604,27.0365798332278,Vrancea,Deal,9532,Dealul Pițigoiu,Moldova (1892-1898),Limba română
Dealul Pițigoiului,pițigoi,2,45.2587886245265,26.3822288227001,Buzau,Deal,9650,Dealul Pițigoiului,Geomil 25000,Limba română
Culmea Pițigoi,pițigoi,2,47.1015910519057,22.2620454858761,Bihor,Înălțime,10378,Culmea Pițigoi,PDT,Limba română
Valea Pițigoiului,pițigoi,2,45.2241150251557,26.0714999889739,Prahova,Vale,12879,Valea Pițigoiului,Geomil 25000,Limba română
Vârful Pițigoiului,pițigoi,2,45.4690410852817,26.599998717045,Buzau,Înălțime,12987,Vârful Pițigoiului,Geomil 25000,Limba română
Pârâul Pițigoiul,pițigoi,2,46.8593119629056,26.0027647718221,Neamt,Vale,13655,Pârâul Pițigoiul,PDT,Limba română
