Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3
Dealu Mocanului,mocan,3,46.2831343862764,23.4079963845524,Alba,Deal,10668,,Dealu Mocanului,Geomil 25000,Limba română,Mokan B.,Transilvania (1769-1773),Limba română
Pădurea Mocanilor,mocani,2,46.1013738946185,24.0846980641016,Alba,Pădure,2554,,Pădurea Mocanilor,Geomil 25000,Limba română
Vadu Moților,moți,2,46.3969772795832,22.962025524635,Alba,Localitate,11527,,Vadu Moților,Geomil 25000,Limba română
Dealu Muntenilor,munteni,2,46.0761379046104,23.754221367744,Alba,Deal,2562,,Dealu Muntenilor,Geomil 25000,Limba română
Dealul Muntenilor,munteni,2,46.0721640192731,23.7497290346051,Alba,Deal,6749,,Dealul Muntenilor,PDT,Limba română
Dealu Olteanului,oltean,3,46.3454966437446,23.5350414951712,Alba,Deal,1927,1928,Dealu Olteanului,Geomil 25000,Limba română
Valea Olteanulu,oltean,3,46.3379551789879,23.5426005136766,Alba,Vale,1929,1928,Valea Olteanulu,Geomil 25000,Limba română
Valea Olteanului,oltean,3,46.2363062974133,23.1668500402581,Alba,Vale,5580,,Valea Olteanului,Geomil 25000,Limba română
D. Oltenilor,olteni,2,46.2618427401611,23.3183274284685,Alba,Deal,10510,,D. Oltenilor,Transilvania (1869-1870),Limba română
Olteni,olteni,2,46.3403370853242,23.5210391660749,Alba,Localitate,1928,,Olteni,Geomil 25000,Limba română
Dealul Secui,secui,2,46.3552850547914,23.9405325200777,Alba,Deal,13991,,Dealul Secui,PDT,Limba română
Piatra Secuiului,secui,2,46.44666558682,23.5874459433614,Alba,Înălțime,7063,,Piatra Secuiului,Geomil 25000,Limba română
Székely (Secui),székely,3,46.2505161935981,23.7938624188204,Alba,Înălțime,12242,,Székely (Secui),Imperiul Habsburgic (1887),Limba maghiară
Székely-Földvár,székely,3,46.4141942541841,23.8727331724093,Alba,Localitate,10506,,Székely-Földvár,Transilvania (1869-1870),Limba maghiară
Székely-Kocsárd,székely,3,46.4268317021297,23.9075076766838,Alba,Localitate,10505,,Székely-Kocsárd,Transilvania (1869-1870),Limba maghiară
Székelyhegy (Dealul Secuilor),székely,3,46.2265490959766,23.8788118327012,Alba,Deal,10487,,Székelyhegy (Dealul Secuilor),Transilvania (1869-1870),Limba maghiară
Valea Ardelenilor,ardeleni,2,46.0170480805194,21.2808333128852,Arad,Vale,7635,,Valea Ardelenilor,Geomil 25000,Limba română
Dealu Mocanului,mocan,3,46.5473502544883,22.0310063642449,Arad,Deal,11333,,Dealu Mocanului,Geomil 25000,Limba română
Dealu Moldoveni,moldoveni,2,46.2877515063536,21.7173864364561,Arad,Deal,960,,Dealu Moldoveni,Geomil 25000,Limba română
Dâmbu Moțului,moț,3,46.4871029812987,22.2714859901379,Arad,Înălțime,13925,,Dâmbu Moțului,Geomil 25000,Limba română
Dealul Moțului,moț,3,46.3382688693006,22.3744140238015,Arad,Deal,5607,,Dealul Moțului,PDT,Limba română
Dealul Moțului,moț,3,46.08152300373,22.3925094195056,Arad,Deal,10937,,Dealul Moțului,Geomil 25000,Limba română
Dealul Moțului,moț,3,46.4695514999965,22.2693406415937,Arad,Deal,13505,,Dealul Moțului,PDT,Limba română
Pârâu Moțului,moț,3,46.5461949457124,21.9731886579362,Arad,Vale,14255,,Pârâu Moțului,Geomil 25000,Limba română
Pârâul Moțului,moț,3,46.4169030686373,22.264966109036,Arad,Vale,4202,,Pârâul Moțului,PDT,Limba română
La Moți,moți,2,46.4846706709754,21.9454388840772,Arad,Altele,8039,,La Moți,PDT,Limba română
Pârâul Moților,moți,2,46.414046063667,22.3524049635651,Arad,Vale,4200,,Pârâul Moților,PDT,Limba română
Dosu Munteanului,muntean,3,46.0549926710728,21.8226377438961,Arad,Înălțime,6308,,Dosu Munteanului,Geomil 25000,Limba română
Fântâna Munteană,munteană,3,46.2906425911759,21.224324093282,Arad,Altele,11685,,Fântâna Munteană,Geomil 25000,Limba română
Plaiul Ardelencei,ardeleancă,3,45.2541099282367,24.6864830421796,Arges,Înălțime,4047,,Plaiul Ardelencei,PDT,Limba română
Moara Mocanului,mocan,3,44.7637962337306,25.1369441459551,Arges,Înălțime,1516,,Moara Mocanului,Geomil 25000,Limba română
Moara Mocanului,mocan,3,44.768430839728,25.141317355228,Arges,Localitate,1517,1516,Moara Mocanului,Geomil 25000,Limba română
Mocanul,mocan,3,45.5321283482951,24.7890079922293,Arges,Vale,10184,10183,Mocanul,Geomil 25000,Limba română
Piscul Mocanului,mocan,3,45.5345790137426,24.7902125813206,Arges,Înălțime,10183,,Piscul Mocanului,Geomil 25000,Limba română
Valea Mocanului,mocan,3,44.737722178111,24.7666344153035,Arges,Vale,1405,,Valea Mocanului,Geomil 25000,Limba română,Valea Mocanului,PDT,Limba română
Pădurea Mocanca,mocanca,3,44.7153079964568,24.9628541040737,Arges,Pădure,8311,,Pădurea Mocanca,PDT,Limba română
Dealu Mocanului,mocani,2,44.9023221589593,24.9788339189507,Arges,Deal,550,,Dealu Mocanului,Geomil 25000,Limba română
Râpa Mocanilor,mocani,2,45.0027004945357,24.7714868217703,Arges,Înălțime,9696,,Râpa Mocanilor,PDT,Limba română
Moldoveanu,moldovean,3,45.6004961993206,24.7353287854847,Arges,Înălțime,5013,,Moldoveanu,Geomil 25000,Limba română
Valea Moldoveanu,moldovean,3,45.0045104262212,24.6072243629283,Arges,Vale,3077,,Valea Moldoveanu,Geomil 25000,Limba română
Valea Moldoveanului,moldovean,3,45.2571322078084,25.009714328637,Arges,Vale,5062,,Valea Moldoveanului,Geomil 25000,Limba română
Valea Munteanca,munteancă,3,44.9968671729202,24.5686745236315,Arges,Vale,3076,,Valea Munteanca,Geomil 25000,Limba română
Poiana Muntenilor,munteni,2,44.8990065781585,24.7641840235457,Arges,Poiană,9700,,Poiana Muntenilor,PDT,Limba română
Dealu Olteanului,oltean,3,44.8653709894177,24.7798092469233,Arges,Deal,3066,,Dealu Olteanului,Geomil 25000,Limba română
Dealul Olteanului,oltean,3,45.2055469592686,24.6920861462369,Arges,Deal,4064,,Dealul Olteanului,PDT,Limba română
Dealul Olteanului,oltean,3,45.2331219289088,24.9929713095446,Arges,Deal,5060,5059,Dealul Olteanului,Geomil 25000,Limba română
Valea Olteanului,oltean,3,45.0239741236252,24.8039404278239,Arges,Vale,6896,,Valea Olteanului,Geomil 25000,Limba română
Dealu Olteanca,olteancă,3,44.9680677594204,24.9928178415394,Arges,Deal,6012,,Dealu Olteanca,Geomil 25000,Limba română
Dealul Oltenilor,olteni,2,45.0442149982328,24.66716583391,Arges,Deal,6905,,Dealul Oltenilor,Geomil 25000,Limba română
Drăganul Olteni,olteni,2,44.9415907989259,24.7163109660034,Arges,Localitate,9366,,Drăganul Olteni,PDT,Limba română
Olteni,olteni,2,44.6900276820499,24.7703084134492,Arges,Localitate,3405,,Olteni,PDT,Limba română
Olteni,olteni,2,44.5866243946351,24.937826357013,Arges,Localitate,8303,,Olteni,PDT,Limba română
Valea Oltenilor,olteni,2,45.1908620011386,24.9817275468129,Arges,Vale,561,,Valea Oltenilor,Geomil 25000,Limba română
Valea Oltenilor,olteni,2,45.2295379936245,24.9967674079472,Arges,Vale,5059,,Valea Oltenilor,PDT,Limba română
Dealul Țutueanu,țuțuian,4,45.0976447821575,25.1729362865826,Arges,Deal,11125,,Dealul Țutueanu,PDT,Limba română
Poiana Ungureanului,ungurean,3,45.2517408230778,24.6267814980525,Arges,Poiană,1431,,Poiana Ungureanului,Geomil 25000,Limba română
Albeștii Ungureni,ungureni,2,45.2256777910595,24.6711188373387,Arges,Localitate,1427,,Albeștii Ungureni,Geomil 25000,Limba română
Berevoești Ungureni,ungureni,2,45.2262228106328,24.9279302853946,Arges,Localitate,5064,,Berevoești Ungureni,PDT,Limba română
Căpățâneni Ungureni,ungureni,2,45.3385985466435,24.6374669221954,Arges,Localitate,4982,,Căpățâneni Ungureni,Geomil 25000,Limba română
Cepari-Ungureni,ungureni,2,45.2085168170166,24.5534197072788,Arges,Localitate,5824,,Cepari-Ungureni,Austriacă,Limba română
Ceparii Ungureni,ungureni,2,45.1926754251593,24.5395189400239,Arges,Localitate,1422,,Ceparii Ungureni,Geomil 25000,Limba română
Ciofrîngeni-ungureni,ungureni,2,45.1091715346464,24.5464179057062,Arges,Localitate,5825,,Ciofrîngeni-ungureni,Austriacă,Limba română
Oeștii Ungureni,ungureni,2,45.2536302642481,24.6483146177286,Arges,Localitate,1429,,Oeștii Ungureni,Geomil 25000,Limba română
Pădurea Ungureni,ungureni,2,44.9093704652526,24.5255139378417,Arges,Pădure,1999,,Pădurea Ungureni,Geomil 25000,Limba română
Plaiul Ungurenilor,ungureni,2,44.8265161377025,25.161735299667,Arges,Înălțime,14175,,Plaiul Ungurenilor,PDT,Limba română
Ungureni,ungureni,2,45.1875412271493,24.6967018304922,Arges,Localitate,1425,,Ungureni,Geomil 25000,Limba română,Ungureni,PDT,Limba română
Ungureni,ungureni,2,45.2555958796615,24.7716586752766,Arges,Localitate,4057,,Ungureni,PDT,Limba română,Ungureni,Geomil 25000,Limba română
Ungureni,ungureni,2,44.9660778391503,24.5439023340564,Arges,Localitate,9367,,Ungureni,PDT,Limba română
