Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1
Vadu Moților,moți,2,46.3969772795832,22.962025524635,Alba,Localitate,11527,Vadu Moților,Geomil 25000,Limba română
Dâmbu Moțului,moț,3,46.4871029812987,22.2714859901379,Arad,Înălțime,13925,Dâmbu Moțului,Geomil 25000,Limba română
Dealul Moțului,moț,3,46.3382688693006,22.3744140238015,Arad,Deal,5607,Dealul Moțului,PDT,Limba română
Dealul Moțului,moț,3,46.08152300373,22.3925094195056,Arad,Deal,10937,Dealul Moțului,Geomil 25000,Limba română
Dealul Moțului,moț,3,46.4695514999965,22.2693406415937,Arad,Deal,13505,Dealul Moțului,PDT,Limba română
Pârâu Moțului,moț,3,46.5461949457124,21.9731886579362,Arad,Vale,14255,Pârâu Moțului,Geomil 25000,Limba română
Pârâul Moțului,moț,3,46.4169030686373,22.264966109036,Arad,Vale,4202,Pârâul Moțului,PDT,Limba română
La Moți,moți,2,46.4846706709754,21.9454388840772,Arad,Altele,8039,La Moți,PDT,Limba română
Pârâul Moților,moți,2,46.414046063667,22.3524049635651,Arad,Vale,4200,Pârâul Moților,PDT,Limba română
Târnița Moțului,moț,3,46.6079946511312,22.591049977801,Bihor,Altele,9404,Târnița Moțului,PDT,Limba română
Valea Hoanca Moțului,moț,3,46.5061348085497,22.6601339524822,Bihor,Vale,7276,Valea Hoanca Moțului,Geomil 25000,Limba română
Vârfu Biserica Moțului,moț,3,46.5902777133115,22.7358639643752,Bihor,Înălțime,5618,Vârfu Biserica Moțului,Geomil 25000,Limba română
Câmp-Moți,moți,2,46.4629321057731,22.412638380792,Bihor,Localitate,10956,Câmp-Moți,Geomil 25000,Limba română
Pârâul Moților,moți,2,46.7969285778318,22.0207418055365,Bihor,Vale,8048,Pârâul Moților,PDT,Limba română
Râtul Moților,moți,2,46.6816991298119,22.0435847684938,Bihor,Altele,4119,Râtul Moților,PDT,Limba română
