Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1
Dâmbul Moțului,moț,3,46.4835803996491,23.0700403163228,Alba,Înălțime,15278,Dâmbul Moțului,ANCPI,Limba română
Dâmbu Moțului,moț,3,46.4871029812987,22.2714859901379,Arad,Înălțime,13925,Dâmbu Moțului,Geomil 25000,Limba română
Dealul Moțului,moț,3,46.3382688693006,22.3744140238015,Arad,Deal,5607,Dealul Moțului,PDT,Limba română
Dealul Moțului,moț,3,46.08152300373,22.3925094195056,Arad,Deal,10937,Dealul Moțului,Geomil 25000,Limba română
Dealul Moțului,moț,3,46.4695514999965,22.2693406415937,Arad,Deal,13505,Dealul Moțului,PDT,Limba română
Pârâu Moțului,moț,3,46.5461949457124,21.9731886579362,Arad,Vale,14255,Pârâu Moțului,Geomil 25000,Limba română
Pârâul Moțului,moț,3,46.4169030686373,22.264966109036,Arad,Vale,4202,Pârâul Moțului,PDT,Limba română
Târnița Moțului,moț,3,46.6079946511312,22.591049977801,Bihor,Altele,9404,Târnița Moțului,PDT,Limba română
Valea Hoanca Moțului,moț,3,46.5061348085497,22.6601339524822,Bihor,Vale,7276,Valea Hoanca Moțului,Geomil 25000,Limba română
Vârfu Biserica Moțului,moț,3,46.5902777133115,22.7358639643752,Bihor,Înălțime,5618,Vârfu Biserica Moțului,Geomil 25000,Limba română
