Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Dealul Secui,secui,2,46.3552850547914,23.9405325200777,Alba,Deal,13991,,Dealul Secui,PDT,Limba română
Piatra Secuiului,secui,2,46.44666558682,23.5874459433614,Alba,Înălțime,7063,,Piatra Secuiului,Geomil 25000,Limba română
Székely (Secui),székely,3,46.2505161935981,23.7938624188204,Alba,Înălțime,12242,,Székely (Secui),Imperiul Habsburgic (1887),Limba maghiară
Székely-Földvár,székely,3,46.4141942541841,23.8727331724093,Alba,Localitate,10506,,Székely-Földvár,Transilvania (1869-1870),Limba maghiară
Székely-Kocsárd,székely,3,46.4268317021297,23.9075076766838,Alba,Localitate,10505,,Székely-Kocsárd,Transilvania (1869-1870),Limba maghiară
Székelyhegy (Dealul Secuilor),székely,3,46.2265490959766,23.8788118327012,Alba,Deal,10487,,Székelyhegy (Dealul Secuilor),Transilvania (1869-1870),Limba maghiară
Grindul Săcuiului,săcui,3,46.3511616930661,26.6674875629466,Bacau,Înălțime,4585,,Grindul Săcuiului,Geomil 25000,Limba română
Secuieni,secui,2,46.6426284804446,27.1053610647582,Bacau,Localitate,1595,,Secuieni,Geomil 25000,Limba română,Secueni,PDT,Limba română
Sekui ot Walerea,secui,2,46.4117009973081,26.7447780614528,Bacau,Localitate,14600,,Sekui ot Walerea,Moldova (1788-1790),Limba română
Săcueni,săcueni,3,47.3516403451625,22.0940268995225,Bihor,Localitate,5948,,Săcueni,Geomil 25000,Limba română
Dealul Secuiului,secui,2,47.4486058899667,24.8164200795986,Bistrita Nasaud,Deal,9918,,Dealul Secuiului,Geomil 25000,Limba română
Dosul Secuiului,secui,2,47.446075394776,24.8228685065039,Bistrita Nasaud,Înălțime,9919,9918,Dosul Secuiului,Geomil 25000,Limba română
Dealul Secuiului,secui,2,45.6532979971582,26.0399051383448,Brasov,Deal,2767,,Dealul Secuiului,Geomil 25000,Limba română
Dealul Secuiului,secui,2,46.0873091491978,25.2049616764049,Brasov,Deal,7942,,Dealul Secuiului,Geomil 25000,Limba română
Poiana Secuilor,secui,2,45.525154132269,25.5460732880169,Brasov,Poiană,2788,,Poiana Secuilor,Geomil 25000,Limba română
Secuiu,secui,2,45.6213054853062,25.0532587984154,Brasov,Vale,15103,,Secuiu,Munții noștri,Limba română
Valea Secuilor,secui,2,45.9409368651992,25.1002395738276,Brasov,Vale,2685,,Valea Secuilor,Geomil 25000,Limba română
Vârful Secuiancu,secuian,3,45.6523895407928,25.3142463458609,Brasov,Înălțime,12670,,Vârful Secuiancu,Geomil 25000,Limba română
Székelyhegy (Dealul Secuilor),székely,3,45.8661266695734,25.1409815600648,Brasov,Deal,10572,,Székelyhegy (Dealul Secuilor),Imperiul Habsburgic (1887),Limba maghiară
Pârâul Săcuiului,săcui,3,45.5541969699406,26.3476306096609,Buzau,Vale,9655,15095,Pârâul Săcuiului,Geomil 25000,Limba română
