Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3
Poiana Ungureanului,ungurean,3,45.2517408230778,24.6267814980525,Arges,Poiană,1431,,Poiana Ungureanului,Geomil 25000,Limba română
Albeștii Ungureni,ungureni,2,45.2256777910595,24.6711188373387,Arges,Localitate,1427,,Albeștii Ungureni,Geomil 25000,Limba română
Berevoești Ungureni,ungureni,2,45.2262228106328,24.9279302853946,Arges,Localitate,5064,,Berevoești Ungureni,PDT,Limba română
Căpățâneni Ungureni,ungureni,2,45.3385985466435,24.6374669221954,Arges,Localitate,4982,,Căpățâneni Ungureni,Geomil 25000,Limba română
Cepari-Ungureni,ungureni,2,45.2085168170166,24.5534197072788,Arges,Localitate,5824,,Cepari-Ungureni,Austriacă,Limba română
Ceparii Ungureni,ungureni,2,45.1926754251593,24.5395189400239,Arges,Localitate,1422,,Ceparii Ungureni,Geomil 25000,Limba română
Ciofrîngeni-ungureni,ungureni,2,45.1091715346464,24.5464179057062,Arges,Localitate,5825,,Ciofrîngeni-ungureni,Austriacă,Limba română
Oeștii Ungureni,ungureni,2,45.2536302642481,24.6483146177286,Arges,Localitate,1429,,Oeștii Ungureni,Geomil 25000,Limba română
Pădurea Ungureni,ungureni,2,44.9093704652526,24.5255139378417,Arges,Pădure,1999,,Pădurea Ungureni,Geomil 25000,Limba română
Plaiul Ungurenilor,ungureni,2,44.8265161377025,25.161735299667,Arges,Înălțime,14175,,Plaiul Ungurenilor,PDT,Limba română
Ungureni,ungureni,2,45.1875412271493,24.6967018304922,Arges,Localitate,1425,,Ungureni,Geomil 25000,Limba română,Ungureni,PDT,Limba română
Ungureni,ungureni,2,45.2555958796615,24.7716586752766,Arges,Localitate,4057,,Ungureni,PDT,Limba română,Ungureni,Geomil 25000,Limba română
Ungureni,ungureni,2,44.9660778391503,24.5439023340564,Arges,Localitate,9367,,Ungureni,PDT,Limba română
Ungureni,ungureni,2,44.6113891217797,24.9364279996308,Arges,Vale,11191,,Ungureni,ANCPI,Limba română
Ungureni,ungureni,2,45.168331982684,24.5632552975548,Arges,Localitate,12024,,Ungureni,Oltenia-Muntenia (1790),Limba română
Ungurenii,ungureni,2,45.1843098902364,25.1181404925304,Arges,Localitate,11123,,Ungurenii,PDT,Limba română
Valea Ungureni,ungureni,2,44.8243243707343,25.1618151742581,Arges,Vale,14176,14175,Valea Ungureni,PDT,Limba română
Dealul Ungureanului,ungurean,3,46.4709670126389,27.3907647294788,Bacau,Deal,9512,,Dealul Ungureanului,PDT,Limba română
Ungureanu,ungurean,3,46.2114552935431,26.5351500021632,Bacau,Vale,690,689,Ungureanu,Geomil 25000,Limba română
Vârgul Ungureanu,ungurean,3,46.2233515236915,26.5381160909786,Bacau,Înălțime,689,,Vârful Ungurului,Geomil 25000,Limba română,Vârgul Ungureanu,PDT,Limba română
Dealul Ungurenilor,ungureni,2,46.5403265425771,27.1408263299534,Bacau,Deal,3907,3908,Dealul Ungurenilor,Geomil 25000,Limba română
Dealul Ungurenilor,ungureni,2,46.1890503023076,27.2244757037665,Bacau,Deal,3925,3923,Dealul Ungurenilor,Geomil 25000,Limba română
Lanul Ungurenilor,ungureni,2,46.1987369286356,27.2216855671277,Bacau,Altele,3924,3923,Lanul Ungurenilor,Geomil 25000,Limba română
Ungureni,ungureni,2,46.5231520267362,27.1093081928274,Bacau,Localitate,3908,,Ungureni,Geomil 25000,Limba română
Ungureni,ungureni,2,46.2048695427837,27.2129710324579,Bacau,Localitate,3923,,Ungureni,Geomil 25000,Limba română
Fântâna Ungureanului,ungurean,3,47.5007394242127,27.0267298621637,Botosani,Altele,8927,,Fântâna Ungureanului,PDT,Limba română
Podul lui Ungureanu,ungurean,3,47.945507614459,26.9360323019954,Botosani,Altele,6674,,Podul lui Ungureanu,PDT,Limba română
Poiana Ungureanului,ungurean,3,48.05893489933,26.2466462425517,Botosani,Poiană,4899,,Poiana Ungureanului,PDT,Limba română
Târla Ungureanului,ungurean,3,48.214670988974,26.4926272341928,Botosani,Altele,9576,,Târla Ungureanului,Moldova (1892-1898),Limba română
Valea Ungureanului,ungurean,3,47.6562682937179,27.0679935444418,Botosani,Vale,2381,,Valea Ungureanului,Geomil 25000,Limba română
Ungureni,ungureni,2,47.8698540674851,26.8266533948571,Botosani,Localitate,1823,,Ungureni,Geomil 25000,Limba română,Ungureni,PDT,Limba română
Dealul Ungureanului,ungurean,3,45.5033728582567,26.7152286152964,Buzau,Deal,12267,,Dealul Ungureanului,Geomil 25000,Limba română
Muchia Ungureanului,ungurean,3,45.3369410971023,26.4989282661766,Buzau,Înălțime,12990,,Muchia Ungureanului,Geomil 25000,Limba română
Ripye de Unguren,ungureni,2,45.2155130079272,26.6631449941854,Buzau,Localitate,12112,,Ripye de Unguren,Oltenia-Muntenia (1790),Limba română
Ungureni,ungureni,2,45.33978721078,26.5095319751955,Buzau,Localitate,8773,,Ungureni,PDT,Limba română
Ulmeni-Ungureni,ungureni,2,44.1490428321942,26.7407227193863,Calarasi,Localitate,10100,,Ulmeni-Ungureni,Austriacă,Limba română
Plaiu Ungureanului,ungurean,3,44.9729652746426,25.588825346609,Dambovita,Înălțime,1537,,Plaiu Ungureanului,Geomil 25000,Limba română,Măgura Ungureanului,PDT,Limba română
Puțul Ungureanului,ungurean,3,44.6625839452568,25.9224022117801,Dambovita,Altele,4244,,Puțul Ungureanului,PDT,Limba română
Valea Ungureanului,ungurean,3,44.8637069392609,25.2083426510859,Dambovita,Vale,10137,,Valea Ungureanului,PDT,Limba română
Pădurea Ungureanca,ungureancă,3,44.6507545777227,25.9063809489394,Dambovita,Pădure,4245,,Pădurea Ungureanca,Geomil 25000,Limba română
Dorf Ungareni (Satul Ungureni),ungureni,2,44.8844193268273,25.3680727467155,Dambovita,Localitate,12022,,Ungareni,Oltenia-Muntenia (1790),Limba română
Drăgăești-Ungureni,ungureni,2,44.9472184166872,25.3080158930139,Dambovita,Localitate,1529,,Drăgăești-Ungureni,Geomil 25000,Limba română
Unguren,ungureni,2,44.603542576263,25.7273302997365,Dambovita,Localitate,12011,,Unguren,Oltenia-Muntenia (1790),Limba română
Ungureni,ungureni,2,44.871890048506,25.3906609013329,Dambovita,Localitate,1527,,Ungureni,Geomil 25000,Limba română
Ungureni,ungureni,2,44.6774004221318,25.9132984795108,Dambovita,Localitate,4243,,Ungureni,Geomil 25000,Limba română
Ungureni,ungureni,2,44.7852465116414,25.89775952734,Dambovita,Localitate,5770,,Ungureni,Geomil 25000,Limba română,Ungureni,Austriacă,Limba română
Ungureni,ungureni,2,44.5751238083304,25.5087068929368,Dambovita,Localitate,8476,,Ungureni,Geomil 25000,Limba română,Ungureni,PDT,Limba română,Ungureni,Austriacă,Limba română
Cioaca Ungureanului,ungurean,3,44.5630644661741,23.5709284823583,Dolj,Înălțime,8286,,Cioaca Ungureanului,PDT,Limba română
Lacul Ungureanului,ungurean,3,44.1165096450108,23.7967476271837,Dolj,Lac,14372,,Lacul Ungureanului,PDT,Limba română
Puțul lui Ungureanu,ungurean,3,44.0277795254576,23.7069547857617,Dolj,Altele,4668,,Puțul lui Ungureanu,PDT,Limba română
Valea Ungureanului,ungurean,3,44.147640076078,23.9535631873814,Dolj,Vale,3015,,Valea Ungureanului,Geomil 25000,Limba română,Valea Ungureanului,PDT,Limba română
Valea Ungureanului,ungurean,3,44.3519259204217,23.6469406755784,Dolj,Vale,8050,,Valea Ungureanului,PDT,Limba română
Valea Ungureanului,ungurean,3,44.1236032479012,23.6711256457158,Dolj,Vale,14870,,Valea Ungureanului,PDT,Limba română
B. Ungurenilor,ungureni,2,44.3252040833864,23.8100197300457,Dolj,Altele,5106,,B. Ungurenilor,Austriacă,Limba română
Lipov Ungureni,ungureni,2,44.1075318956338,23.6249651623289,Dolj,Localitate,9860,,Lipov Ungureni,Austriacă,Limba română
Ungureni,ungureni,2,44.402257784576,23.935764899629,Dolj,Localitate,270,,Ungureni,Geomil 25000,Limba română
Ungurenii Mici,ungureni,2,44.4099277556707,23.8984210322706,Dolj,Înălțime,400,270,Ungurenii Mici,Geomil 25000,Limba română
Ungurenii Mici,ungureni,2,44.4147649608824,23.9156134791334,Dolj,Localitate,401,270,Ungurenii Mici,Geomil 25000,Limba română
Valea Ungureni,ungureni,2,44.397812785567,23.9637869561773,Dolj,Vale,271,,Valea Ungureni,Geomil 25000,Limba română
Valea Ungureni,ungureni,2,44.4105685071712,23.9222877448036,Dolj,Vale,399,270,Valea Ungureni,Geomil 25000,Limba română
Movila Ungureni,ungureni,2,45.9006223017089,27.504594925728,Galati,Înălțime,3944,738,Movila Ungureni,PDT,Limba română,Ungureni,Geomil 25000,Limba română
Ungureni,ungureni,2,45.9133639769497,27.4706911029021,Galati,Localitate,738,,Ungureni,Geomil 25000,Limba română
Dealu Ungurenilor,ungureni,2,44.9067655032775,23.2153139871711,Gorj,Deal,3115,14239,Dealu Ungurenilor,Geomil 25000,Limba română
Pădurea Ungureni,ungureni,2,45.0850383037555,23.5695473882803,Gorj,Pădure,8393,,Pădurea Ungureni,Geomil 25000,Limba română
Poiana Ungureni,ungureni,2,44.8657990135585,23.3144498389592,Gorj,Poiană,14241,,Poiana Ungureni,PDT,Limba română
Ungureni,ungureni,2,44.9870003341318,23.3584460209217,Gorj,Localitate,2915,,Ungureni,Geomil 25000,Limba română
Ungureni,ungureni,2,45.0415970878639,22.9460047960467,Gorj,Localitate,8064,,Ungureni,PDT,Limba română
Ungurenii,ungureni,2,44.8965254160992,23.2244374141043,Gorj,Localitate,14239,,Ungurenii,PDT,Limba română
Vâzulești ungureni,ungureni,2,44.7034922782186,23.0867983079658,Gorj,Localitate,5103,,Vâzulești ungureni,Austriacă,Limba română
Grădina lui Ungureanu,ungurean,3,46.985038525049,25.617746703251,Harghita,Altele,1885,,Grădina lui Ungureanu,Geomil 25000,Limba română
Pârâu Ungurean,ungurean,3,45.8818229964457,22.4332002432428,Hunedoara,Vale,6206,,Pârâu Ungurean,Geomil 25000,Limba română
Bitzina-ungureni,ungureni,2,44.6050199505397,26.4799617704509,Ialomita,Localitate,5754,,Bitzina-ungureni,Austriacă,Limba română,Bițina-Ungureni,Geomil 25000,Limba română
Ungureni,ungureni,2,44.5906747037839,26.4987317661372,Ialomita,Localitate,5753,,Ungureni,Austriacă,Limba română,Chiroiu-Ungureni,Geomil 25000,Limba română
Ungureni,ungureni,2,44.7343808134629,26.6506301923778,Ialomita,Localitate,6741,,Ungureni,Austriacă,Limba română
Fântâna Ungureanu,ungurean,3,47.0304541272761,27.5462816411568,Iasi,Altele,9858,,Fântâna Ungureanu,PDT,Limba română
Ungureni,ungureni,2,47.3977756655477,26.8384374992777,Iasi,Localitate,9740,,Ungureni,Moldova (1892-1898),Limba română
Ungureni,ungureni,2,44.6691321547241,26.3279728432639,Ilfov,Localitate,12124,,Ungureni,Oltenia-Muntenia (1790),Limba română
Pădurea Ungureanu,ungurean,3,47.9318838273,23.7321481929,Maramures,Pădure,4468,,Pădurea Ungureanu,Geomil 25000,Limba română
Ungureni,ungureni,2,47.5451858914316,23.9532564459188,Maramures,Localitate,12036,,Ungureni,Geomil 25000,Limba română,Ungureni,Imperiul Habsburgic (1887),Limba română
Valea Ungurenilor,ungureni,2,47.5360506092125,23.9624976315916,Maramures,Vale,12037,12036,Valea Ungurenilor,Geomil 25000,Limba română,Valea Ungurenilor,Imperiul Habsburgic (1887),Limba română
Dealu Ungureanului,ungurean,3,44.8803913001531,22.7675405428498,Mehedinti,Deal,3688,,Dealu Ungureanului,Geomil 25000,Limba română
