Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Argintăria,argintărie,4,46.1317481953957,26.7611542705969,Bacau,Vale,12942,,Argintăria,Geomil 25000,Limba română
Argintăria,argintărie,4,46.2683430727001,26.3427621848868,Bacau,Vale,14079,,Argintăria,Geomil 25000,Limba română
La Argintărie,argintărie,4,46.2477267593411,26.3654220031964,Bacau,Altele,15205,,La Argintărie,Munții noștri,Limba română
Pădurea Argintăriei,argintărie,4,46.5647855482536,26.308254858194,Bacau,Pădure,10941,,Pădurea Argintăriei,Geomil 25000,Limba română
Valea Argintăriei,argintărie,4,46.3844078355393,26.5638305889224,Bacau,Vale,7929,,Valea Argintăriei,PDT,Limba română
Pârâul Argintarilor,argintar,3,45.5854135489247,26.6866875370872,Buzau,Vale,8758,,Pârâul Argintarilor,PDT,Limba română
Argintăria,argintărie,4,45.5256302520941,26.2062012792191,Buzau,Altele,6041,,Argintăria,Geomil 25000,Limba română
Valea Argintarului,argintar,3,45.638553929025,26.0702814902096,Covasna,Vale,2768,,Valea Argintarului,Geomil 25000,Limba română
La Argintărie,argintar,3,44.1773557717837,23.3587603233801,Dolj,Altele,146,,La Argintărie,Geomil 25000,Limba română,La Argintaru,PDT,Limba română
Argintăria,argintărie,4,47.0076404580216,25.6941513223848,Harghita,Vale,12869,,Argintăria,Geomil 25000,Limba română
Părâul Argintăriei,argintărie,4,47.0234991812777,25.715207227638,Harghita,Vale,10609,10610,Părâul Argintăriei,Imperiul Habsburgic (1887),Limba română
Peatra Argintăriei,argintărie,4,47.0184924903913,25.7063654842128,Harghita,Înălțime,10610,,Peatra Argintăriei,Imperiul Habsburgic (1887),Limba română
Dealul Argintarului,argintar,3,46.9475972073842,26.4781818839111,Neamt,Deal,3862,,Dealul Argintarului,Geomil 25000,Limba română
Părâul Argintărenilor,argintar,3,46.7554550323561,25.9792415556475,Neamt,Vale,10947,,Părâul Argintărenilor,Imperiul Habsburgic (1887),Limba română
Argintăria,argintărie,4,47.0206737200739,25.7927739897904,Neamt,Vale,11717,,Argintăria,Geomil 25000,Limba română
Argintăriei,argintărie,4,47.0354040871906,26.1780887185152,Neamt,Vale,11651,,Argintăriei,Geomil 25000,Limba română
Bâtca Argintăriei,argintărie,4,47.0167140771275,25.7913968401823,Neamt,Înălțime,9944,11717,Bâtca Argintăriei,Moldova (1892-1898),Limba română
Pârâul Argintăriei,argintărie,4,47.0813235050884,25.7229331592367,Neamt,Vale,9946,,Pârâul Argintăriei,Moldova (1892-1898),Limba română
Pârâul Argintăriei,argintărie,4,46.9831171131545,25.8136633009946,Neamt,Vale,11720,,Pârâul Argintăriei,PDT,Limba română
Argintari,argintar,3,45.0976411023165,24.3443051480912,Valcea,Localitate,4767,,Argintari,PDT,Limba română
Argintăria,argintărie,4,45.7339167171619,26.4719067780884,Vrancea,Altele,15057,,Argintăria,Munții noștri,Limba română
