Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3
Valea Groapa Țiganului,țigan,3,46.4114464232584,23.8362251290096,Alba,Vale,7069,,Valea Groapa Țiganului,Geomil 25000,Limba română
Coasta Țiganilor,țigani,2,46.1127502036602,23.5868305402821,Alba,Înălțime,6746,,Coasta Țiganilor,Geomil 25000,Limba română
Pădurea Țiganilor,țigani,2,46.009908286157,23.7339346303902,Alba,Pădure,10575,,Pădurea Țiganilor,Imperiul Habsburgic (1887),Limba română
Pârâul Țiganilor,țigani,2,46.1984098549288,23.9645226638358,Alba,Vale,8149,,Pârâul Țiganilor,PDT,Limba română
Valea Țiganilor,țigani,2,45.847198850123,23.6333914314003,Alba,Vale,1153,,Valea Țiganilor,Geomil 25000,Limba română
Valea Țiganilor,țigani,2,46.1448116642164,23.1389268485545,Alba,Vale,11326,,Valea Țiganilor,Geomil 25000,Limba română
Valea Țiganilor,țigani,2,46.5072913447841,22.8343523698432,Alba,Vale,13054,,Valea Țiganilor,Geomil 25000,Limba română
Țigănia,țigănie,3,45.9496122790122,23.5771754456509,Alba,Altele,9392,,Țigănia,PDT,Limba română
Țigănia,țigănie,3,45.9758357977524,23.3430891280049,Alba,Localitate,9393,,Țigănia,Geomil 25000,Limba română,Țigănia,PDT,Limba română
Dâmbu Țiganului,țigan,3,46.227635510024,21.7552533659677,Arad,Înălțime,1952,,Dâmbu Țiganului,Geomil 25000,Limba română
Dealul Țiganului,țigan,3,46.2241642254425,21.6969085977379,Arad,Deal,9419,,Dealul Țiganului,PDT,Limba română
Izvorul Țiganului,țigan,3,46.5353539823028,22.1650864054892,Arad,Vale,4086,,Izvorul Țiganului,PDT,Limba română
Pârâul Țiganului,țigan,3,46.1540436951727,22.0754458931605,Arad,Vale,9417,,Pârâul Țiganului,PDT,Limba română
Valea Țiganului,țigan,3,46.1549591612567,22.2844557856876,Arad,Vale,10219,,Valea Țiganului,Geomil 25000,Limba română
Vârfu Crucea Țiganului,țigan,3,46.1893860574676,21.7325938163899,Arad,Înălțime,9414,,Vârfu Crucea Țiganului,Geomil 25000,Limba română
Calea Țigăncii,țigancă,3,46.3436020442844,21.5428109418236,Arad,Drum,1093,,Calea Țigăncii,Geomil 25000,Limba română
Pârâu Țiganca,țigancă,3,46.151313391721,21.3291181765438,Arad,Vale,14248,,Pârâu Țiganca,Geomil 25000,Limba română
Dealu Țigani,țigani,2,46.3629345586074,22.2249231973602,Arad,Deal,1945,,Dealu Țigani,Geomil 25000,Limba română
Dealu Țiganilor,țigani,2,46.4204794363599,22.1350372084822,Arad,Deal,972,,Dealu Țiganilor,Geomil 25000,Limba română,Dealu Țiganilor,PDT,Limba română
Dealul Țiganilor,țigani,2,46.6322764737723,22.0386038310064,Arad,Deal,4108,,Dealul Țiganilor,PDT,Limba română
Dosul Țiganilor,țigani,2,46.4698903951036,22.157064075866,Arad,Înălțime,7661,,Dosul Țiganilor,PDT,Limba română
Pârâu Țiganilor,țigani,2,46.1914608415443,22.3013606813599,Arad,Vale,10364,,Pârâu Țiganilor,Geomil 25000,Limba română
Pârâul Țiganilor,țigani,2,46.1557175839298,21.6380121558633,Arad,Vale,6298,,Pârâul Țiganilor,PDT,Limba română
Pârâul Țiganilor,țigani,2,46.0607254174982,21.5838304059771,Arad,Vale,9422,,Pârâul Țiganilor,PDT,Limba română
Vale Tziganilor,țigani,2,46.2690065644721,22.2016840343938,Arad,Vale,10290,,Vale Tziganilor,Ungară 1869,Limba română
Valea Țiganilor,țigani,2,46.1041910526965,21.6810935485852,Arad,Vale,6300,13954,Valea Țiganilor,PDT,Limba română
Valea Țiganilor,țigani,2,46.2348726738503,22.6563806451169,Arad,Vale,12508,,Valea Țiganilor,Imperiul Habsburgic (1887),Limba română
Zigeunerdf. (Satul Țiganilor),țigani,2,46.189378146283,21.2958228562315,Arad,Localitate,10537,,Zigeunerdf. (Satul Țiganilor),Imperiul Habsburgic (1887),Limba germană
La Țigănie,țigănie,3,46.1259868610188,21.1417071958556,Arad,Altele,5641,,La Țigănie,PDT,Limba română
Fântâna la Țigăniște,țigăniște,4,46.583136457301,21.836926340221,Arad,Altele,8044,,Fântâna la Țigăniște,PDT,Limba română
Culmea Țiganului,țigan,3,45.3837953963917,24.7939906336966,Arges,Înălțime,4988,4989,Culmea Țiganului,Geomil 25000,Limba română
Dealu Țiganului,țigan,3,44.994522597674,25.0991083413115,Arges,Deal,538,,Dealu Țiganului,Geomil 25000,Limba română
Dealu Țiganului,țigan,3,44.9124462935371,24.9160769165893,Arges,Deal,547,,Dealu Țiganului,Geomil 25000,Limba română
Eleșteul Țiganului,țigan,3,44.5638021469287,25.0543359934624,Arges,Apă-deal-câmpie,8306,8307,Eleșteul Țiganului,PDT,Limba română,Heleșteu Țiganului,Geomil 25000,Limba română
Gâlma Țiganului,țigan,3,45.4549780474544,25.2533329557675,Arges,Înălțime,9801,,Gâlma Țiganului,PDT,Limba română
La Dumbrava Țiganului,țigan,3,44.9255935558565,25.0509166853759,Arges,Poiană,1522,,La Dumbrava Țiganului,Geomil 25000,Limba română,La Dumbrava Țiganului,PDT,Limba română
Muchia Țiganului,țigan,3,45.3454189921819,24.7891530773428,Arges,Înălțime,5073,,Muchia Țiganului,Geomil 25000,Limba română,Muchia Țiganului,PDT,Limba română
Pârâul Țiganului,țigan,3,45.2494719052755,24.6338620514378,Arges,Vale,5069,,Pârâul Țiganului,PDT,Limba română
Pârâul Țiganului,țigan,3,44.6087391415219,25.1168960310107,Arges,Vale,8309,,Pârâul Țiganului,PDT,Limba română
Poiana Țiganului,țigan,3,44.9223749977849,25.0534881539953,Arges,Poiană,8358,1522,Poiana Țiganului,PDT,Limba română
Țiganul,țigan,3,45.3771535324738,24.7949058715173,Arges,Vale,4990,4989,Țiganul,Geomil 25000,Limba română
Vâceaua Țiganului,țigan,3,44.4710473450456,25.1159072095171,Arges,Altele,3391,,Vâceaua Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,44.6816369141366,24.8587620118233,Arges,Vale,1401,,Valea Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,45.381088242338,24.7923028557674,Arges,Vale,4989,,Valea Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,44.5733909034513,25.0519534311101,Arges,Vale,8307,,Valea Țiganului,Geomil 25000,Limba română,Valea Țiganului,PDT,Limba română
Valea Țiganului,țigan,3,44.4862059255319,24.7930142822572,Arges,Vale,9489,,Valea Țiganului,PDT,Limba română
Valea Țiganului,țigan,3,44.8475095683361,25.1426713692976,Arges,Vale,10140,,Valea Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,44.6422432274585,24.7320674608496,Arges,Vale,10999,,Valea Țiganului,PDT,Limba română
Valea Țiganului,țigan,3,44.6227878757918,24.7395708894787,Arges,Vale,11189,,Valea Țiganului,ANCPI,Limba română
Valea Țiganului,țigan,3,44.5486988375506,24.9278796547212,Arges,Vale,14181,,Valea Țiganului,PDT,Limba română
Culmea Țiganca Mare,țigancă,3,45.4272932479831,25.0415544874171,Arges,Înălțime,5024,,Culmea Țiganca Mare,Geomil 25000,Limba română
Dealul Țigăncei,țigancă,3,44.7092543891226,24.7437472212037,Arges,Deal,3406,,Dealul Țigăncei,PDT,Limba română
Poiana Țigăncei,țigancă,3,45.0927604923517,25.0471830108791,Arges,Poiană,8832,,Poiana Țigăncei,PDT,Limba română
Valea Țiganca,țigancă,3,44.7496992631917,24.7777454263152,Arges,Vale,4780,,Valea Țiganca,PDT,Limba română
Valea Țigăncei,țigancă,3,44.7070819249614,24.7450962378248,Arges,Vale,3407,3406,Valea Țigăncei,PDT,Limba română
Valea Țigăncii,țigancă,3,44.9466755416943,24.6414495980434,Arges,Vale,88,,Valea Țigăncii,Geomil 25000,Limba română,Valea Țigănei,PDT,Limba română,дол. Цигэнчи (val. Țigăncii),Sovietică,Limba română
Valea Țigăncii,țigancă,3,44.9619911339735,24.7368481160729,Arges,Vale,8346,,Valea Țigăncii,Geomil 25000,Limba română
Țigănești,țigănești,3,44.8502377790965,25.0883891428705,Arges,Localitate,10157,,Țigănești,PDT,Limba română
Pârâul Țiganilor,țigani,2,44.6632809798311,24.7715580248304,Arges,Vale,4776,,Pârâul Țiganilor,PDT,Limba română
Valea Țiganilor,țigani,2,45.0105454465384,25.0244907638206,Arges,Vale,14173,,Valea Țiganilor,PDT,Limba română
Valea Țigăniei,țigănie,3,45.1904513147777,24.9474787382695,Arges,Vale,562,,Valea Țigăniei,Geomil 25000,Limba română,Valea Țigăniei,PDT,Limba română
Argintăria,argintărie,4,46.1317481953957,26.7611542705969,Bacau,Vale,12942,,Argintăria,Geomil 25000,Limba română
Argintăria,argintărie,4,46.2683430727001,26.3427621848868,Bacau,Vale,14079,,Argintăria,Geomil 25000,Limba română
Pădurea Argintăriei,argintărie,4,46.5647855482536,26.308254858194,Bacau,Pădure,10941,,Pădurea Argintăriei,Geomil 25000,Limba română
Valea Argintăriei,argintărie,4,46.3844078355393,26.5638305889224,Bacau,Vale,7929,,Valea Argintăriei,PDT,Limba română
Lingurari,lingurari,3,46.2358342120521,26.9948888893695,Bacau,Localitate,7832,,Lingurari,Geomil 25000,Limba română
