Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Valea Groapa Țiganului,țigan,3,46.4114464232584,23.8362251290096,Alba,Vale,7069,Valea Groapa Țiganului,Geomil 25000,Limba română
Dâmbu Țiganului,țigan,3,46.227635510024,21.7552533659677,Arad,Înălțime,1952,Dâmbu Țiganului,Geomil 25000,Limba română
Dealul Țiganului,țigan,3,46.2241642254425,21.6969085977379,Arad,Deal,9419,Dealul Țiganului,PDT,Limba română
Izvorul Țiganului,țigan,3,46.5353539823028,22.1650864054892,Arad,Vale,4086,Izvorul Țiganului,PDT,Limba română
Pârâul Țiganului,țigan,3,46.1540436951727,22.0754458931605,Arad,Vale,9417,Pârâul Țiganului,PDT,Limba română
Valea Țiganului,țigan,3,46.1549591612567,22.2844557856876,Arad,Vale,10219,Valea Țiganului,Geomil 25000,Limba română
Vârfu Crucea Țiganului,țigan,3,46.1893860574676,21.7325938163899,Arad,Înălțime,9414,Vârfu Crucea Țiganului,Geomil 25000,Limba română
Dealu Țiganului,țigan,3,44.994522597674,25.0991083413115,Arges,Deal,538,Dealu Țiganului,Geomil 25000,Limba română
Dealu Țiganului,țigan,3,44.9124462935371,24.9160769165893,Arges,Deal,547,Dealu Țiganului,Geomil 25000,Limba română
Gâlma Țiganului,țigan,3,45.4549780474544,25.2533329557675,Arges,Înălțime,9801,Gâlma Țiganului,PDT,Limba română
La Dumbrava Țiganului,țigan,3,44.9255935558565,25.0509166853759,Arges,Poiană,1522,La Dumbrava Țiganului,Geomil 25000,Limba română,La Dumbrava Țiganului,PDT,Limba română
Muchia Țiganului,țigan,3,45.3454189921819,24.7891530773428,Arges,Înălțime,5073,Muchia Țiganului,Geomil 25000,Limba română,Muchia Țiganului,PDT,Limba română
Pârâul Țiganului,țigan,3,45.2494719052755,24.6338620514378,Arges,Vale,5069,Pârâul Țiganului,PDT,Limba română
Pârâul Țiganului,țigan,3,44.6087391415219,25.1168960310107,Arges,Vale,8309,Pârâul Țiganului,PDT,Limba română
Vâceaua Țiganului,țigan,3,44.4710473450456,25.1159072095171,Arges,Altele,3391,Vâceaua Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,44.6816369141366,24.8587620118233,Arges,Vale,1401,Valea Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,45.381088242338,24.7923028557674,Arges,Vale,4989,Valea Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,44.5733909034513,25.0519534311101,Arges,Vale,8307,Valea Țiganului,Geomil 25000,Limba română,Valea Țiganului,PDT,Limba română
Valea Țiganului,țigan,3,44.4862059255319,24.7930142822572,Arges,Vale,9489,Valea Țiganului,PDT,Limba română
Valea Țiganului,țigan,3,44.8475095683361,25.1426713692976,Arges,Vale,10140,Valea Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,44.6422432274585,24.7320674608496,Arges,Vale,10999,Valea Țiganului,PDT,Limba română
Valea Țiganului,țigan,3,44.6227878757918,24.7395708894787,Arges,Vale,11189,Valea Țiganului,ANCPI,Limba română
Valea Țiganului,țigan,3,44.5486988375506,24.9278796547212,Arges,Vale,14181,Valea Țiganului,PDT,Limba română
Dealul Țiganului,țigan,3,46.4461398303689,27.0525852662323,Bacau,Deal,3913,Dealul Țiganului,Geomil 25000,Limba română
Dealul Țiganului,țigan,3,46.0307537158285,27.0942274689811,Bacau,Deal,5337,Dealul Țiganului,PDT,Limba română
La Țigan,țigan,3,46.3014863234079,26.6852230734484,Bacau,Altele,5329,La Țigan,PDT,Limba română
Pârâul Țiganului,țigan,3,46.1193437310589,26.652775459754,Bacau,Vale,5298,Pârâul Țiganului,PDT,Limba română
Piciorul Țiganului,țigan,3,46.5967876802929,26.6988124675193,Bacau,Altele,3833,Piciorul Țiganului,Geomil 25000,Limba română
Poiana Țiganului,țigan,3,46.6280181356307,26.6811269891518,Bacau,Poiană,3827,Poiana Țiganului,Geomil 25000,Limba română
Poiana Țiganului,țigan,3,46.4048461328122,26.8847571161349,Bacau,Poiană,7817,Poiana Țiganului,Geomil 25000,Limba română
Puțu Țiganului,țigan,3,46.760506562797,26.7113515690744,Bacau,Altele,9149,Puțu Țiganului,PDT,Limba română
Valea Țiganului,țigan,3,46.471830338975,27.0024766862418,Bacau,Vale,3911,Valea Țiganului,Geomil 25000,Limba română
Dealul Țiganului,țigan,3,46.8577953424384,22.1917730997562,Bihor,Deal,4138,Dealul Țiganului,PDT,Limba română
Dealul Țiganului,țigan,3,47.1578545721982,22.3838410335661,Bihor,Deal,4190,Dealul Țiganului,PDT,Limba română
Dealul Țiganului,țigan,3,47.2191128785713,22.3227076622672,Bihor,Deal,4193,Dealul Țiganului,PDT,Limba română
Tăul Țiganului,țigan,3,46.8987200647317,22.6509294385256,Bihor,Vale,10279,Tăul Țiganului,PDT,Limba română
Țiganul,țigan,3,46.9599078872744,22.3436004881829,Bihor,,4155,Țiganul,PDT,Limba română
Valea Țiganului,țigan,3,46.8368236069188,22.317981243933,Bihor,Vale,1009,Valea Țiganului,Geomil 25000,Limba română
Valea Țiganului,țigan,3,46.8902679612595,22.2419346810643,Bihor,Vale,1078,Valea Țiganului,Geomil 25000,Limba română
