Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Izvorul Băcanului,băcan,3,46.3663592014322,22.2817952957048,Arad,Vale,15260,Izvorul Băcanului,PDT,Limba română
Cotul Băcanului,băcan,3,45.1042021514743,26.943319933176,Buzau,Apă-deal-câmpie,15408,Cotul Băcanului,ANCPI,Limba română,Cot. Bacan,PDT,Limba română
Băcanul,băcan,3,44.4129221456082,25.8247233189109,Giurgiu,Localitate,15406,Băcanul,PDT,Limba română
Cotul la Băcan,băcan,3,44.6626846134698,26.6952613461949,Ialomita,Apă-deal-câmpie,15426,Cotul la Băcan,PDT,Limba română
Băcanul,băcan,3,44.8115979283261,24.3279707781021,Olt,Altele,15755,Băcanul,PDT,Limba română
Bakan,bacan,3,44.8039743471642,26.3281549400162,Prahova,Localitate,15837,Bakan,Oltenia-Muntenia (1790),Limba română
Ograda Băcanului,băcan,3,44.7874984478985,26.1303049199152,Prahova,Altele,15258,Ograda Băcanului,PDT,Limba română
Valea Scoroaica Băcăniile,băcănii,3,44.330365834292,24.9990646997149,Teleorman,Vale,14823,Valea Scoroaica Băcăniile,PDT,Limba română
Băcani,băcani,3,46.3249316733759,27.6806024855473,Vaslui,Localitate,14828,Băcani,PDT,Limba română
Băcănița,băcănița,3,45.5764044391673,27.1710835369097,Vrancea,Altele,15346,Băcănița,ANCPI,Limba română
