Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Basarab,basarab,3,48.1193040734243,26.3347357915339,Botosani,Altele,2013,Basarab,Geomil 25000,Limba română
Sarata-Basarab,basarab,3,47.9415340187542,27.0375996919871,Botosani,Localitate,2395,Sarata-Basarab,Geomil 25000,Limba română
Ogașu lui Basarab,basarab,3,45.0978801010821,22.1739879374038,Caras Severin,Vale,11230,Ogașu lui Basarab,Geomil 25000,Limba română
Băsărăboanea,băsărăboană,3,45.379764561081,21.9167596598445,Caras Severin,Înălțime,4310,Băsărăboanea,Geomil 25000,Limba română
Basarabi,basarabi,2,44.0065128274694,23.0122067669989,Dolj,Localitate,8486,Basarabi,Geomil 25000,Limba română,Basarabi,PDT,Limba română
Basarabasa,basarabasa,3,46.1907724356693,22.5774951994829,Hunedoara,Localitate,6259,Basarabasa,Geomil 25000,Limba română,Băsărăbasa,PDT,Limba română
Valea Basarabița,basarabița,3,46.2032332738298,22.5088314736589,Hunedoara,Vale,6260,Valea Basarabița,Geomil 25000,Limba română
Basaraba,basaraba,3,47.402750783237,26.880812463441,Iasi,Înălțime,6630,Basaraba,Geomil 25000,Limba română
Dealul Basarabi,basarabi,2,47.3166784993164,27.2743633301564,Iasi,Deal,6637,Dealul Basarabi,PDT,Limba română
Dealul Basarabi,basarabi,2,47.6785896912066,24.3874649093498,Maramures,Deal,7152,Dealul Basarabi,Geomil 25000,Limba română
Dealu Basaraba,basaraba,3,47.1613379170476,23.2447170373439,Salaj,Deal,1055,Dealu Basaraba,Geomil 25000,Limba română,Basaraba,PDT,Limba română
Bassaraba,basaraba,3,47.4524698782482,26.4407758115062,Suceava,Localitate,9066,Bassaraba,PDT,Limba română,Basarabi,Geomil 25000,Limba română
Găvanu Basarabului,basarab,3,43.9153364905548,24.7573448364981,Teleorman,Înălțime,1355,Găvanu Basarabului,Geomil 25000,Limba română,Găvanu Basarabului,PDT,Limba română
Muntele Basarab,basarab,3,45.2828563734659,24.2973305797696,Valcea,Înălțime,12025,Muntele Basarab,Geomil 25000,Limba română
